tconst	ordering	nconst	category	job	characters
tt7230000	10	nm5215232	writer	script	\N
tt7230000	1	nm6348059	actor	\N	["Ali Asaf Denizoglu"]
tt7230000	2	nm4669219	actress	\N	["Eylül Erdem"]
tt7230000	3	nm2338933	actress	\N	["Bahar Tunç"]
tt7230000	4	nm8189431	actor	\N	["Oguz Dagçakrak"]
tt7230000	5	nm6407357	director	\N	\N
tt7230000	6	nm2946194	director	\N	\N
tt7230000	7	nm2905697	director	second director	\N
tt7230000	8	nm6129968	writer	writer	\N
tt7230000	9	nm2339191	writer	script	\N
tt7230002	1	nm1105207	self	\N	["Self"]
tt7230002	2	nm4593557	actor	\N	["Overbearing husband"]
tt7230002	3	nm0878597	actress	\N	["Pregnant wife"]
tt7230002	4	nm1421818	cinematographer	\N	\N
tt7230004	1	nm9883423	self	\N	["Self"]
tt7230004	2	nm5540862	director	\N	\N
tt7230004	3	nm1026832	cinematographer	\N	\N
tt7230004	4	nm0091729	editor	\N	\N
tt7230008	1	nm0822559	actor	\N	["Mike"]
tt7230008	2	nm9186698	actor	\N	["Sam"]
tt7230008	3	nm9186699	actress	\N	["Hannah"]
tt7230008	4	nm8978161	actor	\N	["Jason"]
tt7230008	5	nm5739581	director	\N	\N
tt7230008	6	nm8075091	producer	executive producer	\N
tt7230008	7	nm4543116	producer	executive producer	\N
tt7230008	8	nm8432035	cinematographer	\N	\N
tt7230008	9	nm8121262	actress	\N	["Mary"]
tt7230010	1	nm0067198	self	\N	["Self - Musician"]
tt7230010	2	nm0114414	self	\N	["Self - Musician"]
tt7230010	3	nm0540266	self	\N	["Self - Musician"]
tt7230010	4	nm0644315	self	\N	["Self - Musician"]
tt7230010	5	nm0462705	director	\N	\N
tt7230014	10	nm0394690	actor	\N	["Vegeta"]
tt7230014	1	nm0637586	actress	\N	["Son Gokû","Son Gohan","Son Goten"]
tt7230014	2	nm1154161	actress	\N	["Trunks"]
tt7230014	3	nm2118676	actor	\N	["Son Goku"]
tt7230014	4	nm0185214	actor	\N	["Goku (Ocean Group dub)"]
tt7230014	5	nm12657323	director	\N	\N
tt7230014	6	nm0868066	writer	manga	\N
