tconst	ordering	nconst	category	job	characters
tt6630000	1	nm8291249	actor	\N	\N
tt6630000	2	nm0943207	actress	\N	["Yang Shaohua's wife"]
tt6630002	1	nm8291249	actor	\N	\N
tt6630002	2	nm0943207	actress	\N	["Yang Shaohua's wife"]
tt6630004	1	nm8291249	actor	\N	\N
tt6630004	2	nm0943207	actress	\N	["Yang Shaohua's wife"]
tt6630006	1	nm8291249	actor	\N	\N
tt6630006	2	nm0943207	actress	\N	["Yang Shaohua's wife"]
tt6630008	1	nm7783734	self	\N	["Self - Tim"]
tt6630008	2	nm8564595	writer	screenplay	\N
tt6630010	1	nm8291249	actor	\N	\N
tt6630010	2	nm0943207	actress	\N	["Yang Shaohua's wife"]
tt6630012	10	nm1229293	writer	writer	\N
tt6630012	1	nm8766946	self	\N	["Self - Host"]
tt6630012	2	nm8266368	self	\N	["Self - Legendareios"]
tt6630012	3	nm4646229	archive_footage	\N	["Self"]
tt6630012	4	nm2065348	archive_footage	\N	["Self"]
tt6630012	5	nm1345855	writer	writer	\N
tt6630012	6	nm3085627	writer	writer	\N
tt6630012	7	nm8836218	writer	writer	\N
tt6630012	8	nm7632024	writer	writer	\N
tt6630012	9	nm7960953	writer	writer	\N
tt6630014	1	nm0549367	self	\N	["Self"]
tt6630014	2	nm5067043	self	\N	["Self"]
tt6630014	3	nm1164842	director	\N	\N
tt6630014	4	nm8731817	producer	producer	\N
tt6630014	5	nm6338518	cinematographer	\N	\N
tt6630040	1	nm6249492	actor	\N	["Park Gun"]
tt6630040	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630040	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630044	1	nm3149329	writer	adaptation	\N
tt6630046	1	nm6249492	actor	\N	["Park Gun"]
tt6630046	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630046	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630048	1	nm6249492	actor	\N	["Park Gun"]
tt6630048	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630048	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630050	1	nm6249492	actor	\N	["Park Gun"]
tt6630050	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630050	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630054	1	nm6249492	actor	\N	["Park Gun"]
tt6630054	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630054	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630056	1	nm6249492	actor	\N	["Park Gun"]
tt6630056	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630056	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630058	1	nm6249492	actor	\N	["Park Gun"]
tt6630058	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630058	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630060	1	nm6249492	actor	\N	["Park Gun"]
tt6630060	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630060	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630064	1	nm6249492	actor	\N	["Park Gun"]
tt6630064	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630064	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630068	1	nm6249492	actor	\N	["Park Gun"]
tt6630068	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630068	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630070	1	nm6249492	actor	\N	["Park Gun"]
tt6630070	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630070	3	nm5193094	actor	\N	["Yoo Dae Chi"]
tt6630072	1	nm6249492	actor	\N	["Park Gun"]
tt6630072	2	nm3815800	actress	\N	["Lee Bong Hui"]
tt6630072	3	nm5193094	actor	\N	["Yoo Dae Chi"]
