tconst	ordering	nconst	category	job	characters
tt4490000	1	nm1769892	actor	\N	["The Stepdad"]
tt4490000	2	nm3802072	actor	\N	["John Travis"]
tt4490000	3	nm4099180	actress	\N	["Trimixitee"]
tt4490000	4	nm2383922	producer	producer	\N
tt4490002	1	nm4667301	production_designer	\N	\N
tt4490006	10	nm1370740	actor	\N	["Pook"]
tt4490006	1	nm0413289	actor	\N	["Horace"]
tt4490006	2	nm0382402	actress	\N	["Mother"]
tt4490006	3	nm0372444	actress	\N	["Mrs. Tiddy"]
tt4490006	4	nm0934991	actor	\N	["Mr. Frankel"]
tt4490006	5	nm0823307	actor	\N	["Mr. Bates"]
tt4490006	6	nm0325354	actor	\N	["Mr. Lever"]
tt4490006	7	nm0192392	actress	\N	["Miss. Black"]
tt4490006	8	nm0189343	actor	\N	["Arthur"]
tt4490006	9	nm0401539	actor	\N	["Billy"]
tt4490008	1	nm8921576	self	\N	["Self - Cattle Farmer"]
tt4490008	2	nm8921578	self	\N	["Self - Owner, James the Horse"]
tt4490008	3	nm8921579	self	\N	["Self - Beth's Daughter"]
tt4490008	4	nm5524844	self	\N	["Self - DVM, Senior Staff Veterinarian"]
tt4490008	5	nm4082204	writer	\N	\N
tt4490008	6	nm1564664	composer	\N	\N
tt4490008	7	nm1101073	composer	\N	\N
tt4490008	8	nm2087295	cinematographer	director of photography	\N
tt4490008	9	nm3549436	editor	\N	\N
tt4490010	1	nm4667301	production_designer	\N	\N
tt4490012	1	nm4667301	production_designer	\N	\N
tt4490014	1	nm4667301	production_designer	\N	\N
tt4490016	1	nm4667301	production_designer	\N	\N
tt4490018	1	nm4667301	production_designer	\N	\N
tt4490020	1	nm4667301	production_designer	\N	\N
tt4490022	1	nm4205719	actor	\N	["Dalido"]
tt4490022	2	nm5512575	actor	\N	["Antonio"]
tt4490022	3	nm6026244	actor	\N	["Thierry"]
tt4490022	4	nm6880744	director	\N	\N
tt4490022	5	nm3352439	composer	\N	\N
tt4490022	6	nm3149689	cinematographer	director of photography	\N
tt4490024	10	nm8830543	self	\N	["Self - Performer"]
tt4490024	1	nm0755168	self	\N	["Self - Chairman"]
tt4490024	2	nm0479005	self	\N	["Self - Performer"]
tt4490024	3	nm0187754	self	\N	["Self - Performer"]
tt4490024	4	nm0557765	self	\N	["Self - Performer"]
tt4490024	5	nm1752574	director	\N	\N
tt4490024	6	nm4503878	production_designer	\N	\N
tt4490024	7	nm5272765	self	\N	["Self - Performer"]
tt4490024	8	nm0190540	self	\N	["Self - Performer"]
tt4490024	9	nm3966422	self	\N	["Self - Performer"]
tt4490026	1	nm4667301	production_designer	\N	\N
tt4490028	1	nm4667301	production_designer	\N	\N
tt4490030	1	nm3652766	actress	\N	["Sarah"]
tt4490030	2	nm3639882	actress	\N	["Young Sarah"]
tt4490030	3	nm2297663	director	\N	\N
tt4490030	4	nm1493251	producer	producer	\N
tt4490032	1	nm4667301	production_designer	\N	\N
tt4490034	1	nm4667301	production_designer	\N	\N
tt4490036	10	nm0725373	actor	\N	["Ansager"]
tt4490036	1	nm0386093	actor	\N	["Direktor Orlostri"]
tt4490036	2	nm0313309	actor	\N	["Kriminalinspektor Shelton"]
tt4490036	3	nm0911169	actor	\N	["Kriminalassistent Camillo"]
tt4490036	4	nm1266580	actor	\N	["Dr. Plonz"]
tt4490036	5	nm1194001	director	\N	\N
tt4490036	6	nm0421791	writer	\N	\N
tt4490036	7	nm0460341	production_designer	\N	\N
tt4490036	8	nm0901900	actress	\N	["Tänzerin Cora Caro"]
tt4490036	9	nm0796798	actress	\N	["Fräulein Nummer"]
tt4490038	1	nm2386994	actor	\N	["Jim Krall"]
tt4490038	2	nm3916813	actress	\N	["Tracy Krall"]
tt4490038	3	nm5311303	actress	\N	["Susan"]
tt4490038	4	nm5383255	actress	\N	["Sarah Krall"]
tt4490038	5	nm5384473	director	\N	\N
tt4490038	6	nm5384210	director	\N	\N
tt4490038	7	nm0540223	cinematographer	\N	\N
tt4490038	8	nm3818329	editor	\N	\N
tt4490040	1	nm4667301	production_designer	\N	\N
tt4490044	10	nm5756849	editor	\N	\N
tt4490044	1	nm7160685	actor	\N	["Musa"]
tt4490044	2	nm7160686	actor	\N	["Hasan"]
tt4490044	3	nm7160687	actor	\N	["Driver"]
tt4490044	4	nm5158668	actor	\N	["Father"]
tt4490044	5	nm5827538	director	\N	\N
tt4490044	6	nm7160684	director	\N	\N
tt4490044	7	nm1761697	composer	\N	\N
tt4490044	8	nm4492900	cinematographer	director of photography	\N
tt4490044	9	nm10120918	editor	\N	\N
tt4490046	10	nm4812011	self	\N	["Self - Dr. Pol's Son"]
tt4490046	1	nm8404448	self	\N	["Self - Dr. Pol's Son-in-Law"]
tt4490046	2	nm8296836	self	\N	["Self - Farmer","Ice Fisherman"]
tt4490046	3	nm5524844	self	\N	["Self - DVM, Senior Staff Veterinarian"]
tt4490046	4	nm8404445	self	\N	["Self - Owner, Puppies Needing Shots"]
tt4490046	5	nm1564664	composer	\N	\N
tt4490046	6	nm1101073	composer	\N	\N
tt4490046	7	nm2087295	cinematographer	director of photography	\N
tt4490046	8	nm8326577	editor	\N	\N
tt4490046	9	nm8404447	self	\N	["Self - Owner, Cow with Milk Fever"]
tt4490048	1	nm4667301	production_designer	\N	\N
tt4490050	1	nm4667301	production_designer	\N	\N
tt4490052	1	nm4667301	production_designer	\N	\N
tt4490054	10	nm0200676	actor	\N	["Tony Birkett"]
tt4490054	1	nm0925930	actress	\N	["Margie Hansen"]
tt4490054	2	nm0206059	actress	\N	["Renata Dwyer"]
tt4490054	3	nm0828745	actor	\N	["Cyril"]
tt4490054	4	nm0461689	actress	\N	["Sarah Hansen"]
tt4490054	5	nm0611357	director	\N	\N
tt4490054	6	nm7160689	writer	\N	\N
tt4490054	7	nm0454649	composer	\N	\N
tt4490054	8	nm0429381	production_designer	\N	\N
tt4490054	9	nm0149014	actress	\N	["Shop assistant"]
tt4490056	1	nm4667301	production_designer	\N	\N
tt4490060	1	nm5524844	self	\N	["Self - DVM, Senior Staff Veterinarian"]
