tconst	ordering	nconst	category	job	characters
tt21040000	10	nm0438506	producer	producer	\N
tt21040000	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040000	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040000	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040000	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040000	5	nm9454991	director	director:  	\N
tt21040000	6	nm13753463	writer	\N	\N
tt21040000	7	nm3815573	writer	created by	\N
tt21040000	8	nm2975480	writer	screenplay	\N
tt21040000	9	nm0438471	producer	producer	\N
tt21040002	10	nm0438506	producer	producer	\N
tt21040002	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040002	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040002	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040002	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040002	5	nm9454991	director	director:  	\N
tt21040002	6	nm13753463	writer	\N	\N
tt21040002	7	nm3815573	writer	created by	\N
tt21040002	8	nm2975480	writer	screenplay	\N
tt21040002	9	nm0438471	producer	producer	\N
tt21040004	10	nm0438506	producer	producer	\N
tt21040004	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040004	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040004	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040004	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040004	5	nm9454991	director	director:  	\N
tt21040004	6	nm13753463	writer	\N	\N
tt21040004	7	nm3815573	writer	created by	\N
tt21040004	8	nm2975480	writer	screenplay	\N
tt21040004	9	nm0438471	producer	producer	\N
tt21040006	10	nm0438506	producer	producer	\N
tt21040006	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040006	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040006	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040006	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040006	5	nm9454991	director	director:  	\N
tt21040006	6	nm13753463	writer	\N	\N
tt21040006	7	nm3815573	writer	created by	\N
tt21040006	8	nm2975480	writer	screenplay	\N
tt21040006	9	nm0438471	producer	producer	\N
tt21040008	10	nm0438506	producer	producer	\N
tt21040008	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040008	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040008	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040008	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040008	5	nm9454991	director	director:  	\N
tt21040008	6	nm13753463	writer	\N	\N
tt21040008	7	nm3815573	writer	created by	\N
tt21040008	8	nm2975480	writer	screenplay	\N
tt21040008	9	nm0438471	producer	producer	\N
tt21040010	10	nm0438506	producer	producer	\N
tt21040010	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040010	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040010	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040010	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040010	5	nm9454991	director	director:  	\N
tt21040010	6	nm13753463	writer	\N	\N
tt21040010	7	nm3815573	writer	created by	\N
tt21040010	8	nm2975480	writer	screenplay	\N
tt21040010	9	nm0438471	producer	producer	\N
tt21040012	1	nm7007165	actor	\N	\N
tt21040012	2	nm5602205	actor	\N	\N
tt21040012	3	nm4714120	actor	\N	\N
tt21040012	4	nm1510955	actor	\N	\N
tt21040012	5	nm3900679	cinematographer	\N	\N
tt21040012	6	nm12537384	actor	\N	\N
tt21040014	10	nm0438506	producer	producer	\N
tt21040014	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040014	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040014	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040014	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040014	5	nm9454991	director	director:  	\N
tt21040014	6	nm13753463	writer	\N	\N
tt21040014	7	nm3815573	writer	created by	\N
tt21040014	8	nm2975480	writer	screenplay	\N
tt21040014	9	nm0438471	producer	producer	\N
tt21040016	10	nm0438506	producer	producer	\N
tt21040016	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040016	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040016	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040016	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040016	5	nm9454991	director	director:  	\N
tt21040016	6	nm13753463	writer	\N	\N
tt21040016	7	nm3815573	writer	created by	\N
tt21040016	8	nm2975480	writer	screenplay	\N
tt21040016	9	nm0438471	producer	producer	\N
tt21040018	10	nm0438506	producer	producer	\N
tt21040018	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040018	2	nm5156947	actress	\N	["Pooja Gor"]
tt21040018	3	nm3050219	actress	\N	["Sarah khan (2012)"]
tt21040018	4	nm4424993	actor	\N	["Karan Kundra"]
tt21040018	5	nm9454991	director	director:  	\N
tt21040018	6	nm13753463	writer	\N	\N
tt21040018	7	nm3815573	writer	created by	\N
tt21040018	8	nm2975480	writer	screenplay	\N
tt21040018	9	nm0438471	producer	producer	\N
tt21040020	10	nm0438506	producer	producer	\N
tt21040020	1	nm4469112	actor	\N	["Raj SIngh Arora"]
tt21040020	2	nm5156947	actress	\N	["Pooja Gor"]
