tconst	ordering	nconst	category	job	characters
tt9310056	7	nm10270247	self	\N	["Self - Contestant"]
tt9310056	8	nm10271070	self	\N	["Self - Judge"]
tt9310056	9	nm10270250	self	\N	["Self - Contestant"]
tt9310058	1	nm8564485	actor	\N	["Josh Carpenter","Bibleman"]
tt9310058	2	nm8565848	actor	\N	["Kerry Turner","Cypher"]
tt9310058	3	nm8564486	actress	\N	["Lia Martinez","Biblegirl"]
tt9310058	4	nm8564487	actress	\N	["Mel Oshea","Melody"]
tt9310060	1	nm3310637	actress	\N	\N
tt9310060	2	nm4358682	actor	\N	\N
tt9310060	3	nm5328150	actress	\N	\N
tt9310060	4	nm4097796	actor	\N	["Simon"]
tt9310060	5	nm10271102	director	\N	\N
tt9310062	1	nm2118003	actor	\N	["Voice Over Guy","Coret The Coral"]
tt9310062	2	nm2966866	self	\N	["Self - Host"]
tt9310062	3	nm9203362	self	\N	["Self - Scientist"]
tt9310062	4	nm9617135	director	\N	\N
tt9310062	5	nm4433371	editor	\N	\N
tt9310062	6	nm7909701	editor	\N	\N
tt9310064	10	nm10270250	self	\N	["Self - Contestant"]
tt9310064	1	nm10270243	self	\N	["Self - Judge"]
tt9310064	2	nm6215522	actor	\N	["April Carrión","Self - Judge"]
tt9310064	3	nm10270242	actress	\N	["Ronda D","Self - Contestant"]
tt9310064	4	nm10066948	self	\N	["Self - Host","Judge"]
tt9310064	5	nm0260859	self	\N	["Self - Guest Judge"]
tt9310064	6	nm10270246	self	\N	["Self - Contestant"]
tt9310064	7	nm10270241	self	\N	["Self - Contestant"]
tt9310064	8	nm10270247	self	\N	["Self - Contestant"]
tt9310064	9	nm10271070	self	\N	["Self - Judge"]
tt9310066	1	nm0308541	self	\N	["Self - Host"]
tt9310066	2	nm0086247	self	\N	["Self"]
tt9310066	3	nm1499723	composer	\N	\N
tt9310068	1	nm1389056	self	\N	["Self - Host"]
tt9310070	10	nm10270250	self	\N	["Self - Contestant"]
tt9310070	1	nm10270243	self	\N	["Self - Judge"]
tt9310070	2	nm6215522	actor	\N	["April Carrión","Self - Judge"]
tt9310070	3	nm10270242	actress	\N	["Ronda D","Self - Contestant"]
tt9310070	4	nm10066948	self	\N	["Self - Host","Judge"]
tt9310070	5	nm10270246	self	\N	["Self - Aspirant"]
tt9310070	6	nm10270241	self	\N	["Self - Contestant"]
tt9310070	7	nm10270247	self	\N	["Self - Contestant"]
tt9310070	8	nm10271070	self	\N	["Self - Contestant"]
tt9310070	9	nm0590787	self	\N	["Self - Guest Judge"]
tt9310072	1	nm10271103	director	\N	\N
tt9310072	2	nm10271105	composer	\N	\N
tt9310072	3	nm9406164	cinematographer	\N	\N
tt9310072	4	nm6543026	editor	\N	\N
tt9310076	1	nm3633822	self	\N	["Self - South Africa"]
tt9310076	2	nm7016406	self	\N	["Self"]
tt9310076	3	nm10160764	self	\N	["Self - South Africa"]
tt9310076	4	nm3033510	self	\N	["Self - South Africa"]
tt9310078	1	nm4535968	self	\N	["Self - Host"]
tt9310078	2	nm9147787	writer	writer	\N
tt9310084	1	nm4535968	self	\N	["Self - Host"]
tt9310084	2	nm9147787	writer	writer	\N
tt9310088	1	nm0111232	self	\N	["Self - Host"]
tt9310088	2	nm0667111	self	\N	["Self"]
tt9310088	3	nm0779912	self	\N	["Self"]
tt9310088	4	nm0000165	self	\N	["Self"]
tt9310088	5	nm0086417	composer	\N	\N
tt9310088	6	nm0004983	self	\N	["Self"]
tt9310090	1	nm10159868	self	\N	["Self"]
tt9310090	2	nm3101050	self	\N	["Self - Sri Lanka"]
tt9310090	3	nm10051236	self	\N	["Self - Sri Lanka"]
tt9310090	4	nm9689888	self	\N	["Self"]
tt9310094	1	nm10236875	self	\N	["Self"]
tt9310094	2	nm5856255	self	\N	["Self"]
tt9310094	3	nm10236876	self	\N	["Self"]
tt9310094	4	nm10236877	self	\N	["Self"]
tt9310094	5	nm3514791	director	\N	\N
tt9310094	6	nm4818508	cinematographer	\N	\N
tt9310096	1	nm0347910	self	\N	["Self - Host"]
tt9310096	2	nm0183698	self	\N	["Self"]
tt9310096	3	nm0000456	self	\N	["Self - Guest"]
tt9310100	1	nm3581335	self	\N	["Self"]
tt9310100	2	nm2291366	self	\N	["Self"]
tt9310100	3	nm2064288	self	\N	["Self - Australia"]
tt9310100	4	nm2466086	self	\N	["Self - Australia"]
tt9310100	5	nm2321694	self	\N	["Self - Australia"]
tt9310100	6	nm1143635	self	\N	["Self"]
tt9310100	7	nm1143637	self	\N	["Self"]
tt9310100	8	nm1143638	self	\N	["Self"]
tt9310104	1	nm5223366	self	\N	["Self - Host"]
tt9310104	2	nm9340435	self	\N	["Self - Co-Host"]
tt9310106	1	nm0367344	self	\N	["Self - Host"]
tt9310106	2	nm0910181	self	\N	["Self"]
tt9310106	3	nm1910037	self	\N	["Self"]
tt9310106	4	nm0800319	self	\N	["Self - Guest"]
tt9310106	5	nm0086417	composer	\N	\N
tt9310110	10	nm0692799	editor	\N	\N
tt9310110	1	nm0970726	actor	\N	\N
tt9310110	2	nm10271110	actor	\N	\N
tt9310110	3	nm0334761	actor	\N	\N
tt9310110	4	nm0363974	actor	\N	\N
tt9310110	5	nm0042337	director	\N	\N
tt9310110	6	nm0254259	producer	producer	\N
tt9310110	7	nm2113973	composer	\N	\N
tt9310110	8	nm0739552	cinematographer	\N	\N
tt9310110	9	nm1719103	cinematographer	\N	\N
tt9310114	1	nm2064288	self	\N	["Self - Australia"]
tt9310114	2	nm1398205	self	\N	["Self"]
tt9310114	3	nm2466086	self	\N	["Self"]
tt9310114	4	nm7524006	self	\N	["Self"]
tt9310114	5	nm1143635	self	\N	["Self"]
tt9310114	6	nm1143637	self	\N	["Self"]
tt9310114	7	nm1143638	self	\N	["Self"]
tt9310118	1	nm9200050	self	\N	["Self - Host"]
tt9310118	2	nm9701129	self	\N	["Self - Guest"]
tt9310122	1	nm3645025	self	\N	["Self - Pakistan"]
tt9310122	2	nm10057704	self	\N	["Self"]
tt9310122	3	nm10141082	self	\N	["Self - South Africa"]
tt9310122	4	nm10160764	self	\N	["Self - South Africa"]
tt9310122	5	nm5495849	self	\N	["Self"]
tt9310122	6	nm3033510	self	\N	["Self - South Africa"]
tt9310124	1	nm10058056	director	\N	\N
tt9310134	1	nm9346559	self	\N	["Self - Vocalist","guitarist"]
tt9310134	2	nm3053654	self	\N	["Self - Bassist"]
tt9310134	3	nm9346558	self	\N	["Self - Guitarist"]
tt9310134	4	nm9346562	self	\N	["Self - Drummer"]
tt9310134	5	nm2462737	director	\N	\N
tt9310134	6	nm10258313	self	\N	["Self - Keyboardist"]
tt9310136	10	nm0001844	actor	\N	["Detective James Connor"]
tt9310136	1	nm0765597	actor	\N	["Det. David Russell"]
tt9310136	2	nm0973177	actor	\N	["Eric Fisher"]
tt9310136	3	nm2240346	actor	\N	["Chris Keller"]
tt9310136	4	nm0000657	actor	\N	["Henry Fisher"]
tt9310136	5	nm0542535	writer	created by	\N
tt9310136	6	nm1281672	writer	created by	\N
tt9310136	7	nm0324790	actress	\N	["Mrs. Fisher"]
tt9310136	8	nm4497710	actress	\N	["Sharon Russell"]
tt9310136	9	nm0609114	actor	\N	["Trey Carano"]
tt9310138	1	nm5048085	actress	\N	\N
tt9310138	2	nm3639545	actor	\N	\N
tt9310138	3	nm4109519	director	\N	\N
tt9310138	4	nm4430773	producer	producer	\N
tt9310138	5	nm3470528	cinematographer	\N	\N
tt9310140	1	nm3838306	writer	creator	\N
tt9310140	2	nm3083168	writer	writer	\N
tt9310142	1	nm9530737	self	\N	["Self - Host"]
tt9310146	1	nm0105232	self	\N	["Self (2018)"]
tt9310146	2	nm2687219	self	\N	["Self (2018)"]
tt9310150	1	nm9200050	self	\N	["Self - Host"]
tt9310152	1	nm0290086	self	\N	["Self - Host"]
tt9310152	2	nm0236180	self	\N	["Self"]
tt9310152	3	nm0842027	self	\N	["Self"]
tt9310156	1	nm0290086	self	\N	["Self - Host"]
tt9310156	2	nm0236180	self	\N	["Self"]
tt9310156	3	nm0001870	self	\N	["Self"]
tt9310156	4	nm0943553	self	\N	["Self"]
tt9310160	10	nm6636332	actress	\N	["Evie Steele"]
tt9310160	1	nm2051016	actress	\N	["Honey Mitchell"]
tt9310160	2	nm0083089	actress	\N	["Philomena"]
tt9310160	3	nm0109156	actress	\N	["Linda Carter"]
tt9310160	4	nm4942754	actress	\N	["Jodie Kelly"]
tt9310160	5	nm1293104	director	\N	\N
tt9310160	6	nm0808850	writer	created by	\N
tt9310160	7	nm0390852	writer	created by	\N
tt9310160	8	nm1633094	writer	\N	\N
tt9310160	9	nm2213307	actor	\N	["Martin Fowler"]
tt9310164	1	nm0290086	self	\N	["Self - Host"]
tt9310164	2	nm0236180	self	\N	["Self"]
tt9310164	3	nm0164254	self	\N	["Self"]
tt9310166	1	nm1634990	self	\N	["Self - Hosted By"]
tt9310166	2	nm1499420	self	\N	["Self - Hosted By"]
tt9310166	3	nm5666859	self	\N	["Self - Roving Reporter"]
tt9310166	4	nm2259477	self	\N	["Self - Performer"]
tt9310166	5	nm0753144	self	\N	["Self - Performer"]
tt9310166	6	nm2004882	self	\N	["Self - Performer"]
tt9310166	7	nm2041871	self	\N	["Themselves - Performer"]
tt9310168	10	nm7778145	actor	\N	["Tommy Moon"]
tt9310168	1	nm10295566	actor	\N	["Ernie Moon"]
tt9310168	2	nm10295565	actor	\N	["Bert Moon"]
tt9310168	3	nm0109156	actress	\N	["Linda Carter"]
tt9310168	4	nm6636332	actress	\N	["Evie Steele"]
tt9310168	5	nm1293104	director	\N	\N
tt9310168	6	nm0808850	writer	created by	\N
tt9310168	7	nm0390852	writer	created by	\N
tt9310168	8	nm0628182	writer	\N	\N
tt9310168	9	nm2307468	actor	\N	["Stuart Highway"]
tt9310172	1	nm9362380	actress	\N	\N
tt9310174	1	nm3291121	self	\N	["Self - Vocalist"]
tt9310174	2	nm10271139	self	\N	["Self - Guitarist"]
tt9310174	3	nm10271140	self	\N	["Self - Drummer"]
tt9310174	4	nm8375829	self	\N	["Self - Keyboardist"]
tt9310174	5	nm2516394	director	\N	\N
tt9310174	6	nm10271141	self	\N	["Self - Bassist"]
tt9310176	1	nm10271143	self	\N	["Self"]
tt9310176	2	nm10271142	self	\N	["Self"]
tt9310176	3	nm2285254	director	\N	\N
tt9310176	4	nm3838306	producer	producer	\N
tt9310178	1	nm6742609	actress	\N	["Elizabeth"]
tt9310178	2	nm9742548	actress	\N	["Fiona"]
tt9310178	3	nm10271149	actress	\N	["Skylar Speer"]
tt9310178	4	nm9696667	actress	\N	["Sarah"]
tt9310178	5	nm5607513	director	\N	\N
tt9310178	6	nm5687221	producer	producer	\N
tt9310178	7	nm9610506	actor	\N	["Michael"]
tt9310178	8	nm10271147	actress	\N	["Josie"]
tt9310178	9	nm10285316	actress	\N	["Kristie"]
tt9310180	1	nm4097796	actor	\N	["Mike Cao"]
tt9310180	2	nm10271153	actor	\N	\N
tt9310180	3	nm10271154	actor	\N	\N
tt9310182	10	nm4144670	editor	\N	\N
tt9310182	1	nm12718681	actor	\N	["Father"]
tt9310182	2	nm12718682	actress	\N	["Bride"]
tt9310182	3	nm7156519	actor	\N	["Groom"]
tt9310182	4	nm6385196	actor	\N	["Son"]
tt9310182	5	nm3413293	director	\N	\N
tt9310182	6	nm10271163	producer	producer	\N
tt9310182	7	nm10271164	producer	producer	\N
tt9310182	8	nm2928354	composer	\N	\N
tt9310182	9	nm13461077	cinematographer	\N	\N
tt9310184	1	nm9201778	self	\N	["Self - Host"]
tt9310186	1	nm9195493	self	\N	["Self - Host"]
tt9310190	1	nm0075060	self	\N	["Self"]
tt9310190	2	nm10271183	self	\N	["Self"]
tt9310190	3	nm5666470	director	\N	\N
tt9310190	4	nm10271184	cinematographer	\N	\N
tt9310190	5	nm3969249	cinematographer	\N	\N
tt9310192	1	nm9195493	self	\N	["Self - Host"]
tt9310194	1	nm9195493	self	\N	["Self - Host"]
tt9310196	10	nm1463638	self	\N	["Self - Contestant"]
tt9310196	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310196	2	nm0066665	self	\N	["Self - Special Guest"]
tt9310196	3	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310196	4	nm1229500	self	\N	["Self - Contestant"]
tt9310196	5	nm1902223	director	\N	\N
tt9310196	6	nm1943021	self	\N	["Self - Member of Jury"]
tt9310196	7	nm0309168	self	\N	["Self - Host"]
tt9310196	8	nm1966764	self	\N	["Self - Partner: Robert Korzeniowski"]
tt9310196	9	nm2876659	self	\N	["Self - Contestant"]
tt9310198	10	nm1463638	self	\N	["Self - Contestant"]
tt9310198	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310198	2	nm0168312	self	\N	["Self - Special Guest"]
tt9310198	3	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310198	4	nm1229500	self	\N	["Self - Contestant"]
tt9310198	5	nm1902223	director	\N	\N
tt9310198	6	nm1943021	self	\N	["Self - Member of Jury"]
tt9310198	7	nm0309168	self	\N	["Self - Host"]
tt9310198	8	nm1966764	self	\N	["Self - Partner: Robert Korzeniowski"]
tt9310198	9	nm2876659	self	\N	["Self - Contestant"]
tt9310200	10	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310200	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310200	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310200	3	nm1229500	self	\N	["Self - Contestant"]
tt9310200	4	nm1943021	self	\N	["Self - Member of Jury"]
tt9310200	5	nm1902223	director	\N	\N
tt9310200	6	nm0309168	self	\N	["Self - Host"]
tt9310200	7	nm2876659	self	\N	["Self - Contestant"]
tt9310200	8	nm1463638	self	\N	["Self - Contestant"]
tt9310200	9	nm3476113	self	\N	["Self - Partner: Anna Kalata"]
tt9310202	10	nm2131865	self	\N	["Self - Contestant"]
tt9310202	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310202	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310202	3	nm1229500	self	\N	["Self - Contestant"]
tt9310202	4	nm1943021	self	\N	["Self - Member of Jury"]
tt9310202	5	nm1902223	director	\N	\N
tt9310202	6	nm0309168	self	\N	["Self - Host"]
tt9310202	7	nm2876659	self	\N	["Self - Contestant"]
tt9310202	8	nm1463638	self	\N	["Self - Contestant"]
tt9310202	9	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310204	10	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310204	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310204	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310204	3	nm1229500	self	\N	["Self - Contestant"]
