tconst	ordering	nconst	category	job	characters
tt2100000	10	nm1076624	actress	\N	["Laura Lorenzi"]
tt2100000	1	nm0060274	actor	\N	["Davide Rivera"]
tt2100000	2	nm0287398	actor	\N	["Alberto Monterosso"]
tt2100000	3	nm1307796	actress	\N	["Katia Martelli"]
tt2100000	4	nm0646510	actor	\N	["Alessandro Lorenzi"]
tt2100000	5	nm0784808	director	\N	\N
tt2100000	6	nm0561583	writer	\N	\N
tt2100000	7	nm0667138	writer	\N	\N
tt2100000	8	nm2594982	editor	\N	\N
tt2100000	9	nm0597268	actor	\N	\N
tt2100001	1	nm0636354	self	\N	["Self - Anchor"]
tt2100002	10	nm4754066	self	\N	["Self"]
tt2100002	1	nm0633271	archive_footage	\N	["Self"]
tt2100002	2	nm0387282	archive_footage	\N	["Self"]
tt2100002	3	nm2020779	self	\N	["Self"]
tt2100002	4	nm2564320	self	\N	["Self - Pilot"]
tt2100002	5	nm4754119	self	\N	["Self - Infantryman"]
tt2100002	6	nm0130495	archive_footage	\N	["Self"]
tt2100002	7	nm4753846	self	\N	["Self - Infantryman"]
tt2100002	8	nm4754481	self	\N	["Self - Medic"]
tt2100002	9	nm4753651	self	\N	["Self"]
tt2100003	1	nm2760783	actress	\N	\N
tt2100003	2	nm4424314	actor	\N	\N
tt2100004	1	nm1650299	self	\N	["Self"]
tt2100004	2	nm3986562	self	\N	["Self"]
tt2100004	3	nm5383650	self	\N	["Self"]
tt2100004	4	nm3587960	self	\N	["Self - Inventor"]
tt2100005	10	nm0494164	actress	\N	\N
tt2100005	1	nm1909426	actor	\N	\N
tt2100005	2	nm7580476	actress	\N	\N
tt2100005	3	nm2397617	actor	\N	\N
tt2100005	4	nm1380272	actor	\N	\N
tt2100005	5	nm2355017	writer	\N	\N
tt2100005	6	nm2938399	writer	writer	\N
tt2100005	7	nm1719250	writer	creator	\N
tt2100005	8	nm2206265	actress	\N	\N
tt2100005	9	nm0991799	actor	\N	\N
tt2100006	10	nm0494164	actress	\N	\N
tt2100006	1	nm1909426	actor	\N	\N
tt2100006	2	nm7580476	actress	\N	\N
tt2100006	3	nm2397617	actor	\N	\N
tt2100006	4	nm1380272	actor	\N	\N
tt2100006	5	nm2355017	writer	\N	\N
tt2100006	6	nm2938399	writer	writer	\N
tt2100006	7	nm1719250	writer	creator	\N
tt2100006	8	nm2206265	actress	\N	\N
tt2100006	9	nm0991799	actor	\N	\N
tt2100007	1	nm2320146	actor	\N	["Judge Alex"]
tt2100007	2	nm1545410	actor	\N	["Narrator"]
tt2100007	3	nm3157890	producer	producer	\N
tt2100007	4	nm0843601	composer	\N	\N
tt2100007	5	nm1018175	editor	\N	\N
tt2100007	6	nm0725776	editor	\N	\N
tt2100008	1	nm1299831	self	\N	["Self - Judge"]
tt2100009	1	nm0423538	self	\N	["Self - Judge"]
tt2100009	2	nm3507874	actress	\N	["Bailiff"]
tt2100009	3	nm2140116	producer	producer	\N
tt2100009	4	nm0635207	composer	\N	\N
tt2100010	1	nm0423538	self	\N	["Self - Judge"]
tt2100010	2	nm3507874	actress	\N	["Bailiff"]
