tconst	ordering	nconst	category	job	characters
tt1470000	10	nm2330498	editor	\N	\N
tt1470000	1	nm0004723	self	\N	["Self - Hostess"]
tt1470000	2	nm1552976	self	\N	["Self"]
tt1470000	3	nm2583626	self	\N	["Self"]
tt1470000	4	nm2973326	self	\N	["Self"]
tt1470000	5	nm1729231	director	\N	\N
tt1470000	6	nm1457392	producer	producer	\N
tt1470000	7	nm2798179	composer	\N	\N
tt1470000	8	nm3599794	composer	\N	\N
tt1470000	9	nm0589719	cinematographer	director of photography	\N
tt1470001	10	nm1680372	writer	associate head writer	\N
tt1470001	1	nm0000967	actor	\N	["Victor Newman"]
tt1470001	2	nm0143261	actress	\N	["Sharon Collins"]
tt1470001	3	nm0291785	actress	\N	["Amber Moore"]
tt1470001	4	nm1616668	actor	\N	["Daniel Romalotti"]
tt1470001	5	nm0567993	director	\N	\N
tt1470001	6	nm1267598	writer	head writer	\N
tt1470001	7	nm0790760	writer	co-head writer	\N
tt1470001	8	nm1000124	writer	co-head writer	\N
tt1470001	9	nm1018524	writer	associate head writer	\N
tt1470002	10	nm0310935	producer	producer	\N
tt1470002	1	nm11286080	actor	\N	["Santiago Campa (Racer)"]
tt1470002	2	nm0909340	self	\N	["Self"]
tt1470002	3	nm0567506	actor	\N	\N
tt1470002	4	nm4027501	self	\N	["Self"]
tt1470002	5	nm1219545	director	\N	\N
tt1470002	6	nm1343594	writer	\N	\N
tt1470002	7	nm5048526	producer	producer	\N
tt1470002	8	nm2041972	producer	producer	\N
tt1470002	9	nm0293181	producer	producer	\N
tt1470003	1	nm0636218	self	\N	["Self - Host"]
tt1470003	2	nm3080074	self	\N	["Self"]
tt1470003	3	nm3081200	self	\N	["Themselves"]
tt1470003	4	nm1672964	production_designer	\N	\N
tt1470004	1	nm0636218	self	\N	["Self - Host"]
tt1470004	2	nm3080074	self	\N	["Self"]
tt1470004	3	nm3081200	self	\N	["Themselves"]
tt1470004	4	nm1672964	production_designer	\N	\N
tt1470005	10	nm0139285	editor	\N	\N
tt1470005	1	nm1551130	actress	\N	["True Jackson"]
tt1470005	2	nm2098473	actress	\N	["Lulu Johnson"]
tt1470005	3	nm2397866	actor	\N	["Ryan Laserbeam"]
tt1470005	4	nm0084426	actress	\N	["Amanda Cantwell"]
tt1470005	5	nm0006919	director	\N	\N
tt1470005	6	nm0329985	writer	creator	\N
tt1470005	7	nm0276621	writer	written by	\N
tt1470005	8	nm0772299	composer	\N	\N
tt1470005	9	nm0381353	cinematographer	director of photography	\N
tt1470006	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470006	2	nm0163267	actress	\N	["Robin Griner"]
tt1470006	3	nm0740400	director	\N	\N
tt1470006	4	nm0117857	writer	creator	\N
tt1470006	5	nm0083111	producer	producer	\N
tt1470006	6	nm3253563	composer	\N	\N
tt1470006	7	nm0003922	cinematographer	\N	\N
tt1470006	8	nm0168549	editor	\N	\N
tt1470006	9	nm0281847	production_designer	\N	\N
tt1470007	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470007	2	nm0163267	actress	\N	["Robin Griner"]
tt1470007	3	nm0740400	director	\N	\N
tt1470007	4	nm0117857	writer	creator	\N
tt1470007	5	nm0083111	producer	producer	\N
tt1470007	6	nm3253563	composer	\N	\N
tt1470007	7	nm0003922	cinematographer	\N	\N
tt1470007	8	nm0168549	editor	\N	\N
tt1470007	9	nm0281847	production_designer	\N	\N
tt1470008	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470008	2	nm0163267	actress	\N	["Robin Griner"]
tt1470008	3	nm0740400	director	\N	\N
tt1470008	4	nm0117857	writer	creator	\N
tt1470008	5	nm0083111	producer	producer	\N
tt1470008	6	nm3253563	composer	\N	\N
tt1470008	7	nm0003922	cinematographer	\N	\N
tt1470008	8	nm0168549	editor	\N	\N
tt1470008	9	nm0281847	production_designer	\N	\N
tt1470009	1	nm0001073	actress	\N	["Serena DuVall"]
tt1470009	2	nm0001435	actress	\N	["Fiona Wallice"]
tt1470009	3	nm0005419	self	\N	["Self"]
tt1470009	4	nm0740400	director	\N	\N
tt1470009	5	nm0117857	writer	creator	\N
tt1470009	6	nm0083111	producer	producer	\N
tt1470009	7	nm0003922	cinematographer	\N	\N
tt1470009	8	nm0281847	production_designer	\N	\N
tt1470010	10	nm0281847	production_designer	\N	\N
tt1470010	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470010	2	nm0117857	actor	\N	["Jerome Sokoloff"]
tt1470010	3	nm0053762	actor	\N	["Security Guard"]
tt1470010	4	nm3537185	actor	\N	["Security Guard"]
tt1470010	5	nm0740400	director	\N	\N
tt1470010	6	nm0083111	producer	producer	\N
tt1470010	7	nm3253563	composer	\N	\N
tt1470010	8	nm0003922	cinematographer	\N	\N
tt1470010	9	nm0168549	editor	\N	\N
tt1470011	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470011	2	nm0117857	actor	\N	["Jerome Sokoloff"]
tt1470011	3	nm0740400	director	\N	\N
tt1470011	4	nm0083111	producer	producer	\N
tt1470011	5	nm3253563	composer	\N	\N
tt1470011	6	nm0003922	cinematographer	\N	\N
tt1470011	7	nm0168549	editor	\N	\N
tt1470011	8	nm0281847	production_designer	\N	\N
tt1470012	1	nm0001435	actress	\N	["Fiona Wallice"]
tt1470012	2	nm0117857	actor	\N	["Jerome Sokoloff"]
tt1470012	3	nm0740400	director	\N	\N
tt1470012	4	nm0083111	producer	producer	\N
tt1470012	5	nm3253563	composer	\N	\N
tt1470012	6	nm0003922	cinematographer	\N	\N
tt1470012	7	nm0168549	editor	\N	\N
tt1470012	8	nm0281847	production_designer	\N	\N
tt1470013	1	nm0001073	actress	\N	["Serena DuVall"]
