tconst	ordering	nconst	category	job	characters
tt7280000	10	nm0547700	self	\N	["Self - Contestant"]
tt7280000	1	nm0779992	self	\N	["Self - Host"]
tt7280000	2	nm0292728	self	\N	["Self - Assistant"]
tt7280000	3	nm0052920	self	\N	["Self - Contestant"]
tt7280000	4	nm2515852	self	\N	["Self - Contestant"]
tt7280000	5	nm1301528	director	\N	\N
tt7280000	6	nm7464552	writer	\N	\N
tt7280000	7	nm3623640	writer	\N	\N
tt7280000	8	nm9216145	writer	\N	\N
tt7280000	9	nm3193330	self	\N	["Self - Contestant"]
tt7280002	10	nm2080771	writer	adaptation	\N
tt7280002	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280002	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280002	3	nm0953188	actress	\N	["Doña Miriam Solórzano de Gálvez"]
tt7280002	4	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280002	5	nm0878233	director	\N	\N
tt7280002	6	nm1356260	writer	story	\N
tt7280002	7	nm0722035	writer	adaptation	\N
tt7280002	8	nm0784711	writer	adaptation	\N
tt7280002	9	nm0840805	writer	adaptation	\N
tt7280004	1	nm0128221	producer	producer	\N
tt7280006	1	nm0128221	producer	producer	\N
tt7280008	10	nm1107230	actress	\N	["Minda Alonzo"]
tt7280008	1	nm6004468	actress	\N	["Angela Alonzo"]
tt7280008	2	nm5700268	actress	\N	["Lucille Bermudez"]
tt7280008	3	nm4341463	actor	\N	["Benedict Dizon"]
tt7280008	4	nm3856456	actor	\N	["Gerald Cortez"]
tt7280008	5	nm1931428	director	\N	\N
tt7280008	6	nm1414840	writer	created by	\N
tt7280008	7	nm4486392	writer	head writer	\N
tt7280008	8	nm2766776	composer	\N	\N
tt7280008	9	nm2464901	production_designer	\N	\N
tt7280010	10	nm2080771	writer	adaptation	\N
tt7280010	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280010	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280010	3	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280010	4	nm0479077	actor	\N	["Carretino Carretas"]
tt7280010	5	nm0878233	director	\N	\N
tt7280010	6	nm1356260	writer	story	\N
tt7280010	7	nm0722035	writer	adaptation	\N
tt7280010	8	nm0784711	writer	adaptation	\N
tt7280010	9	nm0840805	writer	adaptation	\N
tt7280012	10	nm2080771	writer	adaptation	\N
tt7280012	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280012	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280012	3	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280012	4	nm0479077	actor	\N	["Carretino Carretas"]
tt7280012	5	nm0878233	director	\N	\N
tt7280012	6	nm1356260	writer	story	\N
tt7280012	7	nm0722035	writer	adaptation	\N
tt7280012	8	nm0784711	writer	adaptation	\N
tt7280012	9	nm0840805	writer	adaptation	\N
tt7280014	10	nm2080771	writer	adaptation	\N
tt7280014	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280014	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280014	3	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280014	4	nm0479077	actor	\N	["Carretino Carretas"]
tt7280014	5	nm0878233	director	\N	\N
tt7280014	6	nm1356260	writer	story	\N
tt7280014	7	nm0722035	writer	adaptation	\N
tt7280014	8	nm0784711	writer	adaptation	\N
tt7280014	9	nm0840805	writer	adaptation	\N
tt7280016	10	nm2080771	writer	adaptation	\N
tt7280016	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280016	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280016	3	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280016	4	nm0479077	actor	\N	["Carretino Carretas"]
tt7280016	5	nm0878233	director	\N	\N
tt7280016	6	nm1356260	writer	story	\N
tt7280016	7	nm0722035	writer	adaptation	\N
tt7280016	8	nm0784711	writer	adaptation	\N
tt7280016	9	nm0840805	writer	adaptation	\N
tt7280020	10	nm2080771	writer	adaptation	\N
tt7280020	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280020	2	nm0033238	actor	\N	["Gabriel Zárate"]
tt7280020	3	nm0623109	actress	\N	["Zorayda Dumont de Zárate"]
tt7280020	4	nm0479077	actor	\N	["Carretino Carretas"]
tt7280020	5	nm0878233	director	\N	\N
tt7280020	6	nm1356260	writer	story	\N
tt7280020	7	nm0722035	writer	adaptation	\N
tt7280020	8	nm0784711	writer	adaptation	\N
tt7280020	9	nm0840805	writer	adaptation	\N
tt7280022	10	nm1334005	writer	\N	\N
tt7280022	1	nm0651263	actress	\N	["Yolanda Llovizna Sánchez"]
tt7280022	2	nm0273623	actor	\N	["Orinoco Fuego"]
tt7280022	3	nm0133862	actress	\N	["Marhuanta Sánchez"]
tt7280022	4	nm0552860	actor	\N	["Caroní Fuego","Jesus Ferrer"]
tt7280022	5	nm1345000	director	\N	\N
tt7280022	6	nm0038445	director	\N	\N
tt7280022	7	nm0217087	director	\N	\N
tt7280022	8	nm1424737	writer	\N	\N
tt7280022	9	nm1333823	writer	creator	\N
tt7280024	10	nm2080771	writer	adaptation	\N
tt7280024	1	nm0554456	actress	\N	["Karla Abreu Campos","Sara Villegas"]
tt7280024	2	nm0033238	actor	\N	["Gabriel Zárate"]
