titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt18023142	3	Episódio #1.8	PT	pt	\N	\N	0
tt18023142	4	Episodio #1.8	IT	it	\N	\N	0
tt18023142	5	एपिसोड #1.8	IN	hi	\N	\N	0
tt18023142	6	Épisode #1.8	FR	fr	\N	\N	0
tt18023142	7	エピソード #1.8	JP	ja	\N	\N	0
tt18024180	1	Article 92	US	\N	\N	\N	0
tt18024688	1	Villager na Vila	BR	\N	\N	\N	0
tt18025924	1	2021年12月12日 のエピソード	JP	ja	\N	\N	0
tt18025924	2	Episódio datado de 12 Dezembro de 2021	PT	pt	\N	\N	0
tt18025924	3	12 दिसम्बर 2021 को प्रसारित एपिसोड	IN	hi	\N	\N	0
tt18025924	4	Épisode datant du 12 décembre 2021	FR	fr	\N	\N	0
tt18025924	5	Episodio datato 12 dicembre 2021	IT	it	\N	\N	0
tt18025924	6	Episodio fechado 12 diciembre 2021	ES	es	\N	\N	0
tt18025924	7	Folge vom 12. Dezember 2021	DE	de	\N	\N	0
tt18026044	1	Opposition im ersten Jahr Erhard	\N	\N	original	\N	1
tt18026044	2	Opposition im ersten Jahr Erhard	XWG	\N	imdbDisplay	\N	0
tt18026592	1	Makers	IL	\N	\N	\N	0
tt18026958	1	9 जनवरी 2022 को प्रसारित एपिसोड	IN	hi	\N	\N	0
tt18026958	2	Episodio datato 9 gennaio 2022	IT	it	\N	\N	0
tt18026958	3	Folge vom 9. Januar 2022	DE	de	\N	\N	0
tt18026958	4	Episódio datado de 9 Janeiro de 2022	PT	pt	\N	\N	0
tt18026958	5	Episodio fechado 9 enero 2022	ES	es	\N	\N	0
tt18026958	6	2022年1月9日 のエピソード	JP	ja	\N	\N	0
tt18026958	7	Épisode datant du 9 janvier 2022	FR	fr	\N	\N	0
tt18027752	1	Épisode datant du 16 janvier 2022	FR	fr	\N	\N	0
tt18027752	2	Episódio datado de 16 Janeiro de 2022	PT	pt	\N	\N	0
tt18027752	3	Episodio datato 16 gennaio 2022	IT	it	\N	\N	0
tt18027752	4	Folge vom 16. Januar 2022	DE	de	\N	\N	0
tt18027752	5	Episodio fechado 16 enero 2022	ES	es	\N	\N	0
tt18027752	6	16 जनवरी 2022 को प्रसारित एपिसोड	IN	hi	\N	\N	0
tt18027752	7	2022年1月16日 のエピソード	JP	ja	\N	\N	0
tt18028428	10	Fantastic Friends	DE	\N	imdbDisplay	\N	0
tt18028428	11	Fantastyczni przyjaciele	PL	\N	imdbDisplay	\N	0
tt18028428	12	Fantastic Friends	ZA	en	imdbDisplay	\N	0
tt18028428	1	Csodálatos Barátok	HU	\N	imdbDisplay	\N	0
tt18028428	2	Fantastic Friends	CA	fr	imdbDisplay	\N	0
tt18028428	3	Fantastic Friends	TW	\N	imdbDisplay	\N	0
tt18028428	4	Fantastic Friends	NL	\N	imdbDisplay	\N	0
tt18028428	5	Fantastic Friends	HK	en	imdbDisplay	\N	0
tt18028428	6	Fantastic Friends	IT	\N	imdbDisplay	\N	0
tt18028428	7	Fantastic Friends	GB	\N	\N	\N	0
tt18028428	8	Fantastic Friends	SE	\N	imdbDisplay	\N	0
tt18028428	9	Fantastic Friends	\N	\N	original	\N	1
tt18028440	1	Evo sad vidis da moze, Elektricni orgazam	\N	\N	original	\N	1
tt18028440	2	Evo sad vidis da moze, Elektricni orgazam	RS	\N	imdbDisplay	\N	0
tt18028674	1	Estudio Shore	MX	\N	imdbDisplay	\N	0
tt18028674	2	Estudio Shore	\N	\N	original	\N	1
tt18028726	1	Episódio datado de 20 Dezembro de 1995	PT	pt	\N	\N	0
tt18028726	2	1995年12月20日 のエピソード	JP	ja	\N	\N	0
tt18028726	3	Episodio datato 20 dicembre 1995	IT	it	\N	\N	0
tt18028726	4	Episodio fechado 20 diciembre 1995	ES	es	\N	\N	0
tt18028726	5	Épisode datant du 20 décembre 1995	FR	fr	\N	\N	0
tt18028726	6	20 दिसम्बर 1995 को प्रसारित एपिसोड	IN	hi	\N	\N	0
tt18028726	7	Folge vom 20. Dezember 1995	DE	de	\N	\N	0
tt18029180	1	1992年12月14日 のエピソード	JP	ja	\N	\N	0
tt18029180	2	Folge vom 14. Dezember 1992	DE	de	\N	\N	0
tt18029180	3	Épisode datant du 14 décembre 1992	FR	fr	\N	\N	0
tt18029180	4	14 दिसम्बर 1992 को प्रसारित एपिसोड	IN	hi	\N	\N	0
tt18029180	5	Episodio datato 14 dicembre 1992	IT	it	\N	\N	0
tt18029180	6	Episodio fechado 14 diciembre 1992	ES	es	\N	\N	0
tt18029180	7	Episódio datado de 14 Dezembro de 1992	PT	pt	\N	\N	0
