tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt4910186	short	More Wine?	More Wine?	0	2015	\N	12	Drama,Short
tt4910238	short	ADdicted	ADdicted	0	2014	\N	14	Comedy,Short
tt4910274	short	Continuity of pages	Continuity of pages	0	2015	\N	13	Drama,Family,Fantasy
tt4910320	short	Cardboard Man	Kartonny chelovek	0	2015	\N	\N	Drama,Short
tt4910326	short	Sunset Park	Sunset Park	0	2014	\N	6	Romance,Short
tt4910330	short	Département 66	Département 66	0	1963	\N	12	Documentary,Short
tt4910434	short	Good Looks	Good Looks	0	2015	\N	7	Drama,Short
tt4910458	short	The Great Grunklumpen Circus	The Great Grunklumpen Circus	0	2016	\N	11	Comedy,Drama,Fantasy
tt4910482	short	Comptez-vous quinze	Comptez-vous quinze	0	1966	\N	\N	Documentary,Short,Sport
tt4910498	short	Heads or Tails	Heads or Tails	0	2016	\N	10	Adventure,Comedy,Drama
tt4910506	short	Na mne krovi net	Na mne krovi net	0	2011	\N	\N	Documentary,Short
tt4910510	short	Elven Castle	Zamok elfov	0	2013	\N	25	Drama,Short
tt4910546	short	La Etiuda	La Etiuda	0	2015	\N	7	Short
tt4910554	short	Câmara das Maravilhas	Câmara das Maravilhas	0	2013	\N	\N	Documentary,Short
tt4910576	short	Without Sunshine	Without Sunshine	0	2015	\N	11	Romance,Short
tt4910612	short	Bad Deal	Bad Deal	0	2015	\N	12	Action,Short
tt4910638	short	Solteiro em aspuros	Solteiro em aspuros	0	2014	\N	\N	Comedy,Short
tt4910656	short	Manny and Bob's Insane Weekend	Manny and Bob's Insane Weekend	0	2013	\N	\N	Comedy,Short
tt4910662	short	The Last Picture	The Last Picture	0	2015	\N	30	Adventure,Drama,Fantasy
tt4910678	short	Up in Smoke	Up in Smoke	0	2003	\N	28	Documentary,Short
tt4910696	short	Congo: Oil Gotten Gains	Congo: Oil Gotten Gains	0	2009	\N	28	Documentary,Short
tt4910720	short	Brazil's Land Revolution	Brazil's Land Revolution	0	2004	\N	\N	Documentary,Short
tt4910722	short	Clown Face	Clown Face	0	2015	\N	4	Short
tt4910742	short	The Other Side	The Other Side	0	2001	\N	\N	Documentary,Short
