tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1270086	short	Die und der Wüste	Die und der Wüste	0	2005	\N	11	Drama,Short
tt1270092	short	In Zeiten des Booms	In Zeiten des Booms	0	2008	\N	19	Short
tt1270102	short	Next Round	Next Round	0	2007	\N	\N	Drama,Short
tt1270105	short	P.O.V.	P.O.V.	0	2008	\N	20	Short
tt1270106	short	Più che la morte	Più che la morte	0	1912	\N	14	Crime,Horror,Short
tt1270108	short	Plain and Simple	Plain and Simple	0	2008	\N	31	Family,Short
tt1270112	short	The Red Room	The Red Room	0	2008	\N	15	Drama,Short,Thriller
tt1270116	short	Mouldy Flowers	Schimmelblume	0	2007	\N	13	Drama,Short
tt1270118	short	T.O.	T.O.	0	2007	\N	8	Drama,Short
tt1270268	short	Mirrors	Mirrors	0	2007	\N	20	Short
tt1270469	short	B.Z.P.C.	B.Z.P.C.	0	2007	\N	\N	Short
tt1270471	short	Choo-choo-3	Chucha-3	0	2004	\N	29	Animation,Musical,Short
tt1270472	short	Darkness	Darkness	0	2006	\N	14	Horror,Short
tt1270476	short	The Last Chance	The Last Chance	0	2007	\N	16	Drama,Short
tt1270483	short	Pepperoni	Pepperoni	0	2008	\N	9	Short
tt1270492	short	Winter's Tale	Winter's Tale	0	2008	\N	15	Sci-Fi,Short
tt1270606	short	The Adventures of a Performing Flea	The Adventures of a Performing Flea	0	1907	\N	\N	Comedy,Short
tt1270618	short	Caro Vittorio	Caro Vittorio	0	2004	\N	8	Documentary,Drama,Short
tt1270621	short	Creadora de sueños. La historia de Felisa Segundo	Creadora de sueños. La historia de Felisa Segundo	0	2008	\N	16	Short
tt1270627	short	Dorami & Doraemonzu: Robotto gakkô nana fushigi!?	Dorami & Doraemonzu: Robotto gakkô nana fushigi!?	0	1996	\N	31	Animation,Short
tt1270628	short	Dorami & Doraemonzu: Uchûrando kiki ippatsu!	Dorami & Doraemonzu: Uchûrando kiki ippatsu!	0	2002	\N	\N	Animation,Short
tt1270630	short	Enthymia apo ti Vaimari	Enthymia apo ti Vaimari	0	1983	\N	12	Documentary,Short
tt1270640	short	Die Geschichte des kleinen Herrn Wau	Die Geschichte des kleinen Herrn Wau	0	1956	\N	\N	Short
tt1270649	short	Ich bin ich	Ich bin ich	0	2006	\N	33	Documentary,Short
tt1270652	short	In Quest of Health	In Quest of Health	0	1907	\N	\N	Comedy,Short
tt1270661	short	Land an der Saar	Land an der Saar	0	1958	\N	\N	Short
tt1270662	short	The Life of Ants	The Life of Ants	0	1913	\N	\N	Documentary,Short
tt1270665	short	Her First Cake	Lottie's Pancakes	0	1907	\N	\N	Comedy,Short
tt1270666	short	The Luck of Life	The Luck of Life	0	1907	\N	\N	Drama,Short
tt1270667	short	Mikri elegeia	Mikri elegeia	0	1983	\N	20	Short
tt1270671	short	The Animated Pillar-Box	Our New Pillar Box	0	1907	\N	\N	Comedy,Short
tt1270681	short	Radiography in Practice	Radiographie et ses applications	0	1911	\N	\N	Documentary,Short
tt1270684	short	Sand Hoppers	Sand Hoppers	0	1913	\N	\N	Documentary,Short
tt1270690	short	Seen at the Chiropodist's	Seen at the Chiropodist's	0	1907	\N	\N	Comedy,Short
tt1270698	short	The Hole	I trypa	0	1983	\N	7	Animation,Short
tt1270704	short	When the Mistress Took Her Holiday	When the Mistress Took Her Holiday	0	1907	\N	\N	Comedy,Short
tt1270709	short	Über Land und Wolken	Über Land und Wolken	0	1959	\N	\N	Short
tt1270764	short	The Gift	The Gift	0	1997	\N	8	Comedy,Short
tt1270780	short	Open Your Eyes	Open Your Eyes	0	2008	\N	15	Drama,Short
tt1270831	short	Flashover	Flashover	0	2008	\N	30	Short
tt1270838	short	I Want a Hug	I Want a Hug	0	2006	\N	12	Comedy,Short
tt1270845	short	Remember the Eyes	Remember the Eyes	0	2008	\N	15	Drama,Short
tt1271967	short	Animated American	Animated American	0	2008	\N	15	Comedy,Short
tt1271968	short	The Break-in	The Break-In	0	2008	\N	5	Drama,Short
tt1271970	short	Doxology	Doxology	0	2007	\N	7	Animation,Comedy,Short
tt1271975	short	His Good Will	His Good Will	0	2008	\N	11	Short
tt1271976	short	I Saved the World from Global Warming!	I Saved the World from Global Warming!	0	2008	\N	18	Comedy,Short
tt1271982	short	The Proctor	The Proctor	0	2007	\N	21	Comedy,Drama,Short
tt1271983	short	Push	Push	0	2008	\N	\N	Action,Short
tt1271986	short	Sonnet	Sonnet	0	1990	\N	7	Short
tt1272128	short	Abigail's Spring	Abigail's Spring	0	2008	\N	22	Drama,Mystery,Short
tt1272130	short	The Boundary	The Boundary	0	2008	\N	12	Drama,Short
tt1272134	short	Just	Just	0	2007	\N	12	Drama,Short
tt1272136	short	Shy	Shy	0	2008	\N	12	Drama,Short
tt1272137	short	Every Breath You Take	Every Breath You Take	0	2008	\N	10	Drama,Short
tt1272493	short	En sikker vinder	En sikker vinder	0	2008	\N	13	Horror,Short
tt1272882	short	Crickets	Crickets	0	2008	\N	4	Mystery,Short
tt1273220	short	Limbo	Limbo	0	2007	\N	\N	Drama,Fantasy,Short
tt1273223	short	Miel	Miel	0	2008	\N	5	Drama,Short
tt1273226	short	Model Rules	Model Rules	0	2008	\N	10	Drama,Short
tt1273650	short	Beer Goggles	Beer Goggles	0	2002	\N	6	Comedy,Short
tt1273651	short	Bottled Up	Bottled Up	0	2008	\N	19	Drama,Short
tt1273652	short	The Brass Teapot	The Brass Teapot	0	2007	\N	22	Short,Thriller
tt1273659	short	Eliza	Eliza	0	2008	\N	18	Drama,Short
tt1273666	short	Jung Speaks of Freud	Jung Speaks of Freud	0	1958	\N	28	Documentary,Short
tt1273669	short	Mia cara Camilla	Mia cara Camilla	0	1994	\N	\N	Drama,Short
tt1273681	short	This Little Piggy	This Little Piggy	0	2008	\N	14	Comedy,Short
tt1273802	short	Le feu, le sang, les étoiles	Le feu, le sang, les étoiles	0	2008	\N	15	Drama,Short
tt1273804	short	Her Vietnam	Her Vietnam	0	2008	\N	11	Drama,Short,War
