nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0610000	Norma Mourin	\N	\N	miscellaneous	tt0109385,tt0317772
nm0610001	Edgard Mourino	\N	\N	stunts,actor	tt0082031,tt0091499,tt0112461,tt0088161
nm0610002	Eric Mourino	\N	\N	actor,stunts	tt0088161,tt0084735,tt0082402,tt0086946
nm0610003	Renier Mourino	\N	\N	actor,stunts	tt0084735,tt0086946
nm0610005	Caroline Mouris	\N	\N	animation_department,director,producer	tt0098927,tt0832937,tt0178687,tt0090708
nm0610006	Frank Mouris	\N	\N	animation_department,director,writer	tt0090708,tt0098927,tt8946546,tt0178687
nm0610007	Nathalie Mourits	\N	\N	actress	tt1755305,tt0096597
nm0610008	Elin K. Mouritsen	\N	\N	actress	tt15702034,tt0208783,tt0096845
nm0610009	Ryan Mouritsen	1975	2009	miscellaneous,actor	tt0118863,tt0284722,tt0370254,tt1196953
nm0610010	Auguste Mouriès	1883	1956	actor	tt0185168,tt0022877,tt0201370,tt0199068
nm0610011	Claude Mouriéras	1953	\N	director,writer,cinematographer	tt0117541,tt0359855,tt0213595,tt0156478
nm0610012	Pavlína Mourková	1965	\N	actress	tt0093786,tt0098121,tt0239184,tt0086284
nm0610013	Albert Mourlan	\N	\N	animation_department,director	tt4586536,tt4566266,tt4610234,tt0140089
nm0610014	Antonis Mourlas	\N	\N	director,writer	tt0255984
nm0610015	Gwendoline Mourlet	\N	\N	actress	tt0090206,tt0320913
nm0610017	Alonzo Mourning	1970	\N	actor	tt0117705,tt0111994,tt0308506,tt0106056
nm0610018	Jack Mourning	\N	\N	miscellaneous	tt0072584
nm0610019	Mournira	\N	\N	actress	tt0181450
nm0610020	Encarnación Mouro	\N	\N	actress	tt0302447,tt0206617,tt0424658,tt0373478
nm0610021	Leonardo Mouro	\N	\N	sound_department	tt0116994,tt0137175,tt0121081
nm0610022	Max Mouron	\N	\N	actor	tt0161071,tt0160831,tt0160947
