nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm4740000	Alison Chen	\N	\N	miscellaneous,camera_department,actress	tt2093213,tt1978428,tt3278300,tt0056758
nm4740001	George Weingeroff	\N	\N	actor	tt6063916,tt9568352,tt0222648
nm4740002	Stevo Soltés	\N	\N		tt1755103
nm4740004	Edward Newton	\N	\N	producer,production_manager	tt4438250,tt2759372,tt1862929
nm4740006	Josiah David Warren	1989	\N	actor,director,composer	tt4460430,tt4936370,tt2093269,tt9261416
nm4740007	David Petrucci	1978	\N	director,cinematographer,editor	tt3610576,tt14962046,tt2111343,tt2111441
nm4740008	Emma Chaibedra	\N	\N	actress,director,writer	tt7583894,tt8267608,tt7175216,tt11200284
nm4740009	Clara Sandoval	\N	\N	actor	tt2093226
nm4740010	Xin Lian	\N	\N	camera_department	tt2093116
nm4740011	Clotilde Tavares	\N	\N		\N
nm4740012	Gary Groesbeck	\N	\N	actor	tt2093174
nm4740013	Chi-Yuen Leung	\N	\N	production_manager	tt0091293
nm4740014	Han Bao	\N	\N	visual_effects,animation_department	tt2093053,tt20860892
nm4740015	Yi-Chiu Yuen	\N	\N	script_department	tt0093308
nm4740016	Eric Moneypenny	\N	\N	writer,actor,miscellaneous	tt2244495,tt2627616,tt6693018,tt5182250
nm4740017	Claire Beunkens	\N	\N	editorial_department,miscellaneous	tt2009488,tt8396822
nm4740018	Griffin Hall	\N	\N	location_management,producer,miscellaneous	tt12438956,tt2083160,tt2245137
nm4740019	Sean Murdock	\N	\N	writer,producer,director	tt8966678,tt8458210,tt2093046,tt8431546
nm4740020	Jeff Worley	\N	\N	editorial_department,camera_department,producer	tt3148552,tt2546764,tt2511058,tt2083160
nm4740023	Facundo Lublin	\N	\N	actor	tt1922406
nm4740024	Alexia Cambon	\N	\N	actress	tt1990337
nm4740025	Scot Michael Walker	\N	\N	actor,editor,writer	tt2262023,tt7651500,tt3387310,tt3957334
nm4740026	Jakada Imani	\N	\N		tt1966464
nm4740027	Arthur Hazlitt	\N	\N		\N
nm4740028	Edwarda Zukowska	\N	\N		tt1939646
nm4740029	Brianna Mirkovich	\N	\N	actress	tt1990337
nm4740030	Stratton Richey	\N	\N		tt2039535
nm4740031	Reza Razi	\N	\N	actor	tt2093184
nm4740032	Biet Gica	\N	\N	actor	tt0479341
nm4740033	John A. Tolle	\N	\N	actor	tt1566041
nm4740034	Casimiro Nuno Santos	\N	\N		\N
nm4740035	Andrzej Stopa	\N	\N	director,writer,editor	tt2093047,tt5732540,tt3500814,tt2298756
nm4740036	Man-Kam Choi	\N	\N	actor	tt0091293
nm4740037	Scott Duran	\N	\N	actor,art_department,camera_department	tt2950620,tt2093307,tt2199301
nm4740038	David Shoenfeld	\N	\N	producer	tt3749926,tt9061804,tt5789154,tt3117650
nm4740039	Gillian Miller	\N	\N	actress,costume_department	tt2093213,tt4837128,tt2357851
nm4740040	Aya	\N	\N		tt2092575
nm4740041	Gina Burlacu	\N	\N	actress	tt0479341
nm4740042	West Decker	\N	\N	animation_department	tt2083160
nm4740043	Giorgos Mellos	\N	\N	actor	tt3186946,tt2075223
nm4740045	Matka Guráz	\N	\N		tt2092575
nm4740047	Emilio Ciriza	\N	\N	actor	tt7764618,tt1569539,tt3437412
nm4740049	Olaya Caraballo	\N	\N	script_department	tt2093113
nm4740050	Mariaelena Torres	\N	\N	actress	tt1990337
nm4740051	Peter Hannert	\N	\N	visual_effects	tt0471042
nm4740052	Nina Vu	\N	\N		tt2093081
nm4740054	Ron McPherson	\N	\N	actor	tt2401007,tt2093276,tt8862058
nm4740055	Cesar Sierra	\N	\N	actor	tt1990337,tt10932638
nm4740057	Cameron Gharabiklou	\N	\N	producer	tt1815903
nm4740059	JinYoung Choi	\N	\N	actress	tt8509922,tt8372778,tt1650552,tt2093255
nm4740060	Richard Kraus	\N	\N	producer	tt7611106,tt2584574,tt3455372
nm4740061	Starla Campbell	\N	\N		tt2016513
nm4740062	Shay Berns	\N	\N	miscellaneous	tt0479341
nm4740063	Volkstanzgruppe Schmidatal	\N	\N		tt1987893
nm4740064	Eric A. Whipple	\N	\N	actor,producer	tt1705100,tt2991654,tt2140189,tt1859573
nm4740066	Connor Bates	\N	\N	actor	tt2595316,tt5164664,tt3863894,tt2209649
nm4740067	Marilyn Kim	\N	\N	actress	tt0471042,tt2758138
nm4740069	Robert Crandall	\N	\N		tt0270116,tt1966464
nm4740070	Arman Ali	\N	\N	actor	tt2093174,tt2362542,tt4457748,tt3954836
nm4740071	Shira Pinhas	\N	\N	miscellaneous,manager	tt0479341
nm4740072	Mark Pallottino	\N	\N	actor,camera_department,producer	tt2093226
nm4740073	Pavol Remenár	\N	\N		tt2092575
nm4740074	Weronika Borek	\N	\N	actress	tt2093047,tt0439389
nm4740075	George Hindsley	\N	\N	actor	tt0042141
nm4740076	Ross C. Turner	\N	\N	camera_department,editor,producer	tt2885552,tt2093268,tt6298418,tt4619170
nm4740077	Weigang Jiang	\N	\N	animation_department,assistant_director	tt2093053
nm4740078	Alyssa Fritz	\N	\N	actress,writer,assistant_director	tt5302912,tt13876970
nm4740079	Kevin Bab	\N	\N	actor	tt1566041
nm4740080	Razvan Dinu	\N	\N	actor,miscellaneous	tt5446814,tt0479341
nm4740081	Ariella Fiore	\N	\N	actress,music_department	tt3597790,tt7993516,tt2093187,tt2314366
nm4740082	Gabriel Mindreanu	\N	\N	miscellaneous	tt0479341
nm4740083	Eva Achinger	\N	\N	writer,director,camera_department	tt6972952,tt15673472,tt0465838,tt0465857
nm4740085	Wild People	\N	\N		tt1755103
nm4740086	Segio Medrano Puga	\N	\N	writer	tt2091439
nm4740087	Shuntay Day	\N	\N	producer	tt2093168
nm4740088	Crystal Conley	\N	\N		\N
nm4740089	Christian Perwass	\N	\N		tt2039535
nm4740090	Roberta Virzì	\N	\N	actress	tt2093145
nm4740091	Tim Winse	\N	\N	composer	tt2093171
nm4740092	Fen Fan	\N	\N	assistant_director	\N
nm4740093	Benny Dotan	\N	\N	transportation_department	tt0479341
nm4740094	Salli Wason	\N	\N		\N
nm4740095	Billy Sorapod Benjauthrit	\N	\N	actor	tt2093143
nm4740097	Véronique Borgias	\N	\N	miscellaneous	tt2093234,tt11049898
nm4740098	Alex Morrows	\N	\N	miscellaneous	tt1607785
nm4740099	Jonathan Hunter	\N	\N	animation_department	tt1349645
nm4740100	Subashish	\N	\N	actor,assistant_director	tt2941888,tt2320278
nm4740101	Shay Roddy	\N	\N	producer	tt2093176
nm4740102	Robert Dean	\N	\N		\N
nm4740103	Xhelal Haliti	\N	\N	actor,director,editor	tt6358454,tt4278424,tt6665464,tt4224610
nm4740104	Neal Lozins	\N	\N	actor	tt2093174
nm4740105	Sean MacDonald	\N	\N		\N
nm4740106	Justin Dailey	\N	\N	editorial_department,camera_department,producer	tt5474054,tt3607124,tt15751906,tt2096561
nm4740107	Lee Ah Yen	\N	\N	actor	tt3376192,tt3261930,tt3730034,tt10156108
nm4740108	Jessica Hilton	\N	\N	miscellaneous	tt1990181
nm4740109	Joshua De La Cruz	\N	\N	actor,writer,assistant_director	tt2093307,tt2199301
nm4740110	Nicu Radu	\N	\N	transportation_department	tt2287214,tt1985443,tt3503840,tt8954732
nm4740111	Kevin Battle	\N	\N		\N
nm4740112	Zuzana Kollmanová	\N	\N		tt1755103
nm4740113	Saara Chaudry	2004	\N	actress,miscellaneous,writer	tt11875316,tt3901826,tt8602408,tt5200330
nm4740114	Junko Kishi	\N	\N	animation_department	tt2091114
nm4740115	Sarah Stewart	\N	\N		tt0206501,tt5673912
nm4740116	Assar	\N	\N	composer	tt0372349
nm4740117	Amanda Isaacson	\N	\N	actress	tt1842330
nm4740118	Nava Ghalili	\N	\N	actress	tt2069951
nm4740119	Martyn Hocking	1964	\N		tt2039535
nm4740120	Stan Buchesky	\N	\N		\N
nm4740121	Antero Soares Lopes	\N	\N		\N
nm4740122	Kelly Cordes	\N	\N	miscellaneous,writer	tt2093084,tt10613502
nm4740123	Gabriele Pfaffenberger	\N	\N	writer,camera_department,director	tt0465857,tt6972890,tt0284746
nm4740124	Jaume Alcina	\N	\N	editorial_department,visual_effects	tt8286772,tt10436206,tt1763217,tt5541794
nm4740125	David Hynds	\N	\N		\N
nm4740126	Courtney Matthews	\N	\N	make_up_department	tt9608818,tt2083160,tt9139586
nm4740127	Kevin Poutinen	\N	\N	editorial_department	tt2069951
nm4740128	Ron Seggi	\N	\N	actor	tt2093081,tt3230700,tt2091297
nm4740129	Elin Palmer	\N	\N	music_department	tt2009488
nm4740132	Alek Malo	\N	\N		tt2092575
nm4740134	Costel Dumitru	\N	\N	transportation_department	tt0479341
nm4740135	Jing-Sung Li	\N	\N	actor,art_director,assistant_director	tt0083062,tt2914872,tt0105842
nm4740136	Sukhmani Singh	\N	\N	miscellaneous	tt1928180
nm4740137	Serafim Marques Ferreira	\N	\N		\N
nm4740138	Erica Caskey	\N	\N		\N
nm4740139	Neil Wagstaff	\N	\N	camera_department	tt1862929
nm4740140	Daniel N. Butler	1984	\N	producer,editor,actor	tt6074542,tt5045386,tt15891670,tt4428214
nm4740141	Miyuki Onodera	\N	\N	animation_department,art_director,art_department	tt1216222,tt0376397,tt4954660,tt1974262
nm4740142	Hiroe Yu	\N	\N	writer	tt0122103
nm4740143	Julien Cayot	\N	\N	animation_department,director,assistant_director	tt1817311,tt5109144,tt7699866,tt2129477
nm4740144	Sharat Chowdhary	\N	\N	actor	tt2043923
nm4740145	Trey Lane	\N	\N	director,producer,writer	tt2797224,tt3419454,tt6649612,tt2386472
