nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm1320000	Derek Ryder	\N	\N		\N
nm1320001	Jac Rytterholm	1970	\N	actor,producer	tt0352330,tt0369694
nm1320002	Jola Rzebuska	\N	\N	actress	tt0351167
nm1320003	Pálné Rátonyi	\N	\N	actress	tt0105902
nm1320004	Helge Rørbæk	\N	\N	miscellaneous,production_designer	tt0327321,tt0128007,tt0332960,tt0218777
nm1320005	Abba Sabre	\N	\N	actor	tt0307913
nm1320006	Bernadette Sacy	\N	\N	stunts	tt0092508,tt0087627
nm1320007	Gülendam Sahin	\N	\N		tt0352595
nm1320008	Amparo Salazar	\N	\N	actress	tt0128724
nm1320010	Paul Salmon	\N	\N	art_department,animation_department,visual_effects	tt0819936,tt2465238,tt0081848,tt1454016
nm1320012	Din Jim Sam	\N	\N	actor	tt0093055
nm1320013	Joe Samachson	1906	1980	writer	tt7167686,tt1213218,tt1641384,tt5419200
nm1320014	Thioumbe Samb	\N	\N	actor	tt0240510
nm1320015	Dmitri Samodumov	\N	\N	actor	tt0314113
nm1320016	Milos Samolov	1974	\N	actor	tt12914570,tt0884853,tt6108262,tt0380933
nm1320017	Dario Samudio	\N	\N	actor,art_department	tt0301647
nm1320018	Jovan Sanader	\N	\N	writer	tt0352985
nm1320019	J.C. Sanches	\N	\N	actor	tt0101601
nm1320020	Rosalynda Sanchez	\N	\N		tt0148619
nm1320021	Kaare Sand	\N	\N	producer,writer,actor	tt4628854,tt4628866,tt6498726,tt0488364
nm1320022	Craig A. Sanford	\N	\N		tt0352722
nm1320023	Toumani Sangaré	\N	\N	director,actor,editor	tt9391692,tt13478034,tt11230212,tt4964258
nm1320024	Malam Sanha	1947	2012		tt0346853
nm1320025	Jean-Luc Santerre	\N	\N	art_department	tt1423894,tt1840417,tt0252503,tt3488710
nm1320026	Johanna Santi	\N	\N		\N
nm1320027	Joaquim Santos	\N	\N	camera_department,actor,make_up_department	tt0352372,tt0038679,tt0040944
nm1320028	Maurício Santos	\N	\N	producer,miscellaneous,editorial_department	tt0279765,tt0056020,tt0492464,tt0240856
nm1320029	Silvia Sanvicente	\N	\N	miscellaneous	tt6393296,tt3949658,tt1684928,tt1166107
nm1320030	Lenny Sanz	\N	\N	actor	tt0364823,tt0381741,tt0134269,tt0352697
nm1320031	Louis Sapp III	\N	\N	actor	tt0352494
nm1320032	Djun Saptohadi	\N	\N	director	tt1729204,tt1729242,tt0352441
nm1320033	Georg Markowitz	\N	\N	production_manager,producer,miscellaneous	tt1318774,tt4381352,tt0806910,tt0115088
nm1320034	Nanna Bentzon Sarauw	\N	\N	writer,camera_department	tt0352062,tt0386232
nm1320035	Céline Sarpy	\N	\N	costume_designer,costume_department	tt0377060,tt0407084,tt0403478,tt0352884
nm1320036	Julie Sauriol	\N	\N	costume_department	tt1667353,tt5672286,tt0414993,tt0252503
nm1320037	Nuran Savas	\N	\N	cinematographer	tt0353023
nm1320038	Marija Savatic	\N	\N	actress	tt0181328
nm1320039	Habel A.N. Sawaki	\N	\N	producer	tt0344801
nm1320040	Jaroslaw Sawko	\N	\N	producer,visual_effects	tt0451279,tt0870984,tt11657662,tt1527186
nm1320041	Joseph Scaffido	\N	\N	miscellaneous	tt0346952
nm1320042	María José Scaglione	\N	\N	actress	tt0254110
nm1320043	Luis Scalercio	\N	\N	cinematographer,producer	tt0456720,tt0456399,tt0350720,tt0376903
nm1320044	Matías Scarbazzi	\N	\N	actor	tt0298502
nm1320045	Isis Schabana	1974	\N	actress	tt0103487,tt12539222,tt0476965
nm1320046	Suzanne Schachter	\N	\N	manager,casting_director,executive	tt0352155
nm1320047	Gunther Schade	\N	\N	producer	tt0235605
nm1320048	Pepo Scherman	\N	\N	music_department,composer	tt6852424,tt0326977,tt0475551
nm1320049	Rosanna Schettina	\N	\N	actress	tt0028571,tt0030557,tt0027486,tt0026913
nm1320050	Karl Schichter	\N	\N	writer	tt0042125,tt0043225
nm1320051	Oliver Schimmel	1979	\N	editorial_department,miscellaneous,editor	tt2193041,tt8722888,tt1043813,tt3079768
nm1320052	Hans Schlegel	1882	1957	writer	tt0812231,tt1278032,tt0352781,tt1673717
nm1320053	Timmy Schminkle	\N	\N	camera_department	tt0202623
nm1320054	Monica Schneider	\N	\N	actress,costume_department	tt0111896,tt0210570,tt2883998
nm1320055	Kayla Schneider-Smith	\N	\N	actress	tt0337802
nm1320056	Robert Schnorr	1920	2001	writer	tt4486094,tt0057819,tt1082113,tt0345504
nm1320057	Gunther Schockaert	\N	\N	camera_department,miscellaneous	tt1837703,tt2431438,tt0424205,tt2070776
nm1320058	Ernst Schoen	\N	\N	writer	tt0352857,tt1587673,tt1975873
nm1320059	Dallas Schoo	\N	\N	miscellaneous	tt11076052,tt0096328,tt0381071,tt1229360
nm1320060	Lars Schou	\N	\N	cinematographer,camera_department,director	tt6895734,tt1722621,tt0366689,tt6895772
nm1320061	Antonio Schreiber	\N	\N	actor	tt0352930
nm1320062	Nicky Schreiter	\N	\N	assistant_director	tt0352356
nm1320063	Ernst Schröfel	\N	\N		tt0346853
nm1320064	Eva Schuch	\N	\N	actress	tt0352611,tt6962698,tt2007168
nm1320065	Eike Schulenburg	\N	\N		tt0346853
nm1320066	Vanessa Schulte	\N	\N		tt0353013
nm1320067	Susie Schwartz	\N	\N	actress	tt0486531,tt0352995,tt0277909
nm1320068	Walter Andreas Schwarz	1913	1992	actor,writer,soundtrack	tt11333490,tt6839788,tt0846833,tt4455700
nm1320069	Tommy Schwimmer	1988	\N	actor	tt0480083,tt1111847,tt1063669,tt0896680
nm1320070	Ulla Schytte	\N	\N	actress	tt0128891,tt12861226,tt0352802
nm1320071	Mary Katherine Scott	\N	\N	miscellaneous	tt0346952
nm1320072	Roger Scott-Lindfield	\N	\N	actor	tt0476568
