nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm4110000	El Trío Maya	\N	\N	actor	tt0140437
nm4110002	Tyler Ward	\N	\N	sound_department,actor,camera_department	tt1737736,tt2728988,tt8344398
nm4110004	Raffi Miranda	\N	\N	actor	tt1737668,tt3409332
nm4110005	Brendan Loughman	\N	\N	miscellaneous	tt0979432,tt1068242
nm4110007	Lawrence Thompson	\N	\N	talent_agent,executive	\N
nm4110009	Maria João Avilez	1945	\N		tt1736808,tt15608480,tt13446288,tt11713398
nm4110010	Laureen Smith	\N	\N	actress,producer	tt1672177
nm4110011	Wen-na Yi	\N	\N	actress	tt1737188
nm4110012	Michael Wine	\N	\N	composer,music_department,sound_department	tt2409800,tt1737666
nm4110014	Nicolas William Sterner	\N	\N		tt1737124
nm4110015	Gary Lippman	\N	\N	producer	tt1703923,tt4884188
nm4110016	Maria Grover	\N	\N	actress,writer,producer	tt1582196,tt2397022
nm4110017	Abhishek Khanna	\N	\N	actor	tt5946128,tt1166100
nm4110020	Marc Leitzel	\N	\N	animation_department,actor,writer	tt1737687,tt12788198,tt12497862,tt6875006
nm4110021	Carolina Conte	\N	\N	director,editor,producer	tt1737089,tt1528381,tt2251369,tt14316642
nm4110022	Hassan Bazzoun	\N	\N	actor,cinematographer,assistant_director	tt1737701
nm4110023	Paco Espinoza	\N	\N	cinematographer,director,writer	\N
nm4110024	Jason Tseng	1981	\N	actor,soundtrack	tt1737069,tt8019750
nm4110025	Tomi Tervonen	\N	\N	actor	tt1737223
nm4110026	Pritesh Shah	\N	\N	actor,producer,writer	tt4364202,tt6244528,tt10148174,tt5541338
nm4110027	Willy Mollerup	\N	\N	actor	tt1737765
nm4110028	Brendon Bradford	\N	\N	camera_department,editor,producer	tt7941908,tt2728988,tt5869974,tt2188757
nm4110029	Helen Gates Stephens	\N	\N		tt0773257
nm4110030	Preena Sodiiseeo	\N	\N	actor	tt1737104
nm4110031	Ada Antongiovanni	\N	\N	actress	tt1467273
nm4110032	Pau Torres	\N	\N	editor	tt1737211
nm4110033	Kat Palardy	\N	\N	actress,editor,writer	tt3683824,tt2913660,tt2297208,tt8299768
nm4110035	Erkki Salonen	\N	\N		tt1663751
nm4110037	Katsuhiro Nishida	\N	\N		\N
nm4110038	John Dennison	\N	\N	actor	tt1737644,tt2074330
nm4110039	Lauren Fleming	\N	\N	producer,miscellaneous,production_manager	tt1737691,tt10850008,tt2452978,tt1737632
nm4110040	Anna Yoannon	\N	\N	miscellaneous	tt1693965,tt1688638,tt4346344,tt1665406
nm4110041	Faten Kheymegahi	\N	\N	production_designer	tt1733105,tt1827365
nm4110042	Dylan Don Dirka	\N	\N	actor,camera_department	tt1380799
nm4110043	Philip St. Gelais	\N	\N	writer,producer,director	tt5966244,tt4488668,tt3889630,tt5711440
nm4110044	Ilya Leshinsky	\N	\N	actor	tt9787468,tt16867440,tt11590780,tt15565562
nm4110045	Alejandro Postigo	\N	\N	actor	tt1737646,tt2091320,tt1582350,tt3299672
nm4110046	Norbert Bohnsack	\N	\N	writer	tt1314701,tt0943248
nm4110047	William Chen	\N	\N		\N
nm4110048	Mike Gonzales	\N	\N	sound_department	tt1152286
nm4110050	Stephanie Ohlson Sandalis	\N	\N	sound_department	tt1737736
nm4110051	Helena De Lang	\N	\N	actress	tt0841922
nm4110053	Ed Corrie	\N	\N	actor	tt1721191
nm4110054	Christian Ananías	\N	\N	actor	tt1737199,tt1825953
nm4110055	Sandra Schewe	\N	\N	art_department	tt2763594,tt1737749
nm4110056	Suzi Davis	\N	\N	actress	tt0085031,tt16226832
nm4110057	Jason Huy Linh Nguyen	\N	\N	miscellaneous	tt1737632
nm4110058	Francesco Marchione	\N	\N	miscellaneous,assistant_director,art_department	tt1683526,tt1273219,tt1598822,tt1772292
nm4110059	Jane McDougle	\N	\N	actress	tt0085031
nm4110061	Jason Macmanus	\N	\N		tt1730752
nm4110062	Henry Paker	\N	\N	miscellaneous,writer,actor	tt1708367,tt8755818,tt5200372,tt1719306
nm4110063	Jabrille Williams	\N	\N		tt1737074
nm4110064	Jonathan Moehnke	\N	\N	music_department,producer	tt1753970,tt1737391
nm4110065	Rebwar Hama Hawrami	\N	\N	actor,casting_director,location_management	tt4359764,tt1827365,tt1733105
nm4110067	Sari Blik	\N	\N	art_director	tt1737086
nm4110068	Ari Daniel	\N	\N	producer,sound_department,composer	tt15831294,tt1737136,tt8458634,tt0206501
nm4110069	Connie Moran	\N	\N	costume_department	tt1737594
nm4110070	Alexandra Shaw-Doran	\N	\N	actress,miscellaneous	tt1737115
nm4110071	Basil Spence	1907	1976		tt7782590,tt2125473,tt1872202,tt2627360
nm4110072	Samuel Åberg	\N	\N	sound_department,actor	tt2011970,tt2180271,tt1556243,tt1856014
nm4110073	Miyuki Yanagi	\N	\N	camera_department	tt1737653
nm4110074	Omar Ponce	\N	\N	writer	tt1737792,tt9717424,tt16389768
nm4110075	Kaye Woltman	\N	\N	producer	tt1737632
nm4110076	Paul Mellon	\N	\N	camera_department,cinematographer	tt1721191,tt2529272,tt14091684,tt1720667
nm4110077	Alana Speed Harris	\N	\N	art_director,make_up_department	tt1737688
nm4110078	Rachell Shapiro	\N	\N	producer,director,writer	tt0094416,tt2231922,tt1737660
nm4110080	Sarah Sakaan	\N	\N	actress	tt1737732,tt1814836
nm4110083	Roberto Tassi	\N	\N	sound_department	tt1737683
nm4110084	Dana Ahmad	\N	\N	camera_department,transportation_department	tt1827365
nm4110085	Sophia Morrell	\N	\N	actor	tt1737713
nm4110086	Becky Reilly	\N	\N	make_up_department,writer,assistant_director	tt1737694
nm4110087	Jacques Van Moorsel	\N	\N	production_designer	tt0064290
nm4110088	Tulika Basu	\N	\N	actress	tt1399178,tt7887062,tt4208710,tt3148268
nm4110089	Jean Carlo Penaloza	\N	\N	editor,director,cinematographer	tt21908154,tt1737165
nm4110090	Wendy Taylor	\N	\N		tt0077082
nm4110091	Aldo Escobar	\N	\N	actor	tt0866442
nm4110092	Arup Chatterjee	\N	\N	producer	tt1737234
nm4110093	Michael Szymczak	\N	\N	miscellaneous	tt1737632
nm4110094	Titty Joy George	\N	\N	actor	tt0308451
nm4110095	Bryan Kerr	\N	\N	producer,director,writer	tt19768758,tt4806794,tt4789278,tt4949882
nm4110096	Luca Coltri	\N	\N	cinematographer,camera_department	tt5617312,tt1737649
nm4110097	Graham Driver	\N	\N	cinematographer	tt1737121
nm4110098	Rachel Valinsky	\N	\N	art_director	tt1737592
nm4110099	Marsha Smith	\N	\N		tt1737672
nm4110100	Rebwar Amin	\N	\N	actor	tt1827365
nm4110101	Astilean Dan	\N	\N	actor	tt10802116,tt1737255,tt7165426,tt12932374
nm4110102	Raja Chanda	\N	\N	director,music_department,soundtrack	tt4771796,tt3812238,tt4882700,tt3091982
nm4110103	Clayton Farr	\N	\N	producer,assistant_director,camera_department	tt1737689,tt2265321,tt2236886
nm4110104	Petr Pochop	1975	\N	actor	tt7058158,tt1380799,tt3041784,tt1833295
nm4110105	Sunorah Bingham	\N	\N	actress	tt1737164
nm4110107	Joe Hubers	\N	\N	actor	tt1691128
nm4110108	Edoardo Ferrari	\N	\N	actor	tt13917982,tt1467273
nm4110109	Chris Shelton	\N	\N	miscellaneous	tt1737125,tt5434010
nm4110110	Kamaran Nury	\N	\N	production_manager	tt1827365
nm4110111	Ayub Aamar	\N	\N	camera_department	tt1737086,tt1737715
nm4110114	Vincent Talouit	\N	\N		tt0985074
nm4110115	Ahmad Ayoub	\N	\N	actor,sound_department	tt1737701
nm4110117	Popa Ovidiu	\N	\N	actor	tt1745739,tt11183670,tt1737255
nm4110118	Richard Woltman	\N	\N	producer	tt1737632
nm4110119	Marko Attila Hoare	\N	\N		tt1737216
nm4110120	Anthony Licardello	\N	\N	actor	tt1737184
nm4110121	Merrie Hart	\N	\N	miscellaneous	tt1737167
nm4110122	Patrik Jílek	\N	\N	actor	tt4538820,tt1401684,tt1521485,tt8874788
nm4110124	Don Klippenstein	\N	\N	producer	tt1737161
nm4110125	Emily Ferranti	\N	\N	actress	tt1737655,tt3978844,tt3487382
nm4110126	Fabrice Rodriguez	\N	\N	art_department	tt1314701
nm4110127	Holly S. Lohuis	\N	\N		tt1737124,tt8240678,tt4256576
nm4110128	Chun-ling Wang	\N	\N	animation_department,miscellaneous	tt0329829,tt1737269
nm4110129	Devin 'Boo' Veras	\N	\N	camera_department	tt1737088
nm4110130	Johanna Morales	\N	\N	production_manager	tt6513096
nm4110131	Lisa Lokshin	\N	\N	miscellaneous	tt0080249,tt1315058,tt1618371,tt0066684
nm4110132	Changrong Hou	\N	\N	actor	tt15199554,tt3626868,tt10095466,tt13430112
nm4110133	Himanshu Dhanuka	\N	\N	producer	tt2770974,tt4208710,tt5988222,tt13684082
nm4110134	Sho Wakejima	\N	\N	director,writer,producer	tt1737685
nm4110135	Benny Lumpkins Jr.	\N	\N	costume_department,actor	tt0433035,tt1623205,tt0491175,tt3850214
nm4110136	Carlotta Bergamini	\N	\N	writer,editor,producer	tt1737683,tt3162934,tt4455764
nm4110137	Eileen Hsi	\N	\N	actress,miscellaneous	tt1737707,tt3643382,tt1981558,tt2366043
nm4110138	Lisa Lorms	\N	\N	art_department	tt0979432,tt1791682,tt2170593,tt1194173
nm4110140	Paula Swinburn	\N	\N	actress	tt1737219
nm4110141	Rafa Canalaes	\N	\N	art_department	tt1710177
nm4110142	Nohemí Rodríguez	\N	\N	actress	tt1649444,tt1737219
nm4110143	Emily Kissock	\N	\N	make_up_department,actress,special_effects	tt2629670,tt1737742,tt1919083,tt2621410
nm4110145	David Stone	\N	\N	actor	tt0346328
nm4110147	Ben Stone	\N	\N	director,actor,camera_department	tt1737580
nm4110148	Collin L. Martin	\N	\N	sound_department	tt1616184
nm4110149	Josh Bond	\N	\N	composer	tt1736027
nm4110150	Sonja Madsen	\N	\N		\N
nm4110151	Eduardo Constantini	\N	\N		\N
nm4110152	Christine Mitsoglorgakis	\N	\N	sound_department	tt1735368
nm4110153	Farida Deif	\N	\N	miscellaneous	tt1737721
nm4110154	Janet De Dias	\N	\N	actress	tt0806901
nm4110155	Klersten Skog	\N	\N	miscellaneous	tt1735368
nm4110156	Karen Struel-White	\N	\N	producer,talent_agent,actress	tt1737220
nm4110158	Kapil Mehta	\N	\N	actor	tt1166100,tt8202612
nm4110159	Arthur Anger	\N	\N	camera_department,actor,cinematographer	tt2917388,tt1645155,tt1521848,tt6998518
nm4110160	L. Kasang	\N	\N	camera_department	tt1737226
nm4110161	Vivian Rivas	\N	\N	cinematographer,camera_department,location_management	tt14438480,tt1737082
nm4110163	Ray Eklund	\N	\N		tt1730752
nm4110164	Vanaak Kann	\N	\N		tt1730752
nm4110166	Trio Saludo	\N	\N		tt1726570
nm4110167	Corlateanu Alice	\N	\N	producer,miscellaneous	tt2321499,tt1737255
nm4110168	Erica Borkowski	\N	\N	sound_department	tt1737655
nm4110169	Dan Schaefer	\N	\N	sound_department	tt2138189,tt2560780,tt6162762,tt9289116
nm4110170	Francisco Mandiola	\N	\N	actor	tt1737219
nm4110171	Tom Hunt	\N	\N	actor	tt0085031
nm4110172	Isabel García	\N	\N	miscellaneous	tt1736904
nm4110173	Alex Gonzalez	\N	\N	camera_department	tt1737732,tt1816608
