tconst	directors	writers
tt8170000	nm1398349,nm3952888	nm3952888
tt8170002	\N	\N
tt8170004	nm0702012	nm1790646
tt8170006	nm6840509	nm4939462
tt8170008	nm3377790	nm3377790
tt8170010	nm8359913	nm8359913
tt8170012	nm3906718,nm6644326,nm8209144	nm6644326,nm3906718
tt8170014	nm0480807	nm0371122,nm0480807,nm0703490
tt8170018	\N	\N
tt8170020	nm0246866	nm0246866,nm0776593,nm1403517,nm0844438,nm1116791
tt8170030	\N	\N
tt8170032	\N	\N
tt8170036	\N	nm0789103
tt8170038	nm3952888,nm1398349	nm3952888
tt8170042	nm9713282,nm13083953	nm9713283
tt8170052	nm0799033,nm0542720	nm9713289,nm0818630
tt8170058	nm1958983	nm1307083
tt8170060	nm6078731	\N
tt8170064	nm1699703	nm1117353
tt8170072	\N	\N
tt8170076	\N	nm1191340
tt8170082	\N	nm9428491,nm5888449
tt8170086	\N	\N
tt8170096	nm0068170	nm0068170
tt8170112	nm0395786	nm0395786,nm0502366
tt8170122	nm7772443	nm7772443
tt8170126	\N	\N
tt8170128	\N	\N
tt8170130	nm9600249	nm3372614,nm0300869,nm9600250,nm9600249
tt8170134	nm3952145	nm4087293
tt8170142	nm9713342,nm9714012,nm7353328	nm9713342,nm7353328,nm6660771,nm9714100
tt8170146	nm2365518	nm1577331
tt8170150	nm4405262	nm3292149,nm0289258,nm0495211,nm1574227,nm1574338,nm7847538,nm2391769
tt8170156	\N	nm1811621,nm4021837
tt8170158	nm9713354	nm9713354
tt8170160	\N	\N
tt8170162	\N	nm8745421,nm8874965
tt8170166	\N	nm1811621,nm4021837
tt8170168	nm0068170	nm0068170
tt8170170	\N	\N
tt8170172	\N	nm1811621,nm4021837
tt8170174	\N	nm1811621,nm4021837
tt8170176	\N	nm1811621,nm4021837
tt8170178	\N	nm1811621,nm4021837
tt8170180	\N	nm1811621,nm4021837
tt8170182	nm9600249	nm3372614,nm0300869,nm9600250,nm9600249
tt8170184	nm9713368	\N
tt8170186	nm0784010	nm0784010
tt8170188	\N	nm1811621,nm4021837
tt8170190	\N	nm1811621,nm4021837
tt8170192	\N	nm1811621,nm4021837
tt8170194	\N	\N
tt8170196	\N	nm1811621,nm3283774,nm4021837
tt8170198	\N	\N
tt8170200	nm0051987	nm7789956,nm0693943,nm6260002
tt8170202	nm4763395	nm4763395
tt8170204	nm5604534	nm5604534
tt8170206	\N	nm1811621,nm3283774,nm4021837
tt8170208	\N	nm1811621,nm3283774,nm4021837
tt8170210	\N	nm1811621,nm3283774,nm4021837
tt8170212	nm2815089	nm2815089
tt8170214	\N	nm1811621,nm3283774,nm4021837
tt8170216	nm0051987	nm0047553
tt8170218	nm9064728	nm9064728
tt8170224	\N	\N
tt8170226	\N	\N
tt8170228	nm0709661	nm3917019
tt8170230	nm0709661	nm2339711
tt8170232	nm1509960	nm1577331
tt8170234	\N	\N
tt8170236	nm9711437	nm9711437
tt8170238	nm1509960	nm0532623
tt8170240	\N	\N
tt8170242	nm4899566	nm4899566
tt8170244	nm5976394	\N
tt8170248	\N	\N
tt8170250	nm4589136,nm5064713	nm4589136,nm5064713
tt8170252	nm0997425	nm0997425
tt8170254	nm7077159	nm7077176
tt8170256	\N	\N
tt8170258	nm7199982	nm7199982
tt8170260	\N	\N
tt8170262	\N	\N
tt8170264	nm3770775	\N
tt8170266	\N	\N
tt8170270	nm4820732	nm8151919
tt8170272	nm6777104	nm6777104
tt8170274	nm2667446	nm2163353
tt8170278	\N	\N
tt8170280	nm1773618,nm3612185	\N
tt8170282	nm9713444	nm9713444
tt8170284	nm0313623	nm5306590,nm0313623
tt8170286	nm0720411	nm0775017
tt8170288	\N	\N
tt8170290	\N	nm9713457,nm6844237
tt8170292	nm9713462	\N
tt8170296	nm7988643,nm5508414,nm3774531	nm3774531,nm7988643,nm5508414
tt8170298	nm3112158	nm3112158,nm9713469
tt8170302	nm5551424	\N
tt8170304	\N	nm0531125,nm7623087
tt8170306	nm0210625	nm2111255
tt8170308	\N	\N
tt8170310	nm3289226	nm3289226
tt8170312	\N	\N
tt8170314	\N	\N
tt8170316	nm1342578	nm2489912,nm2885803
tt8170318	nm1342578	nm2489912,nm2102720
tt8170320	nm2489912	nm2489912,nm1541816
tt8170322	nm1342578	nm5493704,nm2489912
tt8170324	nm2489912	nm2489912
tt8170326	nm3722749,nm8914591	nm9762750,nm9353329,nm9539284,nm2353011,nm6179005
tt8170330	nm1342578	nm2489912,nm2885803
tt8170332	nm1885212	nm2489912,nm1541816
tt8170334	\N	\N
tt8170336	nm5425534	\N
tt8170338	nm5425534	\N
tt8170342	nm9571226	nm7292200,nm1078542,nm4060172
tt8170346	nm4547830	\N
tt8170348	nm5425534	\N
tt8170350	\N	\N
tt8170352	\N	nm0022913,nm0755197
tt8170354	\N	\N
tt8170356	nm4674394	nm2881644
tt8170358	nm3226803	nm8558401,nm3361750,nm3226803,nm1533208
tt8170360	nm2435788	nm5334717,nm2435788,nm2433492
tt8170362	\N	\N
tt8170364	nm7019104	nm7496956
tt8170368	\N	\N
tt8170370	nm1760782	nm9713490
tt8170372	nm0760116	nm0760116
tt8170374	nm9210699	\N
tt8170378	\N	\N
tt8170380	\N	\N
tt8170382	\N	\N
tt8170386	\N	\N
tt8170388	\N	\N
tt8170390	\N	\N
tt8170394	\N	\N
tt8170396	\N	nm0203345,nm1785957,nm0005512
tt8170398	nm3701784	nm1664693
tt8170400	\N	\N
tt8170402	nm3701784	nm1664693
tt8170404	nm0994337	nm0994337,nm2011619,nm0720622,nm1397579,nm3398282,nm0559107
tt8170406	nm3701784	nm1664693
tt8170410	nm4223237	\N
tt8170412	nm3701784	nm1664693
tt8170416	nm3701784	nm1664693
tt8170418	\N	\N
tt8170420	nm3612206,nm5479596	nm0227992
tt8170422	\N	\N
tt8170424	\N	\N
tt8170426	\N	nm1314316
tt8170428	\N	\N
tt8170430	nm7551589	nm7551589
tt8170432	\N	\N
tt8170434	\N	\N
tt8170436	nm4125388	nm9713534
tt8170438	nm9727990	nm9727990
tt8170440	nm3909307,nm6276456	nm3909307,nm6276456
tt8170444	nm9688545	nm9713542,nm9688545,nm9713543
tt8170446	nm7448456	nm7448456
tt8170448	\N	\N
tt8170450	nm8789088	\N
tt8170452	\N	\N
tt8170454	nm5243958	nm5243958
tt8170456	nm7551589	nm7551589
tt8170458	nm9713545	nm9713545
tt8170460	\N	nm9955422
tt8170464	\N	\N
tt8170466	nm9677550,nm9677625	nm9677550,nm9677625
tt8170468	\N	\N
tt8170470	\N	nm1436451
tt8170472	\N	\N
tt8170474	\N	\N
tt8170476	\N	\N
tt8170478	\N	nm1436451
tt8170482	nm8208093	nm8208093
tt8170484	\N	\N
tt8170486	\N	\N
tt8170488	nm6775156	nm6775156
tt8170490	\N	\N
tt8170492	nm9363538	nm5680496,nm4408430,nm4687062,nm9363538,nm2028243,nm9363539,nm5185617
tt8170494	nm8528926	\N
tt8170496	\N	\N
tt8170498	nm5194682	nm4278084,nm5194682,nm9707422
tt8170500	\N	\N
tt8170504	\N	nm2617580
tt8170506	nm3513753	nm6371249,nm3513753
tt8170508	\N	\N
tt8170510	nm1971094	nm9519685,nm9013896
tt8170512	nm8579811	\N
tt8170516	nm8486819	nm8486819
tt8170518	nm3934824	nm3934824
tt8170520	nm9375542	nm9375542
tt8170522	nm9713592	\N
tt8170524	nm9713596	\N
tt8170526	nm5409767	\N
tt8170528	nm0183615	nm0610519,nm0005541,nm0841989,nm0545406,nm1871875,nm5565353,nm1810585
tt8170530	nm6914507	nm6914507
tt8170532	nm1961957	nm1961957
tt8170534	\N	\N
tt8170536	nm7707787	\N
tt8170538	\N	\N
tt8170540	nm5260863	\N
tt8170542	\N	\N
tt8170544	nm3934824	nm3934824
tt8170546	nm12135196	nm12502768,nm12135196
tt8170548	\N	\N
tt8170550	nm2144889	nm2144889
tt8170552	\N	\N
tt8170554	nm6331228	nm3627112,nm9923382
tt8170556	nm9081107	nm9081107
tt8170558	\N	\N
tt8170560	nm7470252	nm7470252,nm6210815
tt8170562	nm9598933	nm9818949,nm9598933
tt8170564	\N	\N
tt8170566	\N	\N
tt8170568	\N	\N
tt8170570	\N	\N
tt8170572	\N	\N
tt8170574	\N	\N
tt8170576	nm5091548	nm7082165
tt8170578	\N	\N
tt8170580	\N	\N
tt8170582	\N	\N
tt8170584	nm9707303,nm1655191	nm9707303,nm9707305
tt8170586	nm2545652	nm7093292,nm9713651
tt8170588	\N	\N
tt8170590	\N	\N
tt8170594	nm9707303,nm1655191	nm9707303
tt8170596	nm1754477,nm8868187,nm5198621	\N
tt8170598	\N	\N
tt8170600	\N	\N
tt8170602	\N	\N
tt8170604	\N	\N
tt8170608	\N	\N
tt8170610	\N	\N
tt8170612	nm9707303,nm1655191	nm9707303,nm9707304
tt8170614	nm7058141	nm7058141
tt8170616	\N	\N
tt8170618	\N	\N
tt8170620	\N	\N
tt8170622	\N	nm2129791,nm2069019,nm4519556
tt8170624	\N	\N
tt8170626	\N	\N
tt8170628	\N	nm7093292
tt8170630	\N	\N
tt8170632	\N	\N
tt8170634	\N	\N
tt8170636	\N	\N
tt8170638	\N	\N
tt8170640	\N	\N
tt8170642	\N	\N
tt8170644	\N	\N
tt8170646	\N	\N
tt8170648	nm9707303,nm1655191	nm9707303,nm9707305
tt8170650	nm6101714	\N
tt8170652	nm2979003	nm3846644
tt8170654	\N	\N
tt8170656	\N	\N
tt8170658	\N	\N
tt8170660	\N	\N
tt8170662	\N	\N
tt8170664	nm3609113	nm9677647,nm3107294
tt8170666	\N	\N
tt8170670	\N	\N
tt8170674	\N	\N
tt8170676	\N	\N
tt8170678	\N	\N
tt8170680	\N	\N
tt8170682	\N	\N
tt8170684	\N	\N
tt8170686	\N	\N
tt8170688	\N	\N
tt8170690	\N	\N
tt8170692	\N	\N
tt8170694	\N	\N
tt8170696	\N	\N
tt8170698	\N	\N
tt8170700	nm7551801	nm7551801
tt8170702	nm1655191,nm9707303	nm9707303
tt8170704	\N	\N
tt8170706	\N	\N
tt8170708	\N	\N
tt8170710	nm3291338	nm0110662
tt8170712	nm4018092	nm4018092,nm9713690,nm0593617
tt8170714	\N	\N
tt8170716	\N	\N
tt8170718	\N	\N
tt8170720	\N	\N
tt8170722	\N	\N
tt8170724	\N	\N
tt8170728	nm9707303,nm1655191	nm9707303
tt8170730	\N	\N
tt8170732	\N	\N
tt8170734	\N	\N
tt8170736	nm8964575	nm2751660,nm9713698
tt8170738	\N	\N
tt8170740	\N	\N
tt8170744	\N	\N
tt8170746	\N	\N
tt8170748	nm9707303,nm1655191	nm9707303
tt8170750	nm1957817	nm1957817
tt8170752	nm5409767	\N
tt8170754	\N	\N
tt8170756	\N	\N
tt8170758	nm1454422	\N
tt8170760	\N	\N
tt8170762	\N	\N
tt8170764	nm1655191,nm9707303	nm9707303
tt8170766	\N	\N
tt8170768	nm6663487,nm2144889	\N
tt8170772	nm4090732	nm4090732
tt8170774	nm9707303,nm1655191	nm9707303,nm9707304
tt8170778	nm9713741,nm5951506	nm5951506,nm6580656
tt8170780	nm1655191,nm9707303	nm9707303
tt8170782	\N	\N
tt8170784	nm4260356,nm3837416	nm5960949,nm9713746,nm9713744
tt8170786	nm6472180	\N
tt8170788	nm9707303,nm1655191	nm9707303
tt8170790	\N	\N
tt8170792	nm9707303,nm1655191	nm9707303
tt8170794	nm9707303,nm1655191	nm9707303
tt8170796	nm1655191,nm9707303	nm9707303
tt8170798	\N	\N
tt8170804	\N	\N
tt8170812	nm6643939	\N
tt8170816	nm8008320	\N
tt8170818	\N	\N
tt8170820	nm9713789	nm9713789
tt8170824	nm4254821	nm4254821
tt8170826	nm9713802	nm9713802
tt8170828	nm9713808	nm9713809
tt8170830	\N	\N
tt8170832	nm6456604	\N
tt8170834	\N	\N
tt8170836	nm9713825	\N
tt8170838	\N	\N
tt8170840	nm1518150,nm1513241	nm1518150,nm1513241
tt8170842	\N	nm6942826
tt8170844	\N	\N
tt8170846	\N	nm6942826
tt8170848	\N	nm6942826
tt8170850	\N	nm6942826
tt8170852	\N	nm6942826
tt8170854	nm1530425,nm0858531	nm3086458
tt8170856	\N	nm6942826
tt8170858	\N	nm6942826
tt8170860	\N	\N
tt8170864	\N	\N
tt8170866	nm1724975	nm1724975
tt8170868	\N	\N
tt8170870	\N	\N
tt8170872	nm0515106	nm0515106
tt8170874	\N	\N
tt8170878	\N	\N
tt8170880	\N	\N
tt8170882	\N	nm3539230,nm3511083
tt8170884	\N	\N
tt8170888	nm4464636	nm4464636
tt8170890	\N	\N
tt8170892	nm9713859	nm9713859,nm2341237
tt8170894	nm6367320,nm7868182	nm3362666,nm7868182,nm6580656
tt8170896	nm3670534	nm3670534
tt8170898	\N	\N
tt8170900	nm5525354	nm5525354
tt8170902	nm1702781	nm6689281,nm1574604,nm1702781
tt8170906	nm9687671	nm9687671
