tconst	directors	writers
tt8860000	nm0089368,nm0181884	nm0053738,nm0053745
tt8860002	nm0089368,nm0181884	nm0053738,nm0053745
tt8860004	nm0089368,nm0181884	nm0053738,nm0053745
tt8860006	nm9062649	\N
tt8860008	nm8618360	nm8618360
tt8860010	nm0181884,nm0089368	nm0053738,nm0053745
tt8860012	nm0089368,nm0181884	nm0053738,nm0053745
tt8860014	nm0181884,nm0089368	nm0053738,nm0053745
tt8860016	nm0089368,nm0181884	nm0053738,nm0053745
tt8860018	nm0089368,nm0181884	nm0053738,nm0053745
tt8860020	nm0089368,nm0181884	nm0053738,nm0053745
tt8860022	nm0181884,nm0089368	nm0053738,nm0053745
tt8860024	nm0089368,nm0181884	nm0053738,nm0053745
tt8860026	nm0089368,nm0181884	nm0053738,nm0053745
tt8860028	nm0089368,nm0181884	nm0053738,nm0053745
tt8860030	nm0089368,nm0181884	nm0053738,nm0053745
tt8860032	nm0743957	nm0137772,nm0733816
tt8860034	nm0743957	nm0137772,nm0733816
tt8860036	nm0743957	nm0137772,nm0733816
tt8860038	nm0618779	nm0370474,nm3687965,nm1255710,nm1779939,nm7206229
tt8860040	nm0743957	nm0137772,nm0733816
tt8860042	nm0743957	nm0137772,nm0733816
tt8860044	\N	\N
tt8860046	nm0743957	nm0137772,nm0733816
tt8860048	nm0743957	nm0137772,nm0733816
tt8860050	nm0743957	nm0137772,nm0733816
tt8860052	nm0743957	nm0137772,nm0733816
tt8860054	nm0743957	nm0137772,nm0733816
tt8860056	nm0743957	nm0137772,nm0733816
tt8860058	nm0743957	nm0137772,nm0733816
tt8860060	nm2562787	nm0059721,nm8901819,nm2750231,nm0674902
tt8860062	nm0743957	nm0137772,nm0733816
tt8860064	nm0743957	nm0137772,nm0733816
tt8860066	nm0743957	nm0137772,nm0733816
tt8860068	nm0743957	nm0137772,nm0733816
tt8860070	nm0743957	nm0137772,nm0733816
tt8860072	nm0743957	nm0137772,nm0733816
tt8860074	nm0743957	nm0137772,nm0733816
tt8860076	nm2562787	nm0059721,nm8901819,nm2750231,nm0674902,nm2906763
tt8860078	nm0743957	nm0137772,nm0733816
tt8860080	nm2562787	nm0059721,nm8901819,nm2750231,nm0674902
tt8860082	nm0743957	nm0655984,nm0714280
tt8860084	nm0743957	nm0655984,nm0714280
tt8860086	nm0743957	nm0655984,nm0714280
tt8860088	\N	\N
tt8860090	nm0743957	nm0655984,nm0714280
tt8860092	nm2562787	nm0059721,nm8901819,nm2750231,nm0674902,nm2906763
tt8860094	nm4689574	nm7612558
tt8860096	nm2562787	nm0059721,nm8901819,nm2750231,nm0674902
tt8860098	nm9852630	\N
tt8860100	nm0743957	nm0655984,nm0714280
tt8860102	nm0743957	nm0655984,nm0714280
tt8860104	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm2736582,nm0674902
tt8860106	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm2906763
tt8860108	nm0743957	nm0655984,nm0714280
tt8860110	nm0743957	nm0655984,nm0714280
tt8860112	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231
tt8860114	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm0674902
tt8860116	nm0743957	nm0655984,nm0714280
tt8860118	\N	nm8078387
tt8860120	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm2317210
tt8860122	nm0743957	nm0655984,nm0714280
tt8860124	nm0743957	nm0655984,nm0714280
tt8860126	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231
tt8860128	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm2906763
tt8860130	nm0743957	nm0655984,nm0714280
tt8860132	nm0320015	nm0059721,nm8901819,nm1968664,nm2750231,nm2736582
tt8860134	nm0743957	nm0655984,nm0714280
tt8860136	nm3058370	\N
tt8860138	nm0743957	nm0655984,nm0714280
tt8860140	nm0743957	nm0655984,nm0714280
tt8860142	nm0743957	nm0655984,nm0714280
tt8860144	nm0743957	nm0655984,nm0714280
tt8860146	nm0743957	nm0655984,nm0714280
tt8860148	nm0743957	nm0655984,nm0714280
tt8860150	nm0743957	nm0655984,nm0714280
tt8860152	nm0320015,nm2562787	nm0059721,nm8901819,nm1968664,nm2750231
tt8860154	\N	\N
tt8860156	nm0320015,nm2562787	nm0059721,nm8901819,nm1968664,nm2750231
tt8860158	nm0320015,nm2562787	nm0059721,nm8901819,nm1968664,nm2750231,nm2906763
tt8860160	nm0320015,nm2562787	nm0059721,nm8901819,nm1968664,nm2750231,nm4434011
tt8860162	nm0320015,nm2562787	nm0059721,nm8901819,nm2750231
tt8860164	\N	\N
tt8860166	nm8721646	\N
tt8860168	\N	\N
tt8860170	nm9852630	nm9852630
tt8860172	\N	\N
tt8860174	\N	\N
tt8860176	nm2979941	nm3537396,nm1362937,nm1840982
tt8860178	\N	nm0896874
tt8860180	\N	\N
tt8860182	\N	\N
tt8860184	\N	nm8425250
tt8860186	\N	\N
tt8860188	\N	nm8425250
tt8860190	\N	nm8425250
tt8860192	\N	\N
tt8860194	nm5235870	nm3213460
tt8860196	\N	\N
tt8860198	\N	\N
tt8860200	\N	\N
tt8860202	\N	\N
tt8860204	\N	nm8425250
tt8860206	\N	\N
tt8860210	\N	nm0896874
tt8860214	\N	nm0896874
tt8860216	\N	nm0896874
tt8860218	nm5741914	nm5741914
tt8860220	\N	\N
tt8860222	nm1542079	nm2992600,nm5054168,nm4311463,nm2412793
tt8860224	\N	\N
tt8860226	\N	\N
tt8860228	\N	nm6151647
tt8860230	\N	\N
tt8860232	\N	\N
tt8860234	nm6077150	nm6077150
tt8860236	\N	\N
tt8860240	\N	\N
tt8860242	\N	\N
tt8860244	\N	\N
tt8860246	\N	\N
tt8860248	\N	nm0896874
tt8860250	\N	nm6151647
tt8860252	\N	nm0896874
tt8860254	\N	\N
tt8860256	\N	nm0896874
tt8860258	\N	nm0896874
tt8860260	nm4435501	nm4435501
tt8860262	\N	nm0896874
tt8860264	\N	\N
tt8860266	nm6077150	nm6077150
tt8860268	\N	nm0896874
tt8860270	\N	nm0896874
tt8860272	\N	nm0896874
tt8860274	\N	nm0896874
tt8860276	\N	nm0896874
tt8860278	\N	nm0896874
tt8860280	\N	\N
tt8860282	\N	nm0896874
tt8860284	\N	nm0896874
tt8860286	\N	nm0896874
tt8860288	\N	nm0896874
tt8860290	\N	nm0896874
tt8860292	\N	nm0896874
tt8860294	\N	nm6151647
tt8860296	\N	\N
tt8860298	\N	\N
tt8860300	\N	\N
tt8860302	nm6077150	nm6077150
tt8860304	\N	\N
tt8860306	\N	nm6151647
tt8860310	\N	\N
tt8860312	\N	\N
tt8860314	nm6077150	nm6077150
tt8860316	\N	\N
tt8860318	\N	\N
tt8860320	\N	\N
tt8860322	nm5235870	nm3213460
tt8860324	\N	\N
tt8860326	\N	\N
tt8860328	nm1855169	\N
tt8860330	nm6077150	nm6077150
tt8860336	\N	\N
