tconst	directors	writers
tt19250010	nm13000232	\N
tt19250686	nm12823131	\N
tt19250754	nm0975298	\N
tt19251606	\N	\N
tt19251742	nm13531584,nm1076296	nm1076296
tt19252088	\N	\N
tt19254658	nm0125753	\N
tt19254700	nm0125753	\N
tt19254706	nm0125753	\N
tt19254720	nm13531611	nm11439654
tt19254756	nm0125753	\N
tt19254886	\N	\N
tt19255568	nm8133003,nm7273876	\N
tt19255860	nm0015846	nm3537396,nm2414113,nm7976248,nm7976249,nm2702814
tt19255908	nm6408301	nm13531619
tt19256066	nm5468594	nm13248365,nm2570237
tt19256340	nm11645523	nm11645523,nm12666293
tt19256398	nm13531632	nm13468083
tt19256504	\N	\N
tt19256696	\N	\N
tt19257382	nm5468594	nm13248365,nm2570237
tt19257610	\N	\N
tt19257718	\N	\N
tt19257816	\N	\N
tt19257932	\N	\N
tt19258132	nm0182391	nm0129333,nm0182391,nm13531662
tt19258360	nm1245286,nm4035324	nm2702814,nm2691201,nm7976249,nm2414113
tt19258444	\N	\N
tt19258506	\N	\N
tt19258520	\N	\N
tt19258742	nm13340558	nm13340559
tt19258894	nm13340558	nm13340559
tt19258912	\N	\N
tt19259020	\N	\N
tt19259146	\N	\N
tt19259148	nm13340558	nm13340559
tt19259208	\N	\N
tt19259224	\N	\N
tt19259300	\N	\N
tt19259330	\N	\N
tt19259416	\N	\N
tt19259442	\N	\N
tt19259548	\N	\N
tt19259630	nm11223052,nm11223053	\N
tt19259674	nm13340558	nm13340559
tt19259774	\N	\N
tt19259976	\N	\N
