tconst	directors	writers
tt22640002	\N	\N
tt22640004	\N	\N
tt22640006	\N	\N
tt22640008	\N	\N
tt22640012	nm14122468	nm14122468
tt22640014	\N	\N
tt22640020	nm14122473	\N
tt22640032	nm4663623	nm7627368
tt22640038	nm14122483	\N
tt22640042	\N	\N
tt22640044	\N	\N
tt22640050	\N	\N
tt22640052	\N	\N
tt22640054	nm6226690	nm6226690,nm14122484
tt22640060	nm9693867	nm9693867
tt22640066	\N	\N
tt22640068	nm14122998	nm6784573,nm11972048
tt22640074	\N	\N
tt22640076	nm7627368	nm7627368
tt22640084	nm12384691	nm12391537,nm9433924,nm14122525,nm14033682,nm14122524,nm13197968
tt22640086	\N	\N
tt22640090	\N	\N
tt22640094	\N	\N
tt22640100	nm1587214	nm1587214
tt22640114	nm14044526	nm14044526
tt22640116	\N	\N
tt22640118	nm12348105,nm12348103	nm12348105,nm12348103
tt22640120	nm5401929	nm7627368
tt22640124	nm1550923	nm0634776
tt22640136	nm6012387	nm6012387,nm5723739
tt22640140	nm14122543	nm14120732
tt22640142	nm2109707	\N
tt22640144	\N	\N
tt22640146	nm2109707	\N
tt22640148	nm14122544	\N
tt22640150	\N	\N
tt22640152	\N	\N
tt22640154	\N	\N
tt22640156	\N	\N
tt22640158	\N	nm13397843
tt22640172	nm2109707	\N
tt22640174	nm4075098,nm4077781	nm4075098,nm4077781
tt22640176	nm8499930	nm8499930
tt22640178	\N	nm1699799,nm7009308,nm6269395
tt22640180	\N	\N
tt22640186	\N	\N
tt22640190	nm4663623	nm7627368
tt22640192	nm14122581	\N
tt22640196	\N	\N
tt22640200	nm10220123	nm10220123
tt22640202	nm3695142	nm3695142
tt22640230	\N	\N
tt22640234	\N	\N
tt22640242	nm5033911	nm5033911
tt22640244	nm12544228	nm12544228
tt22640246	nm1129833	nm1129833,nm1119344,nm1896757
tt22640250	\N	\N
tt22640252	\N	\N
tt22640258	nm2202818,nm4663623	nm7627368
tt22640260	\N	\N
tt22640262	\N	\N
tt22640264	nm11981378	nm11981378
tt22640274	nm0862772	nm14122686
tt22640280	nm14122687	nm14122687
tt22640284	nm7640191	nm7640191
tt22640286	nm2217601	nm2217601
tt22640290	\N	\N
tt22640294	nm14122699	nm14122699
tt22640300	\N	\N
tt22640308	nm0138894	\N
tt22640312	\N	\N
tt22640316	\N	\N
tt22640318	nm0542568	\N
