tconst	directors	writers
tt17240048	\N	nm1656481
tt17240094	\N	\N
tt17240764	nm4985554	nm3083696,nm2194186,nm4985554,nm3994696,nm4056747
tt17241136	\N	\N
tt17241656	nm8474224	\N
tt17241994	nm9094002	\N
tt17242644	\N	\N
tt17242800	nm8388189	nm7039032,nm6458546,nm5564010,nm12055476,nm12055475
tt17243498	nm8093932	nm8093932
tt17243850	\N	\N
tt17244308	\N	\N
tt17244514	\N	\N
tt17244806	\N	\N
tt17245200	nm5156621	nm5156621
tt17245390	nm2708210	nm5970060
tt17245502	\N	\N
tt17245804	nm7316607	nm9803779
tt17246400	nm2708210	nm5970060
tt17246828	nm3026021,nm2556828,nm2559600	nm3230700,nm3026021,nm1412266,nm8147260,nm2556828
tt17246848	nm2574778,nm0403263	\N
tt17247018	\N	\N
tt17247322	nm7867124	\N
tt17247436	\N	\N
tt17247504	\N	\N
tt17247612	nm2708210	nm5970060
tt17247638	\N	\N
tt17247788	nm4531043	nm4531043
tt17247894	nm6009520	nm6968225
tt17248108	nm9531774	\N
tt17248124	nm0195537,nm2891298,nm2089023,nm1865398	nm0844327,nm1804726,nm2808738,nm0034201,nm0182911,nm1570786,nm1738748
tt17248166	nm8388189	nm7039032,nm6458546,nm5564010,nm12055476,nm12055475
tt17248398	\N	\N
tt17248560	\N	\N
tt17248710	nm0235465	nm0005419
tt17248794	\N	\N
tt17249090	\N	\N
tt17249098	nm2708210	nm5970060
tt17249294	\N	\N
tt17249332	nm0235465	nm0005419
tt17249434	nm0235465	nm0005419
tt17249482	\N	\N
tt17249526	nm12854035	nm12854035
tt17249660	nm0235465	nm0005419
tt17249736	\N	\N
tt17249806	\N	\N
