tconst	directors	writers
tt3020000	\N	\N
tt3020002	\N	\N
tt3020006	\N	\N
tt3020008	\N	\N
tt3020016	\N	\N
tt3020018	\N	\N
tt3020020	\N	\N
tt3020022	\N	\N
tt3020024	nm0060505	nm2790347
tt3020026	\N	\N
tt3020028	nm5540774	nm5540774
tt3020030	nm5770288	nm5770288
tt3020032	\N	nm2429688
tt3020034	nm5770298	nm0096136,nm5770295
tt3020036	\N	nm2429688
tt3020038	\N	\N
tt3020040	nm1088854	\N
tt3020042	\N	\N
tt3020044	\N	\N
tt3020046	\N	\N
tt3020048	\N	\N
tt3020052	\N	\N
tt3020054	\N	nm2429688
tt3020058	\N	nm2429688
tt3020060	nm0791995	nm0791995
tt3020062	\N	\N
tt3020064	\N	\N
tt3020066	\N	nm2429688
tt3020068	\N	\N
tt3020070	nm5239940	nm8798078,nm5239940
tt3020072	nm0672117	nm4209533,nm0672117
tt3020074	\N	nm2429688
tt3020076	nm0772191	\N
tt3020078	nm5518588	nm5518588
tt3020080	nm5770318	nm5770318
tt3020082	nm5070638	nm5070515,nm5070638
tt3020086	nm4760683,nm6155766,nm4129426	nm0648460,nm4197897
tt3020088	\N	\N
tt3020090	\N	\N
tt3020092	nm0643696	nm5770340,nm0605675
tt3020094	nm5770342	nm5770342
tt3020096	\N	\N
tt3020098	\N	\N
tt3020100	\N	\N
tt3020102	\N	\N
tt3020104	\N	\N
tt3020106	\N	\N
tt3020108	\N	\N
tt3020110	\N	\N
tt3020112	\N	\N
tt3020114	\N	\N
tt3020116	\N	\N
tt3020118	\N	\N
tt3020120	\N	\N
tt3020124	\N	\N
tt3020126	nm0672062	\N
tt3020128	\N	\N
tt3020130	\N	\N
tt3020132	\N	nm1571325
tt3020134	nm2008135	\N
tt3020136	nm0001000	\N
tt3020138	\N	\N
tt3020140	\N	\N
tt3020142	\N	\N
tt3020144	\N	\N
tt3020146	\N	\N
tt3020148	nm0902939	nm3243635,nm1109145
tt3020150	\N	\N
tt3020152	\N	\N
tt3020154	nm5416953,nm4338043	\N
tt3020156	\N	\N
tt3020158	nm0865219,nm0726485	\N
tt3020160	\N	nm1314316
tt3020162	\N	nm1314316
tt3020166	nm0944315	\N
tt3020168	\N	\N
tt3020170	\N	\N
tt3020172	\N	\N
tt3020174	\N	\N
tt3020176	\N	\N
tt3020178	\N	\N
tt3020182	\N	\N
tt3020184	\N	\N
tt3020188	\N	nm0696120,nm2370431,nm1102359
tt3020190	\N	\N
tt3020192	nm4649272	nm2959810,nm5126522,nm4928968
tt3020196	nm1858034	nm1024979
tt3020198	\N	\N
tt3020200	\N	\N
tt3020202	\N	\N
tt3020204	nm5724369	nm2361474
tt3020206	\N	nm5770373
tt3020212	nm5724369	nm2361474
tt3020214	nm5724369	nm2361474
tt3020216	nm3825279	nm3825279
tt3020218	nm5724369	nm2361474
tt3020220	nm5724369	nm2361474
tt3020222	nm5770380	nm5566790
tt3020224	nm0001000	\N
tt3020226	nm0167396	nm0167396,nm0277236
tt3020228	nm0636443	nm0636443
tt3020230	\N	\N
tt3020232	\N	\N
tt3020234	\N	\N
tt3020236	\N	\N
tt3020238	nm0536157	nm0536157,nm5785838,nm5785837
tt3020242	\N	\N
tt3020244	nm0604033,nm0735439	nm1039199,nm3253005,nm1185004,nm2336044,nm1386702
tt3020246	\N	\N
tt3020250	nm3123731	\N
tt3020256	nm0940668	nm0049641,nm0107402,nm2309496,nm1790746
tt3020258	\N	\N
tt3020260	nm5770406	nm5770406
tt3020262	nm3123731	\N
tt3020264	nm4631459	nm4631459
tt3020266	\N	\N
tt3020270	nm5770410	\N
tt3020278	nm4740442	nm4740442
tt3020280	nm5742129	nm5742129
tt3020282	nm0810747	nm0689982,nm0765859,nm0810747
tt3020284	nm0994512	nm0994512,nm5818579
tt3020286	\N	nm2676126
tt3020290	nm1891522	nm0504264
tt3020294	\N	\N
tt3020296	nm3929381,nm0083390	nm0083390,nm5181898,nm5182261,nm3929381
tt3020298	\N	\N
tt3020306	nm4433809	nm4433809
tt3020314	nm5770446	nm5770446
tt3020320	\N	\N
