tconst	directors	writers
tt14990000	nm1130096	nm2591398
tt14990002	nm1130096	nm2591398
tt14990004	nm1130096	nm2591398
tt14990006	nm1130096	nm2591398
tt14990008	nm1130096	nm2591398
tt14990010	nm1130096	nm2591398
tt14990012	nm1130096	nm2591398
tt14990014	nm8301821	\N
tt14990016	nm1130096	nm2591398
tt14990018	\N	\N
tt14990020	\N	\N
tt14990022	nm5974300	nm9193205,nm10647353,nm6948776
tt14990024	\N	\N
tt14990026	\N	\N
tt14990028	\N	\N
tt14990030	nm7480173	nm9726334
tt14990032	\N	\N
tt14990034	\N	\N
tt14990036	\N	\N
tt14990038	nm5974300	nm9193205,nm10647353,nm6948776
tt14990040	nm5974300	nm9193205,nm10647353,nm6948776
tt14990042	nm5974300	nm9193205,nm10647353,nm6948776
tt14990044	nm5974300	nm9193205,nm10647353,nm6948776
tt14990046	nm5974300	nm9193205,nm10647353,nm6948776
tt14990048	nm5974300	nm9193205,nm10647353,nm6948776
tt14990050	nm5974300	nm9193205,nm10647353,nm6948776
tt14990052	\N	\N
tt14990054	nm5974300	nm9193205,nm10647353,nm6948776
tt14990056	\N	\N
tt14990058	nm5974300	nm9193205,nm10647353,nm6948776
tt14990062	\N	\N
tt14990064	nm5974300	nm9193205,nm10647353,nm6948776
tt14990066	\N	\N
tt14990068	nm5974300	nm9193205,nm10647353,nm6948776
tt14990070	\N	\N
tt14990072	nm5974300	nm9193205,nm10647353,nm6948776
tt14990074	nm5974300	nm9193205,nm10647353,nm6948776
tt14990076	\N	\N
tt14990078	\N	\N
tt14990080	nm5974300	nm9193205,nm10647353,nm6948776
tt14990082	\N	\N
tt14990084	\N	\N
tt14990086	\N	\N
tt14990088	nm1130096	nm2591398
tt14990090	nm1130096	nm2591398
tt14990092	nm1130096	nm2591398
tt14990094	nm1130096	nm2591398
tt14990096	nm1130096	nm2591398
tt14990098	nm1130096	nm2591398
tt14990100	nm1130096	nm2591398
tt14990102	nm1130096	nm2591398
tt14990104	nm1130096	nm2591398
tt14990106	nm1130096	nm2591398
tt14990112	\N	\N
tt14990114	nm1130096	nm2591398
tt14990116	nm1130096	nm2591398
tt14990118	nm1130096	nm2591398
tt14990120	nm1130096	nm2591398
tt14990122	\N	\N
tt14990124	nm1130096	nm2591398
tt14990126	nm1130096	nm2591398
tt14990128	nm1130096	nm2591398
tt14990130	\N	\N
tt14990132	nm1130096	nm2591398
tt14990134	nm1130096	nm2591398
tt14990136	\N	\N
tt14990138	nm1130096	nm2591398
tt14990140	nm1130096	nm2591398
tt14990142	nm1130096	nm2591398
tt14990144	nm1130096	nm2591398
tt14990146	nm4158432	nm4158432
tt14990148	nm1130096	nm2591398
tt14990150	nm1130096	nm2591398
tt14990152	nm1130096	nm2591398
tt14990154	nm1130096	nm2591398
tt14990156	nm1130096	nm2591398
tt14990158	nm1130096	nm2591398
tt14990160	nm1130096	nm2591398
tt14990162	nm1130096	nm2591398
tt14990164	nm1130096	nm2591398
tt14990166	nm1130096	nm2591398
tt14990168	nm1130096	nm2591398
tt14990170	nm1130096	nm2591398
tt14990172	nm1130096	nm2591398
tt14990174	nm2793729	nm2793729
tt14990176	nm1130096	nm2591398
tt14990178	nm1130096	nm2591398
tt14990180	nm1130096	nm2591398
tt14990182	nm4210619	nm4210619,nm12733237
tt14990184	nm1130096	nm2591398
tt14990186	nm1130096	nm2591398
tt14990188	nm1130096	nm2591398
tt14990190	nm0269755,nm6907332,nm2095234,nm7013705,nm0004078,nm3799517	nm0124402,nm0125662,nm11304770,nm2745912,nm1786464,nm2074407,nm7229860,nm8755649
tt14990192	nm1130096	nm2591398
tt14990194	nm1130096	nm2591398
tt14990196	nm1130096	nm2591398
tt14990198	nm1130096	nm2591398
tt14990200	nm1130096	nm2591398
tt14990202	nm1130096	nm2591398
tt14990204	nm1130096	nm2591398
tt14990206	nm2095234,nm6907332,nm0004078,nm0269755,nm7013705,nm3799517	nm0124402,nm0125662,nm11304770,nm2745912,nm1786464,nm2074407,nm7229860,nm8755649
tt14990208	nm1130096	nm2591398
tt14990210	nm7013705,nm2095234,nm0004078,nm3799517,nm6907332,nm0269755	nm0124402,nm0125662,nm11304770,nm2745912,nm1786464,nm2074407,nm7229860,nm8755649
tt14990212	nm1130096	nm2591398
tt14990214	nm1130096	nm2591398
