tconst	directors	writers
tt15380000	\N	nm12341846
tt15380002	\N	\N
tt15380004	\N	nm1122594
tt15380006	\N	\N
tt15380008	\N	\N
tt15380010	nm7375889,nm7375888	nm7375889,nm7375888
tt15380012	\N	\N
tt15380014	\N	\N
tt15380016	nm0382470	nm2274269,nm1133132
tt15380022	\N	nm10195097,nm11356564
tt15380026	\N	\N
tt15380028	\N	nm12914011
tt15380030	nm4508246	\N
tt15380032	nm12914017	\N
tt15380034	\N	\N
tt15380036	\N	nm12336991
tt15380038	nm12384691	nm12391537,nm12914020,nm12914019
tt15380040	nm3305207	\N
tt15380042	\N	\N
tt15380044	nm7375889,nm7375888	nm7375889,nm7375888
tt15380046	nm3667523	nm12914035,nm3667523
tt15380048	\N	\N
tt15380050	\N	nm3183045
tt15380054	nm7375888,nm7375889	nm7375889,nm7375888
tt15380056	\N	\N
tt15380058	\N	\N
tt15380060	\N	\N
tt15380062	\N	nm10711023
tt15380064	nm7375888,nm7375889	nm7375889,nm7375888
tt15380066	\N	\N
tt15380068	nm12914059	nm12914059
tt15380072	\N	\N
tt15380076	\N	\N
tt15380078	nm10043435	\N
tt15380080	\N	nm12914070,nm12914069
tt15380084	\N	\N
tt15380086	\N	\N
tt15380088	\N	\N
tt15380090	\N	\N
tt15380092	\N	\N
tt15380096	\N	\N
tt15380100	\N	\N
tt15380102	\N	\N
tt15380104	\N	\N
tt15380106	\N	\N
tt15380108	nm2210431	nm1236082,nm12914141,nm4478262,nm0906002
tt15380110	\N	\N
tt15380112	\N	\N
tt15380114	\N	\N
tt15380118	\N	\N
tt15380120	\N	\N
tt15380122	\N	\N
tt15380124	nm12914078	nm12914078
tt15380126	\N	\N
tt15380132	\N	\N
tt15380136	\N	\N
tt15380138	\N	\N
tt15380140	nm11469164	nm11469164
tt15380150	nm12914017	\N
tt15380152	nm9717416	nm6308414,nm3284411,nm1802664,nm9944653,nm10867679
tt15380154	\N	\N
tt15380156	nm1091568	nm1030700,nm4935484,nm3412766
tt15380158	nm0581589	nm0068550,nm0113780,nm0260547,nm1051829,nm0628248,nm1142664,nm1012482
tt15380160	nm8585655	nm4906642,nm8585655
tt15380164	nm1245306	nm12914122,nm1373871
tt15380166	\N	\N
tt15380168	nm9674330	nm9674327
tt15380170	\N	\N
tt15380172	\N	\N
tt15380174	\N	\N
tt15380176	nm3993201	\N
tt15380178	\N	\N
tt15380180	\N	\N
tt15380182	\N	\N
tt15380184	nm12785441	\N
tt15380186	nm8585655	\N
tt15380188	nm12785441	\N
tt15380190	nm2278236	nm2278236
tt15380192	\N	\N
tt15380194	\N	\N
tt15380196	\N	\N
tt15380202	\N	\N
tt15380204	\N	\N
tt15380206	nm2613596	nm2613596
tt15380208	nm2171381	\N
tt15380210	\N	\N
tt15380212	nm12487258	nm12914166
tt15380214	\N	\N
tt15380216	\N	\N
tt15380218	\N	\N
tt15380220	\N	\N
tt15380222	\N	nm6421600,nm6734866
tt15380224	nm8942543	\N
tt15380226	nm8581269	nm12914181
tt15380228	nm10702430	nm10702430
tt15380230	nm2163736	nm2166814
tt15380232	nm2027915	\N
tt15380234	\N	\N
tt15380236	\N	nm3848984,nm0000636
tt15380238	\N	\N
tt15380240	nm1873073	nm6032592
tt15380244	\N	\N
tt15380246	\N	\N
tt15380248	nm9913716	nm5383194
tt15380250	\N	\N
tt15380252	\N	\N
tt15380256	nm12914206	nm12914206,nm12914207
tt15380258	nm0251564	nm0251564
tt15380260	nm2724928,nm0855300	nm5892080
tt15380262	\N	\N
tt15380264	nm2724928,nm0855300	nm5892080
tt15380266	nm3655886	nm7248491,nm3655886
tt15380268	nm0855300,nm2724928	nm5892080
tt15380270	nm3655886	nm7248491,nm3655886
tt15380272	nm2724928,nm0855300	nm4854061,nm5892080
tt15380274	nm0855300,nm2724928	nm5892080
tt15380276	nm2724928	nm5892080
tt15380278	nm2724928	nm5892080
tt15380280	nm2724928	nm4854061,nm5892080
tt15380282	nm3655886	nm7248491,nm3655886
tt15380284	nm2724928	nm4854061,nm5892080
tt15380286	nm2724928	nm5892080
tt15380288	nm7449419	\N
tt15380290	\N	\N
tt15380292	\N	\N
tt15380294	nm3655886	nm7248491,nm3655886
tt15380296	\N	\N
tt15380298	nm2628347	\N
tt15380300	\N	\N
tt15380302	nm1849030	\N
tt15380304	nm3655886	nm7248491,nm3655886
tt15380306	nm3829246	\N
tt15380308	nm12003147	nm12003147
tt15380310	nm3655886	nm7248491,nm3655886
tt15380314	\N	nm1664542,nm3965584,nm1946567
tt15380316	\N	\N
tt15380318	\N	nm3965584,nm1946567,nm2781823
tt15380320	nm3655886	nm7248491,nm3655886
tt15380322	\N	\N
tt15380324	nm3655886	nm7248491,nm3655886
tt15380326	\N	\N
tt15380328	\N	\N
tt15380330	\N	\N
tt15380332	\N	\N
tt15380334	\N	\N
tt15380336	nm3655886	nm7248491,nm3655886
tt15380338	nm7718868,nm0601262	nm7252669,nm4964602,nm4246413,nm10901248,nm0661200,nm3958548
tt15380340	nm8178591	\N
tt15380342	\N	\N
tt15380344	\N	\N
tt15380346	\N	\N
tt15380348	\N	\N
tt15380350	nm7718868,nm1146489	nm7252669,nm4964602,nm4246413,nm10901248,nm0661200,nm3958548
tt15380352	\N	\N
tt15380354	nm3655886	nm7248491,nm3655886
tt15380356	\N	\N
tt15380358	nm9396947	nm9396947
tt15380360	nm9582544	\N
tt15380362	\N	\N
tt15380364	nm3655886	nm7248491,nm3655886
tt15380368	\N	\N
tt15380370	nm3655886	nm7248491,nm3655886
tt15380372	nm1875205	nm1876442
tt15380374	nm3655886	nm7248491,nm3655886
tt15380376	nm9396947	nm9396947
tt15380378	\N	\N
tt15380380	nm3655886	nm7248491,nm3655886
tt15380382	nm12812608	nm12812608,nm12914316
tt15380384	nm3655886	nm7248491,nm3655886
tt15380386	\N	\N
tt15380388	nm8492713	nm8266839,nm0649468
