tconst	directors	writers
tt20360032	nm12327662	nm12463454,nm13679009
tt20360198	nm4762372	nm0514625,nm4762372
tt20360490	nm7057537	nm2881860,nm13611313,nm5485051,nm5880159,nm9714395
tt20360506	\N	\N
tt20360532	\N	\N
tt20362202	nm1836981	nm1836981
tt20364558	\N	\N
tt20364728	nm0124561	\N
tt20365240	nm10314402	nm4503198,nm4807198,nm11050573,nm12337811,nm8360818,nm2947033,nm11836582,nm10248245
tt20365920	nm0081449	nm0081449,nm0996145
tt20366376	nm4465159	nm13679037,nm4465159
tt20366478	\N	\N
tt20366986	\N	nm11304387,nm11087652
tt20367128	\N	\N
tt20367156	\N	\N
tt20367462	\N	\N
tt20367876	\N	nm4534679
tt20368248	nm2335827	\N
tt20368254	nm13679068,nm13679067	nm13679067
tt20368300	nm11379384	nm11379384
tt20368718	\N	\N
tt20369838	nm0837479	nm1481295
