tconst	directors	writers
tt14670000	\N	nm2007020
tt14670002	nm0010139	\N
tt14670004	nm3431529	nm3431529
tt14670006	nm1090509	nm1090509
tt14670010	nm0010139	\N
tt14670012	nm12573507	\N
tt14670014	\N	\N
tt14670018	nm3431529	nm3431529
tt14670020	\N	\N
tt14670022	nm6994642	nm6994642
tt14670024	nm6994642	nm6994642
tt14670026	nm0010139	\N
tt14670028	nm12582078	nm12582078
tt14670030	\N	\N
tt14670032	\N	nm2007020
tt14670034	\N	\N
tt14670036	\N	nm1534869
tt14670040	nm0010139	\N
tt14670042	\N	nm2007020
tt14670046	\N	nm1534869
tt14670048	\N	\N
tt14670052	nm0010139	\N
tt14670054	nm12582096	\N
tt14670056	\N	nm12517834
tt14670062	nm2777301	nm2777301
tt14670070	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670072	nm2517142	nm12582099
tt14670080	nm3106304	nm3106304
tt14670082	nm1769321	\N
tt14670090	\N	nm12517834
tt14670092	\N	\N
tt14670094	nm0131064	nm0131064,nm0721494,nm3702103
tt14670096	\N	nm12517834
tt14670098	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670100	\N	\N
tt14670102	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670104	nm12576184	nm12576184
tt14670106	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670108	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670110	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670112	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670114	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670116	\N	nm0726651
tt14670118	nm6468326	nm14055315,nm14055322,nm10328380,nm4800083
tt14670120	\N	nm12517834
tt14670122	nm0785185,nm1699725,nm8398379	nm0559535,nm1049100
tt14670124	\N	\N
tt14670126	\N	\N
tt14670128	\N	\N
tt14670130	\N	\N
tt14670132	\N	\N
tt14670134	\N	\N
tt14670136	nm12582117	\N
tt14670138	\N	\N
tt14670142	\N	\N
tt14670144	\N	\N
tt14670146	\N	nm12517834
tt14670148	\N	\N
tt14670150	nm12582123	\N
tt14670152	nm6362086	nm6362086
tt14670154	\N	\N
tt14670158	\N	\N
tt14670160	nm5281749	nm5281749
tt14670162	\N	nm12517834
tt14670164	\N	nm8921184,nm12583137,nm12583138
tt14670166	\N	\N
tt14670168	\N	\N
tt14670170	nm1399816	\N
tt14670172	nm8124992	nm8124992,nm12582176
tt14670174	nm5281749	\N
tt14670176	\N	nm12517834
tt14670180	\N	\N
tt14670182	nm3689553	\N
tt14670186	nm1161474	\N
tt14670188	\N	\N
tt14670190	nm3689553	\N
tt14670192	nm1161474	\N
tt14670196	nm12541694	nm11331377
tt14670198	nm1287877	nm1287877
tt14670200	nm1161474	\N
tt14670202	nm12476686	nm10542758
tt14670204	\N	\N
tt14670206	nm6559799	\N
tt14670208	nm5911705	\N
tt14670210	\N	nm12517834
tt14670214	nm9202516	\N
tt14670216	nm5911705	\N
tt14670218	nm5911705	\N
tt14670220	nm5911705	\N
tt14670222	nm5911705	\N
tt14670224	nm12574375	nm12574375
tt14670226	nm5911705	\N
tt14670228	nm5911705	\N
tt14670230	nm1161474	\N
tt14670232	nm6559799	\N
tt14670234	nm5911705	\N
tt14670236	nm5911705	\N
tt14670238	nm5911705	\N
tt14670240	nm5911705	\N
tt14670242	\N	nm12517834
tt14670244	nm5911705	\N
tt14670246	\N	\N
tt14670248	nm5911705	\N
tt14670250	\N	\N
tt14670252	nm9202516	\N
tt14670254	nm5911705	\N
tt14670256	\N	\N
tt14670258	nm5911705	\N
tt14670260	\N	\N
tt14670262	nm5911705	\N
tt14670264	nm12580973	nm12582209,nm12582210,nm12580972,nm12582208
tt14670266	\N	nm12517834
tt14670268	nm2301323,nm3996908,nm1084328	nm3832349,nm4019635,nm6397982
tt14670270	nm5911705	\N
tt14670272	nm3195465	nm3195465
tt14670274	nm12582213	\N
tt14670276	nm10576312,nm10041257	nm6054966
tt14670278	\N	\N
tt14670280	\N	\N
tt14670282	\N	\N
tt14670284	\N	nm12517834
tt14670286	\N	\N
tt14670288	nm12582223	nm6506766
tt14670290	nm12582225	nm12582225
tt14670294	nm11531469	\N
tt14670296	\N	\N
tt14670298	\N	\N
tt14670300	nm8854328	nm12109221
tt14670302	\N	\N
tt14670304	\N	nm12517834
tt14670306	nm12582225	nm12582225
tt14670308	nm9143589	nm9143589
tt14670310	nm10630368	\N
tt14670312	\N	nm5312291
tt14670314	\N	\N
tt14670316	nm1740890	nm2238722
tt14670318	nm12582254,nm1961070,nm5794183	nm4643972
tt14670322	nm6803718	nm6803718
tt14670324	\N	\N
tt14670326	nm5027657	nm9295191
tt14670328	nm5027657	nm9295191
tt14670330	nm6000169,nm9453039	\N
tt14670332	nm2830843	nm8935121,nm4533013
tt14670334	nm2830843	nm8935121,nm7758808,nm4533013
tt14670336	nm8108899,nm9453039	\N
tt14670338	nm8108899,nm9453039	\N
tt14670340	nm9453039,nm8108899	\N
tt14670342	nm1063492	nm0176869,nm1683850
tt14670344	nm1063492	nm0176869,nm1683850
tt14670346	nm9453039,nm8108899	\N
tt14670348	\N	\N
tt14670350	nm9533214	nm2531466,nm9533214
tt14670352	\N	\N
tt14670354	nm8108899,nm9453039	\N
tt14670356	\N	\N
tt14670358	nm12582312	nm12582316,nm12582317
tt14670360	nm2404761,nm3509565	nm2763839,nm7182356,nm2758295
tt14670362	\N	nm1345829
tt14670364	nm3509565,nm2133109,nm1834175	nm10068558,nm2763839,nm7182356
tt14670366	nm11398447	nm11398447,nm11398550,nm11400933
tt14670368	nm8108899,nm9453039	\N
tt14670370	nm1119681	nm1119681,nm12290644
tt14670372	nm0461536	nm1265287
tt14670374	\N	\N
tt14670376	nm5756519	nm5756519
tt14670378	nm12582338	nm12582340
tt14670382	nm3195465	\N
tt14670384	nm2026560	nm1750865,nm2092839,nm0766199,nm3539846
tt14670386	\N	nm2007020
tt14670388	\N	\N
tt14670392	nm2442451	nm5110957
tt14670394	nm2442451	nm5110957
tt14670396	nm2442451	nm5110957
tt14670398	nm2442451	nm5110957
tt14670400	nm2442451	nm5110957
tt14670402	\N	\N
tt14670404	nm2442451	nm5110957
tt14670406	nm2442451	nm5110957
tt14670408	nm2442451	nm5110957
tt14670410	nm2442451	nm5110957
tt14670412	\N	\N
tt14670414	nm0751843	nm2181207,nm0481638
tt14670416	nm2442451	nm5110957
tt14670418	\N	\N
tt14670420	\N	\N
tt14670422	nm2442451	nm5110957
tt14670424	nm2442451	nm5110957
tt14670426	\N	\N
tt14670428	\N	nm4684642
tt14670430	nm2442451	nm5110957
tt14670432	\N	\N
tt14670438	\N	\N
tt14670440	\N	\N
tt14670442	\N	\N
tt14670444	\N	\N
tt14670448	\N	\N
tt14670450	nm0511438,nm0840965	nm0511438,nm0840965
tt14670452	\N	\N
tt14670454	\N	\N
tt14670456	\N	\N
tt14670458	\N	\N
tt14670464	\N	\N
tt14670466	nm13762048	\N
tt14670468	\N	\N
tt14670470	\N	\N
tt14670472	nm4701189	nm9829463
tt14670474	nm0451925	\N
tt14670478	\N	\N
tt14670480	nm0451925	nm0451925
tt14670482	nm1202292,nm1205548,nm2622588	nm11883232,nm2353205,nm0516101
tt14670484	nm1202292,nm2622588	nm11883232,nm0385109
tt14670488	nm1202292,nm11883233,nm2622588	nm12613039,nm2353205,nm0516101
tt14670490	nm10671144	nm7867236
tt14670492	nm10615371	nm4398465,nm5688990,nm11901122,nm2843311
tt14670494	\N	\N
tt14670496	nm2327564	nm2571024
tt14670498	nm0269908	nm1761015,nm1760967
tt14670500	nm9078036	nm2155991,nm0114344,nm1038803,nm1479281,nm4316133,nm5312291,nm4123222,nm3119533,nm2960552,nm2609004,nm3646796,nm10344036,nm3667576,nm13137770,nm0591681,nm1090865,nm4454835,nm4017399,nm1972368,nm0819590,nm8972922,nm2618322
tt14670502	\N	nm11710082
tt14670504	nm3415721,nm3415708	\N
tt14670506	nm10932154	nm10932154
tt14670508	nm0269908	nm2482440
tt14670510	\N	\N
tt14670512	nm0451925	\N
tt14670514	\N	\N
tt14670516	nm0895350	nm1221883,nm0895350
tt14670518	\N	\N
tt14670520	\N	\N
tt14670522	\N	nm6273213
tt14670524	nm12032286	nm1837830
tt14670526	\N	\N
tt14670528	\N	\N
tt14670530	\N	\N
tt14670532	\N	\N
tt14670534	\N	\N
tt14670538	\N	\N
tt14670540	\N	\N
tt14670542	\N	\N
tt14670544	\N	\N
tt14670546	\N	nm2405959
tt14670548	\N	\N
tt14670550	\N	\N
tt14670552	\N	\N
tt14670554	nm2549472	nm2549472
tt14670556	\N	\N
tt14670558	nm2778852	nm2778852
tt14670560	\N	\N
tt14670562	\N	\N
tt14670564	\N	\N
tt14670566	\N	\N
tt14670568	\N	\N
tt14670570	\N	\N
tt14670572	nm10671144	nm7867236
tt14670574	\N	\N
tt14670576	\N	\N
tt14670578	\N	\N
tt14670580	\N	\N
tt14670582	\N	\N
tt14670584	\N	\N
tt14670586	\N	\N
tt14670588	\N	\N
tt14670590	\N	\N
tt14670592	\N	\N
tt14670594	\N	\N
tt14670596	\N	nm7063861
tt14670598	\N	\N
tt14670600	\N	\N
tt14670602	\N	\N
tt14670604	\N	\N
tt14670606	nm3739045	nm2790981,nm12582488
tt14670608	\N	\N
tt14670610	\N	\N
tt14670612	\N	\N
tt14670614	\N	\N
tt14670616	nm10671144	nm7867236
tt14670618	\N	\N
tt14670620	\N	\N
tt14670622	\N	\N
tt14670624	\N	\N
tt14670626	\N	\N
tt14670628	nm2886637	nm2886637
tt14670630	\N	\N
tt14670632	\N	\N
tt14670634	\N	\N
tt14670636	\N	\N
tt14670638	\N	\N
tt14670640	nm0098454	nm10601619,nm1687275,nm3508450
tt14670642	\N	\N
tt14670644	\N	\N
tt14670646	\N	\N
tt14670648	\N	\N
tt14670650	\N	\N
tt14670652	\N	\N
tt14670654	\N	\N
tt14670656	\N	\N
tt14670658	\N	\N
tt14670660	\N	\N
tt14670662	nm9078036	nm3667576
tt14670664	\N	\N
tt14670666	\N	\N
tt14670668	nm11464731	\N
tt14670670	\N	\N
tt14670672	nm9078036	nm1479281
tt14670674	nm3264496,nm5242917	nm3264496
tt14670678	\N	\N
tt14670680	\N	\N
tt14670682	nm9078036	nm3667576
tt14670684	\N	\N
tt14670686	nm9078036	nm3119533
tt14670688	\N	\N
tt14670690	\N	\N
tt14670692	nm9078036	nm3667576
tt14670694	\N	\N
tt14670696	nm9078036	nm0591681
tt14670698	\N	\N
tt14670700	\N	\N
tt14670702	nm9078036	nm2960552
tt14670704	\N	\N
tt14670706	nm9078036	nm1479281
tt14670708	nm9028206	nm11148730
tt14670710	\N	nm6273213
tt14670712	nm9078036	nm3119533
tt14670714	nm2643007,nm2833637	nm2353205,nm0516101
tt14670716	nm1205548,nm1202292,nm2643007	nm2353205
tt14670718	\N	\N
tt14670720	nm9078036	nm2155991
tt14670722	nm1202292	nm2353205,nm1447007
tt14670724	\N	\N
tt14670726	nm9078036	nm3667576
tt14670728	\N	\N
tt14670730	nm9078036	nm0114344
tt14670732	nm6964984	nm3301302
tt14670734	nm9078036	nm1972368
tt14670736	nm1616423	nm1616423,nm0998485
tt14670738	nm12464935	nm12464935
tt14670740	nm9078036	nm3119533
tt14670742	\N	nm2405959
tt14670744	nm9078036	nm2609004
tt14670746	\N	nm6273213
tt14670748	nm9078036	nm2155991
tt14670750	nm0098454	nm1687275,nm10601619,nm3508450
tt14670752	nm9078036	nm1972368
tt14670754	\N	\N
