tconst	directors	writers
tt15730000	\N	\N
tt15730002	\N	\N
tt15730004	\N	\N
tt15730006	\N	\N
tt15730008	\N	\N
tt15730010	\N	\N
tt15730012	\N	\N
tt15730014	\N	\N
tt15730016	\N	\N
tt15730018	\N	\N
tt15730020	\N	\N
tt15730022	\N	\N
tt15730024	\N	\N
tt15730026	\N	\N
tt15730028	\N	\N
tt15730030	\N	\N
tt15730032	\N	\N
tt15730034	\N	\N
tt15730036	\N	\N
tt15730038	\N	\N
tt15730040	\N	\N
tt15730042	\N	\N
tt15730044	\N	\N
tt15730046	\N	\N
tt15730048	\N	\N
tt15730050	\N	\N
tt15730052	\N	\N
tt15730054	\N	\N
tt15730056	\N	\N
tt15730058	\N	\N
tt15730060	\N	\N
tt15730062	\N	\N
tt15730064	\N	\N
tt15730066	\N	\N
tt15730068	\N	\N
tt15730070	\N	\N
tt15730072	\N	\N
tt15730074	\N	\N
tt15730076	\N	\N
tt15730078	\N	\N
tt15730080	\N	\N
tt15730082	\N	\N
tt15730084	\N	\N
tt15730086	\N	\N
tt15730088	\N	\N
tt15730090	\N	\N
tt15730092	\N	\N
tt15730094	\N	\N
tt15730096	\N	\N
tt15730098	\N	\N
tt15730100	\N	\N
tt15730102	\N	\N
tt15730104	\N	\N
tt15730106	\N	\N
tt15730108	\N	\N
tt15730110	\N	\N
tt15730112	\N	\N
tt15730114	\N	\N
tt15730116	\N	\N
tt15730118	\N	\N
tt15730120	\N	\N
tt15730122	\N	\N
tt15730124	\N	\N
tt15730126	\N	\N
tt15730128	\N	\N
tt15730130	\N	\N
tt15730132	\N	\N
tt15730134	\N	\N
tt15730136	\N	\N
tt15730138	\N	\N
tt15730140	\N	\N
tt15730142	\N	\N
tt15730144	\N	\N
tt15730146	\N	\N
tt15730148	\N	\N
tt15730150	\N	\N
tt15730152	\N	\N
tt15730154	\N	\N
tt15730156	\N	\N
tt15730158	\N	\N
tt15730160	\N	\N
tt15730162	\N	\N
tt15730164	\N	\N
tt15730166	\N	\N
tt15730168	\N	\N
tt15730170	\N	\N
tt15730172	\N	\N
tt15730174	\N	\N
tt15730176	\N	\N
tt15730178	\N	\N
tt15730180	\N	\N
tt15730182	\N	\N
tt15730184	\N	\N
tt15730186	\N	\N
tt15730188	\N	\N
tt15730190	\N	\N
tt15730192	\N	\N
tt15730194	\N	\N
tt15730196	\N	\N
tt15730198	\N	\N
