tconst	directors	writers
tt0990000	\N	nm3097207,nm4722872,nm1713450,nm2561221
tt0990001	\N	nm3097207,nm4722872,nm2561221
tt0990002	\N	nm3097207,nm4722872,nm2561221
tt0990003	\N	nm3097207,nm4722872,nm2561221
tt0990004	\N	nm3097207,nm4722872,nm2561221
tt0990005	\N	nm3097207,nm4722872,nm2561221
tt0990006	\N	nm3097207,nm4722872,nm2561221
tt0990007	\N	nm3097207,nm4722872,nm2561221
tt0990008	\N	nm3097207,nm4722872,nm2561221,nm1063036
tt0990009	\N	nm3097207,nm4722872,nm2561221
tt0990010	\N	nm3097207,nm4722872,nm2561221
tt0990011	\N	nm3097207,nm4722872,nm2561221
tt0990012	nm0866758,nm1063865	nm3097207,nm4722872,nm0437498,nm1098505
tt0990013	nm0866758,nm1063865	nm3097207,nm4722872,nm0437498
tt0990014	nm0866758,nm4808549	nm3097207,nm4722872,nm0437498
tt0990015	nm0866758,nm1063865	nm3097207,nm4722872,nm0437498
tt0990016	nm3456699,nm0866758	nm3097207,nm4722872,nm0437498
tt0990017	nm1063865,nm4808549,nm0866758	nm3097207,nm4722872,nm0437498,nm1098505
tt0990018	nm3456699,nm0866758	nm3097207,nm4722872,nm0437498,nm1098505
tt0990019	nm1063865,nm0866758	nm3097207,nm4722872,nm0437498,nm0948410
tt0990020	nm4808549,nm0866758	nm3097207,nm4722872,nm0437498
tt0990021	nm4808549,nm1063865,nm0866758	nm3097207,nm4722872,nm0437498,nm1098505
tt0990022	nm1063865,nm0866758	nm3097207,nm4722872,nm0437498
tt0990023	nm4808549,nm0866758	nm3097207,nm4722872,nm0437498
tt0990024	nm1063865,nm0866758	nm3097207,nm4722872,nm0437498
tt0990025	\N	nm0450846
tt0990026	\N	\N
tt0990027	\N	\N
tt0990028	\N	\N
tt0990029	\N	\N
tt0990030	\N	\N
tt0990031	\N	\N
tt0990032	\N	\N
tt0990033	\N	\N
tt0990034	\N	\N
tt0990035	\N	\N
tt0990036	\N	\N
tt0990037	\N	\N
tt0990038	\N	nm0349953,nm0403568,nm0403569
tt0990039	\N	nm0349953,nm0403568,nm0403569
tt0990040	\N	nm0914844
tt0990041	\N	\N
tt0990042	\N	\N
