tconst	directors	writers
tt12730002	nm1869577	nm1869577
tt12730004	\N	\N
tt12730010	nm11431187	nm11431187
tt12730012	nm3389463	nm2547958,nm4064023,nm3355350,nm9370057,nm4779624,nm0532235,nm0576761
tt12730014	nm3389463	nm4064023,nm3355350,nm9370057,nm4779624,nm0532235,nm0576761
tt12730016	nm9606980	nm9606980
tt12730018	nm11746331	\N
tt12730024	nm8510271	\N
tt12730028	\N	\N
tt12730032	nm3389463	nm4064023,nm3355350,nm9370057,nm4779624,nm0532235,nm0576761
tt12730034	nm2725426	\N
tt12730042	nm10632317	nm10632317
tt12730046	\N	\N
tt12730050	\N	\N
tt12730058	nm10407401	nm10407401
tt12730062	\N	\N
tt12730064	nm1404660	nm1404660
tt12730070	\N	\N
tt12730076	\N	nm9551228
tt12730082	nm11431187	nm11431187
tt12730088	nm11431187	nm11431187
tt12730090	\N	\N
tt12730092	nm11431187	nm11431187
tt12730096	nm0652984	nm0008350,nm0847209,nm0875215
tt12730098	nm1066065	nm0847209,nm0875215,nm0945517
tt12730100	nm11577421	nm11577421
tt12730102	nm11431187	nm11431187
tt12730106	\N	\N
tt12730108	nm11431187	nm11431187
tt12730110	\N	nm1124994,nm4041062,nm13000413,nm0615061,nm11651225,nm5459922
tt12730112	\N	\N
tt12730114	nm4913514	nm4913514
tt12730116	nm4264350	nm4264350
tt12730118	\N	\N
tt12730120	nm4264350	nm4264350
tt12730122	nm1276460	nm1276460
tt12730124	nm4264350	nm4264350
tt12730126	\N	\N
tt12730128	nm5472772,nm5364979	nm5472772,nm5364979
tt12730132	\N	\N
tt12730138	\N	\N
tt12730142	\N	\N
tt12730146	\N	\N
tt12730148	nm11490191	nm4990531
tt12730152	nm11743978	nm11743978
tt12730154	\N	\N
tt12730158	\N	\N
tt12730164	\N	\N
tt12730168	nm4913514	nm4913514
tt12730172	nm7148893	\N
tt12730174	nm11322108	\N
tt12730176	\N	\N
tt12730178	\N	\N
tt12730180	\N	\N
tt12730182	nm0768737,nm2605483	nm0996011,nm3672309,nm10530605
tt12730184	\N	\N
tt12730186	nm1089963,nm1664945	nm1487505,nm3672309,nm10530605
tt12730188	\N	\N
tt12730190	nm1664945,nm0768737	nm1487505,nm3448906,nm10530605
tt12730192	\N	\N
tt12730194	\N	\N
tt12730196	\N	\N
tt12730198	\N	\N
tt12730200	\N	\N
tt12730202	\N	\N
tt12730204	\N	\N
tt12730206	\N	\N
tt12730208	\N	\N
tt12730210	\N	\N
tt12730212	\N	\N
tt12730214	\N	\N
tt12730216	\N	\N
tt12730218	\N	\N
tt12730220	nm11746430	nm11746430
tt12730222	\N	\N
tt12730224	nm13028443	nm13028443
tt12730226	nm3848647	nm3848647
tt12730228	\N	nm9097639,nm11739319
tt12730230	\N	\N
tt12730232	\N	\N
tt12730234	\N	\N
