tconst	directors	writers
tt19130148	nm3512791	\N
tt19130304	nm3512791	\N
tt19130366	nm3512791	\N
tt19130374	nm0158191	nm0739047
tt19130454	nm3512791	\N
tt19130792	nm3512791	\N
tt19130930	nm13525153	\N
tt19131096	nm3512791	\N
tt19131342	nm3512791	\N
tt19131434	nm3512791	\N
tt19131542	nm3512791	\N
tt19131554	nm3512791	\N
tt19131764	nm3512791	\N
tt19131858	nm3512791	\N
tt19131952	nm3512791	\N
tt19131986	\N	nm3420773
tt19132006	nm2391179	nm2391179
tt19132352	nm5581835	nm9494224,nm10176181,nm6943636
tt19132368	\N	\N
tt19133170	\N	\N
tt19133280	nm6248855	nm1532228
tt19133350	nm6248855	nm1532228
tt19133378	nm6248855	nm1532228
tt19133384	nm6248855	nm1532228
tt19133402	nm6248855	nm1532228
tt19133440	nm6248855	nm1532228
tt19133584	nm6248855	nm1532228
tt19133606	nm6248855	nm1532228
tt19133642	nm6248855	nm1532228
tt19133646	nm6248855	nm1532228
tt19133650	nm6248855	nm1532228
tt19133694	nm6248855	nm1532228
tt19133728	nm6248855	nm1532228
tt19133764	nm6248855	nm1532228
tt19133782	nm3056027	nm3056027
tt19133812	nm6248855	nm1532228
tt19133842	nm6248855	nm1532228
tt19134086	nm3512791	\N
tt19134424	\N	\N
tt19134490	\N	\N
tt19134556	\N	\N
tt19135298	nm5093067	nm5093067
tt19135582	\N	\N
tt19135858	\N	\N
tt19135886	\N	\N
tt19135976	\N	\N
tt19136668	nm1552859	\N
tt19136906	nm1552859	\N
tt19137082	nm1552859	\N
tt19137098	nm1552859	\N
tt19137138	nm1552859	\N
tt19137302	nm1552859	\N
tt19137378	nm1552859	\N
tt19137612	nm7599340	nm9188743,nm9188971
tt19137678	nm13525206	nm13525208
tt19137970	\N	\N
tt19137992	\N	\N
tt19138048	\N	\N
tt19138058	\N	\N
tt19138146	\N	\N
tt19138172	nm12888853	nm12888853
tt19138228	\N	\N
tt19138288	\N	\N
tt19138294	nm7376208	nm2638160
tt19138790	\N	\N
tt19138986	\N	nm1044897,nm0130154
tt19139060	\N	\N
tt19139066	nm3597300	nm2543822,nm3597300
tt19139282	\N	\N
tt19139424	nm13472167	\N
tt19139556	\N	\N
tt19139930	nm11898947	nm3048734,nm11898947,nm11932991,nm5126909
