tconst	directors	writers
tt1710000	\N	\N
tt1710001	\N	\N
tt1710002	\N	\N
tt1710003	\N	\N
tt1710004	\N	\N
tt1710005	\N	\N
tt1710006	\N	\N
tt1710007	\N	\N
tt1710008	\N	\N
tt1710009	\N	\N
tt1710010	\N	\N
tt1710011	\N	\N
tt1710012	\N	\N
tt1710013	\N	\N
tt1710014	\N	\N
tt1710015	\N	\N
tt1710016	\N	\N
tt1710017	\N	\N
tt1710018	\N	\N
tt1710019	\N	\N
tt1710021	\N	\N
tt1710022	\N	\N
tt1710023	\N	\N
tt1710024	\N	\N
tt1710025	\N	\N
tt1710026	\N	\N
tt1710027	\N	\N
tt1710028	\N	\N
tt1710029	nm1121019	\N
tt1710030	\N	\N
tt1710031	\N	\N
tt1710032	\N	\N
tt1710033	\N	\N
tt1710034	\N	\N
tt1710035	\N	\N
tt1710036	\N	\N
tt1710037	\N	\N
tt1710038	\N	\N
tt1710039	nm2507264,nm5255100	nm0102287,nm2343652,nm2507264,nm0675205,nm5283029
tt1710040	\N	nm0675205
tt1710041	\N	\N
tt1710042	\N	nm0859562
tt1710043	\N	nm0859562
tt1710044	\N	\N
tt1710045	nm0804227	\N
tt1710046	nm4166771	nm3640442,nm3640804,nm0001629
tt1710047	nm0824270	nm1397195,nm1912534,nm4033885,nm1940954,nm1402591,nm2624113,nm3996748,nm4033377,nm0824270,nm4032058,nm4034961
tt1710048	nm0824270	nm4034773,nm1402591,nm2624113,nm0824270
tt1710049	nm0087399	nm0150606
tt1710050	nm0087399	nm4034606,nm4024878
tt1710051	nm0699519	nm0238356,nm1680398
tt1710052	nm0699519	nm1583617
tt1710053	nm8763679	\N
tt1710054	\N	nm1237532
tt1710055	nm2881707	\N
tt1710056	\N	\N
tt1710057	nm1203824	nm0215853,nm1287835
tt1710058	nm1847623	nm2361005,nm0215853,nm1287835
tt1710059	nm0422357	nm3166161,nm1287835
tt1710060	nm0422357	nm3166161,nm1287835
tt1710061	nm0519983	nm1364329,nm1287835
tt1710062	nm1287835	nm3362594,nm1287835
tt1710063	nm0422357	nm1894965,nm1287835
tt1710064	nm1300377	nm1300378
tt1710065	nm1300377	nm1300378
tt1710066	nm1300377	nm1300378
tt1710067	nm1709241	nm1847934
tt1710068	nm1709241	nm1847934
tt1710069	nm1823289	nm1300378
tt1710070	nm1370007	nm1847934
tt1710071	\N	nm1847934
tt1710072	\N	\N
tt1710073	\N	\N
tt1710074	\N	\N
tt1710075	\N	\N
tt1710076	\N	\N
tt1710077	nm1812024	\N
tt1710078	nm1812024	\N
tt1710079	nm2269246	nm2158873
tt1710080	nm2269246	nm2158873
tt1710081	nm2269246	nm2158873
tt1710082	nm2269246	nm2158873
tt1710083	nm2269246	nm2158873
tt1710084	nm2269246	nm2158873
tt1710085	nm2269246	nm2158873
tt1710086	nm2269246	nm2158873
tt1710087	nm2269246	nm2158873
tt1710089	nm0620576	nm1522142
tt1710090	nm0553235	nm1618295
tt1710091	nm3350197	nm0318305,nm3370618
tt1710092	nm3350197	nm0318305,nm2243388
tt1710093	nm3350197	nm0318305
tt1710094	nm3350197	nm0318305,nm0582179,nm0750853
tt1710095	nm0215123	nm0722274,nm0493018
tt1710096	nm0181417,nm0331269	nm1282829
tt1710097	nm0331269,nm0181417	nm1282829,nm0789290
tt1710098	\N	nm1282829
tt1710099	\N	nm1282829
tt1710100	\N	nm1282829
tt1710101	nm0331269,nm0181417	nm1282829
tt1710102	\N	nm1282829
tt1710103	\N	nm1282829
tt1710104	\N	nm1282829
tt1710105	\N	nm1282829
tt1710106	\N	nm1282829
tt1710107	\N	nm1282829
tt1710108	\N	\N
tt1710109	nm0035060	nm1002023,nm1089429,nm2446740
tt1710110	nm0732218	nm1002023,nm2446740
tt1710111	\N	nm2188642
tt1710112	nm0490133	nm0810543
tt1710113	nm0490133	nm1772839,nm1491432
tt1710114	nm0490133	nm2765191,nm1757939
tt1710115	nm0490133	nm1594749
tt1710116	nm0490133	\N
tt1710117	nm0490133	nm3239606
tt1710118	nm2500491,nm2332233,nm0002463,nm2493846	nm2196125,nm1194006,nm1911523,nm0530402,nm1375825,nm1221316,nm1210463,nm1196035,nm1280872,nm2219700,nm0959895
tt1710119	nm2500491,nm2332233,nm0002463,nm2493846	nm2196125,nm1194006,nm1911523,nm0530402,nm1375825,nm1221316,nm1210463,nm1196035,nm1280872,nm2219700,nm0959895
tt1710120	nm2500491,nm2332233,nm2493846,nm0002463	nm2196125,nm1194006,nm0530402,nm1375825,nm1221316,nm1210463,nm1196035,nm1280872,nm2219700,nm0959895
tt1710121	nm2332233,nm0002463,nm2500491,nm2493846	nm2196125,nm1768266,nm0530402,nm1375825,nm1221316,nm1210463,nm1196035,nm1280872,nm3638450,nm0748337,nm2219700,nm0959895
tt1710122	nm2332233,nm2493846,nm0002463,nm2500491	nm2196125,nm1194006,nm1911523,nm0530402,nm1375825,nm1221316,nm1210463,nm1196035,nm1280872,nm2219700,nm0959895
tt1710123	nm1908794,nm0781186	\N
tt1710124	nm0435279	nm4022462
tt1710125	nm0435279	nm4022462
tt1710126	nm0435279	nm4022462
tt1710127	nm1733848	nm1733848
tt1710128	nm1733848	nm1733848
tt1710129	nm1733848	nm1733848
tt1710130	nm1733848	nm1733848
tt1710131	nm1733848	nm1733848
tt1710132	nm1733848	nm1733848
tt1710133	nm1733848	nm1733848
tt1710134	nm1733848	nm1733848
tt1710135	nm1733848	nm1733848
tt1710136	nm1733848	nm1733848
tt1710137	nm1733848	nm1733848
tt1710138	nm1733848	nm1733848
tt1710139	nm1733848	nm1733848
tt1710140	nm1733848	nm1733848
tt1710141	nm1733848	nm1733848
tt1710142	\N	\N
tt1710143	\N	\N
tt1710144	\N	\N
tt1710145	\N	\N
tt1710146	\N	\N
tt1710147	\N	\N
tt1710148	\N	\N
tt1710149	\N	\N
tt1710150	\N	\N
tt1710151	\N	\N
tt1710152	\N	\N
tt1710153	\N	\N
tt1710154	\N	\N
tt1710155	\N	\N
tt1710156	\N	\N
tt1710157	\N	\N
tt1710158	\N	\N
tt1710159	\N	\N
tt1710160	\N	\N
tt1710161	\N	\N
tt1710162	\N	\N
tt1710163	nm0872780,nm1042011,nm0890394	nm1044889,nm1040706,nm0516433,nm0581967,nm1046667
tt1710164	\N	\N
tt1710165	\N	\N
tt1710166	\N	\N
tt1710167	\N	\N
tt1710168	\N	\N
tt1710169	\N	\N
tt1710170	\N	\N
tt1710171	\N	\N
tt1710172	\N	\N
tt1710173	\N	\N
