nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm4200000	Leigh Morley	\N	\N	animation_department	tt0395873
nm4200002	Sofi Vondoom	\N	\N	actress	tt1799540,tt1784561
nm4200003	Antonino Riolo	\N	\N	actor	tt1156173,tt1160423
nm4200004	Natasha Phillips	\N	\N	actress	tt1674242
nm4200005	Chartwell Dutiro	\N	\N	composer	tt1784574
nm4200006	Heikki Kekkonen	\N	\N	writer,director	tt1779708,tt1798900,tt3305764,tt1854049
nm4200007	Peter Veslár	\N	\N	actor	tt3127306,tt1784168,tt0279551
nm4200010	Matthew Evans	\N	\N	composer	tt1783789
nm4200011	Joel Wayman	\N	\N	actor	tt1784403
nm4200012	Cassie Orman	\N	\N	editorial_department,sound_department,camera_department	tt4872146,tt1776044
nm4200013	Daniel Konieczny	\N	\N		tt1525366
nm4200014	Fabian Provost	\N	\N	actor	tt1764072
nm4200016	Alexis Webb	\N	\N	actress	tt1784687
nm4200017	Anthony La Rosa	\N	\N	actor	tt1783339
nm4200018	Michael Rosemann	\N	\N		\N
nm4200019	Violetta Storm	\N	\N	actress	tt1785381,tt1482152
nm4200020	Rahul Karla	\N	\N	actor	tt1781838
nm4200021	Pei-ru Chen	\N	\N	producer	tt0121303
nm4200022	Aja McKenzie	\N	\N	actor	tt0471042,tt0907625
nm4200023	Babis Vlahodimitropoulos	\N	\N		\N
nm4200024	Kimberley Dixon	\N	\N		\N
nm4200025	Touch Kheang	\N	\N	sound_department	tt1782385
nm4200026	Chloe Cho	\N	\N		tt0972750,tt2410600
nm4200027	Jon Stone	\N	\N	miscellaneous	tt4563874
nm4200028	Broder Frans-Eric	\N	\N		tt1784704
nm4200029	Cláudio Cartier	1950	2020	soundtrack,actor	tt1784333,tt0204085
nm4200031	Yoryos Yannarakos	\N	\N	actor	tt1784471
nm4200032	Alexander J. Farrell	\N	\N	actor,writer,director	tt6990566,tt5642930,tt5642914
nm4200033	Matt Mullins	\N	\N	director,writer,editor	tt2766000,tt2555648,tt1784379
nm4200034	Elena Shaddow	\N	\N	actress,soundtrack	tt1839578,tt2361509,tt3141866,tt3560084
nm4200035	Alisan Saltik	\N	\N	producer,miscellaneous	tt1417582,tt1509641
nm4200036	Susanne Dzeik	\N	\N	camera_department,cinematographer,director	tt7733034,tt2087852,tt1784484,tt2429354
nm4200037	Ysabelle Peach	\N	\N	actress,writer,assistant_director	tt2118570,tt5242754,tt7718286,tt8714308
