nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm6810000	Ella Willies	\N	\N	art_department	tt3919144
nm6810001	Ben Davis	\N	\N	camera_department	tt3919144
nm6810002	Dan Luke	\N	\N	transportation_department	tt3919144
nm6810003	Fredrik von der Pahlen	\N	\N	sound_department	tt5165418,tt3139330
nm6810004	Sean McKinley	\N	\N		tt4078762,tt0294205
nm6810005	Dominique N. Johnson	\N	\N	production_manager	tt1459459
nm6810008	Dario Pusic	\N	\N		\N
nm6810009	Idris Akins	\N	\N	cinematographer	tt4077802,tt7193050
nm6810010	Abigail Armstrong	\N	\N		tt3778654
nm6810011	Victoria Alvarez-Arango	\N	\N		tt3778654
nm6810012	Charles Brooks	\N	\N		tt3778654
nm6810013	Coy Dobson	\N	\N		tt3778654
nm6810014	Charles Hicks	\N	\N		tt3778654
nm6810015	Israel Monteiro	\N	\N		tt3778654
nm6810016	Kent Neilsen	\N	\N		tt3778654
nm6810017	Mariya Sinyayeva	\N	\N	actress	tt11910014,tt4077826
nm6810018	Yegor Zakrenichnyy	1984	\N	actor	tt4077826,tt11589608,tt4976578,tt0192936
nm6810019	Andrey Orlov	\N	\N	writer	tt4077826
nm6810033	Dave Jermyn	\N	\N	miscellaneous	tt0889153
nm6810039	Magda Martinez	\N	\N	camera_department	tt2309448
nm6810040	Miquel Vicente Egea	\N	\N	producer	tt2309448
nm6810041	Abdel Baki Bousmaha	\N	\N	actor,director,writer	tt5093982,tt5744872,tt4559398,tt5161168
nm6810042	Gilles Guérrin	\N	\N	actor	tt4077832
nm6810043	Lorenzo Mazzei	\N	\N	actor	tt4077832
nm6810044	Alexandre Geindre	\N	\N	composer	tt5520704,tt4077832
nm6810045	Jeanne Tachan	\N	\N	camera_department,director	tt4077832,tt6405716,tt2819924,tt3345854
nm6810046	Lionel Barraillé	\N	\N	production_manager,assistant_director,location_management	tt2364258,tt5187526,tt10801324,tt7525910
nm6810050	Galina Kalinina	\N	\N		tt2277106
nm6810051	Levs Retniks	\N	\N	actor	tt2277106
nm6810053	Ichiza Totoke	\N	\N	actor	tt4077866,tt4129274
nm6810054	Gabi Plana	\N	\N	actress	tt4077874
nm6810055	Jesus Moreno	\N	\N	editor	tt4077874
nm6810060	Michael A. Caldwell	\N	\N		\N
nm6810061	Brandon Wayne Millirön	1980	\N	music_department	tt3774658
nm6810062	Tatsusaburo Ichiza Irifune	\N	\N	actor	tt4077908
nm6810063	Jenni Kosonen	\N	\N	actress	tt2324529
