nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3120000	Sian Bates	\N	\N	camera_department,cinematographer,actress	tt1588398,tt1023114,tt1474861,tt9198364
nm3120001	Aman Khan	\N	\N	actor,miscellaneous	tt0892874,tt1633159
nm3120002	Jeffrey Harvey	\N	\N	camera_department	tt0486051,tt0499556
nm3120003	Edgar Parra	\N	\N	actor	tt2413524,tt1831897,tt1945581,tt1277997
nm3120004	Hirokazu Miura	\N	\N	actor	tt2374144,tt10750048,tt0899258,tt0988818
nm3120005	Ray Law	\N	\N	actor	tt14036890,tt0896815
nm3120006	Jo Donnelly	\N	\N	actress,writer	tt6624144,tt2303687,tt9670912,tt0985593
nm3120007	Linda Petro	\N	\N	miscellaneous	tt0094540
nm3120008	Wally Wang	\N	\N	camera_department	tt0153084,tt0182214,tt0190775,tt0140123
nm3120009	Jill Jiang	\N	\N	actor	tt0896815
nm3120010	April Moon	\N	\N	actress	tt0238784
nm3120011	Jerome Stephens Jr.	\N	\N	actor	tt1176740,tt2364348,tt3094828,tt5568860
nm3120013	Venetia Grivas	\N	\N	actress	tt2321812,tt1494764,tt6456780,tt1231599
nm3120014	Yun-Hua Shih	\N	\N	miscellaneous,production_manager	tt2006754,tt6147716,tt2496830,tt1534569
nm3120015	Gary J. Talley	\N	\N	camera_department,animation_department	tt3516080,tt1268185
nm3120016	Adam Robert Taylor	\N	\N		\N
nm3120017	Mayrambek Joumabaiev	\N	\N	actor,production_manager	tt1043565
nm3120018	Esa Septian Pramudha Sigit	\N	\N	actor	tt1445044,tt1286505,tt11590158,tt2589132
nm3120019	Kathleen Stormont	\N	\N	miscellaneous	tt0292873,tt1022818
nm3120020	Januariusz Goscimski Jr.	\N	\N	actor	tt0079819,tt0077171
nm3120021	Kristina Matviyenko	\N	\N	writer	tt1285273
nm3120022	Hugh Anderson	\N	\N		\N
nm3120023	Lucyna Michalowska	\N	\N	director,assistant_director	tt0441074,tt1286603
nm3120024	Masroor Agha	\N	\N	art_department	tt2359810,tt2576450,tt0995740,tt0400234
nm3120025	Messiah Fajarwati	\N	\N	writer	tt1286647
nm3120026	Józef Slomka	\N	\N	actor	tt0079819,tt0077171
nm3120028	Chamath Dharmasiriwardena	\N	\N	animation_department	tt0996966
