nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm13130000	Ken Merrett	\N	\N		tt10443794
nm13130001	Rosemary Blakeley	\N	\N		tt10443794
nm13130002	David May	\N	\N		tt10443794
nm13130003	Bruce Mackinnon	\N	\N		\N
nm13130004	Alisa	\N	\N		\N
nm13130005	Hu Shuxin	\N	\N		tt5266678
nm13130006	Carrie Mckenna	\N	\N	actress	tt21330926
nm13130007	Jadaya Bivins	\N	\N	actress	tt14635982
nm13130008	Kayla Goins	\N	\N	actor	tt14635982
nm13130009	Giana Rice	\N	\N	actress	tt14635982
nm13130010	Corde Young	\N	\N	actor	tt14635982
nm13130011	Erik Townsend	\N	\N		\N
nm13130012	Wells Julien	\N	\N		tt15842170
nm13130013	Heidi Tveitt	\N	\N		tt16116630
nm13130014	Kevin Cowell	\N	\N	director,writer,producer	tt16116638
nm13130015	Eric Levid	\N	\N		tt16116638
nm13130016	Yayoi Kambara	\N	\N		\N
nm13130017	James Le Lacheur	\N	\N		\N
nm13130018	Ewan Rutherford	\N	\N		\N
nm13130019	Cristina Fray	\N	\N		\N
nm13130020	Christiana Hutchings	\N	\N		tt16116640
nm13130021	Robertino Loras	\N	\N		tt0364168
nm13130022	Daniel Aguilar	\N	\N		tt0364168
nm13130023	Philipp Jeroma	\N	\N		tt16116644
nm13130024	Lisa Delan	\N	\N		\N
nm13130025	Maia Latronico	\N	\N	producer	tt8431322
nm13130026	Monique Londiche	\N	\N		tt0280309
nm13130027	Jean-P. Rudel	\N	\N		tt0280309
nm13130028	Brigitte Paulino	\N	\N		tt0280309
nm13130029	Jean-Pierre Cornille	\N	\N		tt0280309
nm13130030	Christian Bonnefoy	\N	\N		tt0280309
nm13130031	Julia Carter	\N	\N		tt9192026
nm13130032	Tânia Maria Fernandes	\N	\N		\N
nm13130033	José Fernandes Mendes	\N	\N		\N
nm13130034	Jordan Robinson	\N	\N	director	tt16116658
nm13130035	Katherine Dale	\N	\N		tt16116658
nm13130036	Samantha Kayombo	\N	\N		tt16105816
nm13130038	Diana Castillo	\N	\N	animation_department,art_director	tt14330440
nm13130039	Brad Duke	\N	\N	animation_department	tt14330440
nm13130040	Charles Curley	\N	\N	art_department,animation_department,miscellaneous	tt14330440
nm13130041	Chris Kiklowicz	\N	\N	animation_department	tt14330440
nm13130042	Jonathan Snow	\N	\N		tt14330440
nm13130043	Justin Runfola	\N	\N		tt14330440
nm13130044	Chad Lupoe	\N	\N	assistant_director,costume_department	tt14825832
nm13130045	Yu Shimizu	\N	\N	writer,production_designer	tt16161518,tt12798548,tt7725942
nm13130046	Ana Carfi	\N	\N		tt0364168
nm13130047	Ana Cuatraro	\N	\N		tt0364168
nm13130048	Laura Hatton	\N	\N		tt0364168
nm13130049	Angélica Maldonado	\N	\N		tt12675790
nm13130050	Álvaro Mena	\N	\N		tt12675790
nm13130051	Citlalli Hernández Mora	\N	\N		tt12675790
nm13130052	Elisa Loncon	\N	\N		tt14321664,tt12675790,tt19268412,tt14201736
nm13130053	Julien Wells	\N	\N		tt16116710
nm13130054	Sabelê Barbosa	\N	\N		tt14721370
nm13130055	Sarah Hui	\N	\N		tt14721370
nm13130056	Emily Peterson	\N	\N		tt15792092
nm13130057	Ahren Buhmann	\N	\N		\N
nm13130059	Zhang Haochen	\N	\N		tt16116726
nm13130060	Paul E. Alexander	\N	\N		tt15792092
nm13130061	Lorena García	\N	\N		\N
nm13130062	Elien Hanselaer	\N	\N		tt16116734,tt11981644
nm13130063	Guillermo Fernandez	\N	\N		tt16116734
nm13130064	Ian Mikita	\N	\N		tt8869656
nm13130065	Lamar Jael Mack	\N	\N		tt15908844,tt16116740
nm13130066	Brad Walker	\N	\N		tt7256628
nm13130067	Anais Ohresser	\N	\N		tt14825832
nm13130068	Lee Merritt	\N	\N		tt15792092,tt15792106,tt22696252
nm13130069	Benjamin Burlew	\N	\N		tt15792092
nm13130070	Brandy Burlew	\N	\N		tt15792092
nm13130071	Ramona Merriman	\N	\N		tt0135078
nm13130072	Valentina Golubeva	\N	\N		tt14984578
nm13130073	Sergey Ulegin	\N	\N		tt14984578
nm13130074	Kiera Fellegara	\N	\N		tt0072562,tt10380768,tt3152624,tt8721424
nm13130075	Giorgia Cotellessa	\N	\N	script_department	\N
nm13130076	Andrea Elizabeth	\N	\N		\N
nm13130078	Laurie McKinzey	\N	\N		\N
nm13130079	Ovidio García	\N	\N		tt0364168
nm13130081	Diana Bill	\N	\N		tt16116822
nm13130082	Melisa Kocak	\N	\N		tt16116822
nm13130083	Dani Finkelstein	\N	\N		\N
nm13130084	Tobias Schüttler	\N	\N		\N
nm13130085	Silvia Ströhmer	\N	\N	producer,director	tt16116822,tt17268764
nm13130086	Vanessa Hupperts	\N	\N		tt16116822
nm13130087	Thorsten Breitbach	\N	\N		\N
nm13130088	Tanja Cronemeyer	\N	\N		\N
nm13130089	Sylvia Gotthard	\N	\N		tt16116822
nm13130090	Simona Sampaio Gomes	\N	\N		tt16116822
nm13130091	Lieza Formuly	\N	\N		\N
nm13130092	Tom Jebing	\N	\N		\N
nm13130093	Marco Freitag	\N	\N		\N
nm13130094	Jenny Ziewer	\N	\N		\N
nm13130095	Jörg Schmidt	\N	\N		\N
nm13130096	Thoai Tran	\N	\N		\N
nm13130097	Abi Patton	\N	\N		\N
nm13130098	Andrés Spyker	\N	\N		\N
nm13130099	Riley Bradford	\N	\N		tt14825832
nm13130100	Mark Rey	\N	\N		tt2319503
nm13130102	Juuso Kaitainen	\N	\N		\N
nm13130103	Robert Wayne McClure	\N	\N		\N
nm13130104	Chaminie Wheeler	\N	\N		tt15792092
nm13130105	Shandy Nina Guti	\N	\N		tt15470078
nm13130106	David Edward	\N	\N	director,writer,producer	\N
nm13130113	Ivan Raiklin	\N	\N		tt15792092,tt15792106
nm13130114	Ruben Bolling	\N	\N		\N
nm13130116	Mahnaz	\N	\N		\N
nm13130117	David Gifford	\N	\N	director,producer	tt16116910
nm13130118	David Lewis	\N	\N	director,producer	tt16116910
nm13130119	Joanna Ramognino	\N	\N		tt13392064
nm13130120	Steve Lynch	\N	\N		tt15792092
nm13130121	Michael Cavanagh	\N	\N		\N
nm13130123	Keylan Laxton	\N	\N		tt13329976
nm13130124	Marcelo Germano	\N	\N		\N
nm13130125	Ryan Cole	\N	\N		tt15792092
nm13130126	Manuel Martin	\N	\N		tt0087055
nm13130127	Robert Young	\N	\N		tt15792092
nm13130128	Kathryn Starkey	\N	\N		tt16059778
nm13130129	Irmgard Rüsenberg	\N	\N		tt16059778
nm13130130	Nine Miedema	\N	\N		tt16059778
nm13130132	Tajeé	\N	\N		\N
nm13130133	Loizon Smith	\N	\N		\N
nm13130134	Jarrin Jackson	\N	\N		tt15792092
nm13130135	Natalie	\N	\N		\N
nm13130136	Alvaro Gracia Montoya	\N	\N		tt16116982
nm13130137	Registered Nurse	\N	\N		tt15792092
nm13130138	Hanni Krabbes	\N	\N		tt0103434
nm13130139	Victor Mugo	\N	\N		tt13659918
nm13130140	Girish Juneja	\N	\N		tt0477545
nm13130141	Olaf Schremm	\N	\N		tt15319588
nm13130142	Eric Lehmann	\N	\N		tt16117004
nm13130143	Francis Turberg	\N	\N		tt16117004
nm13130144	Nathanael Day	\N	\N		\N
nm13130145	Nda Paris	\N	\N		\N
nm13130146	Samantha Quealy	\N	\N		\N
nm13130147	Gabrielle Pondy Bias	\N	\N		\N
