nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm5960000	David Pearce	\N	\N	composer,music_department	tt3703080,tt9775472,tt3578800,tt3117066
nm5960001	Altiha Trejo	\N	\N	actress	tt3188220
nm5960002	Danil Ishutin	\N	\N		tt15467776,tt3203290
nm5960003	Clinton Loomis	\N	\N		tt4262112,tt3203290,tt6850842
nm5960004	Phil Co	\N	\N	cinematographer,editor,producer	tt4725570,tt3203290,tt1323932
nm5960005	Nick Maggiore	\N	\N	animation_department,cinematographer	tt1323932,tt0362179,tt3203290
nm5960006	Daniel E. Blankenship	\N	\N	camera_department,cinematographer,art_department	tt13614388,tt5537002,tt10314040,tt13635702
nm5960007	Michael Hammond	\N	\N	cinematographer,camera_department,writer	tt4251002,tt3986918,tt3345292,tt3615008
nm5960008	Clarence Murray	\N	\N	actor	tt3203292
nm5960009	John Gomoke	\N	\N	actor	tt3203292
nm5960011	David Pagtalunan	\N	\N	actor	tt3203292
nm5960012	Jennette Hastings	\N	\N	actress	tt3203292,tt3269246
nm5960013	Lee Cherry	\N	\N	actor	tt3203292
nm5960014	David Garcia	\N	\N	editor	tt3203292,tt8946242
nm5960016	Sam Harpa	\N	\N		\N
nm5960017	Michel Morin	\N	\N		\N
nm5960018	Hayes Jenkins	1933	\N		tt3203304,tt0049916,tt0048899,tt15127170
nm5960019	Tenley Albright	1935	\N		tt3203304,tt15127170,tt0044284
nm5960020	Max Aaron	1992	\N		tt3203304,tt5748106,tt13108122,tt3670664
nm5960021	Marissa Castelli	1990	\N		tt3203304,tt13108122,tt3670664,tt0167515
nm5960022	Simon Shnapir	\N	\N		\N
nm5960023	Ross Miner	1991	\N		tt3203304,tt13108122
nm5960024	Agnes Zawadzki	1994	\N		tt3203304,tt12886162
nm5960025	Andrew Sgambati	\N	\N	writer,editor,director	tt10644016,tt6361212,tt3203308,tt11534540
nm5960026	Rae Gentry	\N	\N	actress	tt3203308,tt6304798,tt6361212
nm5960027	Lesley Carlin	\N	\N	actress	tt6120312,tt5527742,tt3203308,tt3149058
nm5960028	Marse Ratliff	1975	\N	actor	tt3203308,tt2782108
nm5960029	Michelle Sabato	\N	\N	actress,writer,producer	tt4906586,tt10727080,tt6414530,tt8594400
nm5960030	Marc Justice	\N	\N	actor	tt3203308
nm5960031	Rachel Levi	\N	\N		\N
nm5960033	Frank Smeragulio	\N	\N	actor	tt3203310
nm5960034	Chris McQueen	\N	\N	actor	tt3203310
nm5960035	Beelzebob	\N	\N	actor	tt3203310
nm5960037	Annabelle Sinclair	\N	\N	producer	tt3914328,tt3203312
nm5960039	Evan Fuller	\N	\N	actor	tt2104011,tt3203312,tt0995941
nm5960040	Ulrich Kurowski	\N	\N	actor	tt3203316
nm5960041	Ouly Pauly	\N	\N	actor	tt3203316
nm5960042	Herbert Adam	\N	\N	actor,camera_department	tt3203316
nm5960043	Michael Riedner	\N	\N	director,actor,writer	tt3203316,tt7381038
nm5960044	Fritz Buttermilch	\N	\N	actor	tt3203316
nm5960045	La Puhlar	\N	\N	actor	tt3203316
nm5960046	Dieter Schwarz	\N	\N	assistant_director	tt3203316
nm5960047	Lucky Lasagne	\N	\N	camera_department	tt3203316
nm5960048	Achim Mantscheff	\N	\N	camera_department	tt3203316
nm5960049	Hans Brandenberg	\N	\N	location_management	tt3203316
nm5960050	Michael Fry	\N	\N	manager	\N
nm5960051	Dalton	\N	\N		\N
nm5960052	John	\N	\N	actor	tt3195670
nm5960053	James Leonard	\N	\N	sound_department	tt3203318
nm5960054	Matthew Hopper	\N	\N	writer,producer,director	tt6136914,tt8032858,tt3203318,tt4940638
nm5960057	Laia Alabart	\N	\N	camera_department,editor,director	tt4205960,tt4594936,tt10703926,tt3203318
nm5960058	Jonathan Smith	\N	\N		\N
nm5960059	Lucy Cooper	\N	\N	art_department,production_designer	tt3362670,tt3203318
nm5960062	Jack Reynolds	\N	\N	camera_department	tt4729426,tt3203318,tt4289052
nm5960063	Max Allen	\N	\N	camera_department	tt3203318,tt3204734
nm5960064	Nick Brown	\N	\N	camera_department,cinematographer	tt4911876,tt10768782,tt4126438,tt3203318
nm5960067	Sara Wilson	\N	\N	costume_designer	tt3203318
nm5960068	Rory Murphy	\N	\N	actor	tt14449470,tt3203318,tt5502366,tt4521338
nm5960071	Abdul Adama	\N	\N	costume_department	tt3203318
nm5960073	Jack Lightfoot	\N	\N	producer,assistant_director	tt3568162,tt3203318,tt4940638
nm5960074	Mike Copp	\N	\N	miscellaneous	tt3203318
nm5960075	Alice Howlett	\N	\N	make_up_department	tt4940638,tt5724490,tt3568162,tt3203318
nm5960077	Denis Kirkman-Moriarty	\N	\N	camera_department,cinematographer,director	tt6473542,tt3178992,tt7547246,tt9114720
nm5960078	Anthony Brown	\N	\N	camera_department,miscellaneous	tt3178992
nm5960079	Christian lee Rodriguez	\N	\N	miscellaneous	tt3178992
nm5960081	Richard Mylchreest	\N	\N	camera_department	tt2533174
nm5960084	Jack Thie	\N	\N	miscellaneous	tt3703050,tt6391744,tt3768410,tt0139803
nm5960085	Janet Long	\N	\N		\N
nm5960086	Gaurav Jha	\N	\N	actor	tt15554708,tt7328286
nm5960088	Caitlen Nelis-Masters	\N	\N	actress	tt4372814,tt2180911,tt3397992,tt3885442
nm5960089	Israel Matos	1981	\N		tt3202708
nm5960090	Rick Joseph	\N	\N	writer	tt3202708
nm5960091	Eddie Miller	\N	\N	camera_department	tt3202708
nm5960092	Val de la Cruz	\N	\N	make_up_department	tt4076926,tt3328944,tt3617046,tt3202708
nm5960093	Isaac Kinsey	\N	\N	miscellaneous	tt3202708
nm5960094	Emily Colsen	\N	\N	assistant_director,miscellaneous	tt3202708,tt0371944
nm5960096	Hotcha	\N	\N	actor	tt3203332
nm5960097	Masanori Takeda	\N	\N	actor	tt3221472,tt3216278,tt3203332,tt3553704
nm5960098	Hidefusa Kondô	\N	\N	assistant_director	tt3347708,tt3203332,tt3553704,tt3216278
nm5960099	John Flores	\N	\N	camera_department	tt3188220
nm5960100	Moriah 'Moe' Adams	\N	\N	editorial_department,miscellaneous	tt1078394,tt3188220,tt1020922,tt5737432
nm5960101	Alice Oldroyd	\N	\N	make_up_department	tt3160256,tt2994696,tt3520332
nm5960102	Anne Mergaerts	\N	\N	make_up_department	tt3520332,tt2994696
nm5960103	Paul Müller	\N	\N	art_department,production_designer	tt2994696,tt5111810
nm5960104	Jemma Skidmore	\N	\N	art_department,set_decorator,production_designer	tt4511974,tt3183382,tt1966385,tt2674806
nm5960105	Peter Houlihan	\N	\N	visual_effects	tt2994696
nm5960106	Andrew Hyde	\N	\N	visual_effects,editor	tt2994696,tt3520332
nm5960107	Fay Mannon-Rahoi	\N	\N	producer,miscellaneous	tt2953856,tt4218556
nm5960108	Indios	\N	\N	soundtrack	tt4699262,tt2070365,tt0778544
nm5960109	Michael Spencer Smith	\N	\N	editor,editorial_department,cinematographer	tt14181328,tt5270948,tt5775886
nm5960110	Chen Kang	\N	\N	sound_department	\N
nm5960115	Carl Summerell	\N	\N		\N
nm5960116	Steve Crosby	1950	\N		tt0407423,tt0896893,tt1542828,tt0407424
nm5960117	Larry Smith	\N	\N		\N
nm5960118	J.R. Pettus	\N	\N	producer,writer	tt0122019,tt0181175,tt0200930,tt0469805
nm5960119	Simou Mohamed	\N	\N	sound_department	tt1138645,tt2331169,tt3214310,tt3499424
nm5960120	John Peter	\N	\N	director	tt0103373
nm5960121	Chris Chandler	\N	\N	music_department	tt0103373
nm5960122	Rebecca Eve	\N	\N	miscellaneous	tt1138645
nm5960123	Gail Leonard	\N	\N	miscellaneous	tt1138645
nm5960124	Eden Einhorn	\N	\N	actress	tt3203350
nm5960125	Sean Dibona	\N	\N	actor	tt3203350
nm5960126	Guido Menzio	\N	\N	producer	tt3203350
nm5960127	Jorge Rojas	\N	\N	art_department	tt2377398
nm5960128	Oukach Mohamed	\N	\N	camera_department,miscellaneous	tt3651642,tt1138645
nm5960129	Tee Lewis	\N	\N	producer	tt3203354
nm5960130	Paul Spangfort	\N	\N	actor	tt3203356,tt5586282,tt7490298,tt2401745
nm5960131	Sian McKeever	\N	\N	actress	tt3203356
nm5960132	Arnold Lam	\N	\N	actor	tt3203356
nm5960133	Justin Chong	\N	\N	actor	tt3203356,tt5586282
nm5960134	Sofie Samuelsson	\N	\N	actress	tt3203356
nm5960135	Mary Kavanagh	\N	\N	actress	tt3203356
nm5960136	Susanna Hung	\N	\N	actress	tt3203356
nm5960137	Paul MacLean	\N	\N		tt3203356
nm5960140	Kalin Wilson	\N	\N	actor	tt2980708,tt3254796
nm5960141	Taylor Rule	\N	\N	actress	tt3173562
nm5960142	Rena Swearingen	\N	\N	actress	tt3173562,tt5886724
nm5960143	Jody E. Beyer	\N	\N	casting_director,location_management,producer	tt4696740,tt3453938,tt4292852,tt6371764
nm5960146	Loren O'Dair	\N	\N	actress	tt15036388,tt6768146,tt3203364,tt7164720
nm5960147	Holly Hoyland	\N	\N		\N
nm5960148	Izabella Fucilla	\N	\N	actress	tt3203364
nm5960149	Josh Sneesby	\N	\N	actor,sound_department	tt3203364,tt10584736,tt2705602
nm5960150	Melanie Messa	\N	\N		\N
nm5960151	Gary Greene	\N	\N	producer	tt3104902
nm5960152	Daniela Settanni	\N	\N		\N
nm5960153	Nolan Avery	\N	\N		tt1883671,tt3305014
nm5960154	Christopher Nieman	\N	\N	actor	tt3203382
nm5960155	Fred Bishop	\N	\N	actor	tt3203382
nm5960156	Todd Elliott	\N	\N	actor	tt3203382
nm5960157	Robert Bernard	\N	\N	actor	tt3203382
nm5960158	Alan Davis	\N	\N	actor	tt4624858,tt3203382
nm5960159	Tate Fairchild	\N	\N	actor	tt3562276,tt3203382
nm5960160	Richard Ramos	\N	\N	actor	tt3203382
nm5960161	Marquis Sims	\N	\N	actor	tt3203382
nm5960162	George Adams	\N	\N	cinematographer,editor	tt7044466,tt4975550,tt3203382,tt11858782
nm5960163	Melissa Blakely	\N	\N	animation_department	tt3203382
nm5960164	Kate Donnelly	\N	\N	animation_department	tt3203382
nm5960165	Cari Chadwick	\N	\N	animation_department	tt3203382
nm5960167	Joseph Andrade	\N	\N	animation_department	tt3203382
nm5960168	Eddy Mayer	\N	\N	art_department,visual_effects	tt3203382,tt3062976,tt1229340
nm5960169	Sheena Klimoski	\N	\N	art_department	tt3203382
nm5960170	Eric Jeon	\N	\N		\N
nm5960171	Keenan Olson	\N	\N	art_department,actor,transportation_department	tt3305450,tt3793864,tt3526304,tt3203382
nm5960172	Joe Schwartz	\N	\N	assistant_director	tt3203382
nm5960174	Aaron Smith	\N	\N	camera_department	tt3203382
nm5960176	Mike Bryant	\N	\N	camera_department	tt3688406,tt3203382
nm5960178	Bryan Domois	\N	\N	camera_department	tt3203382
nm5960179	Carlos Perez	\N	\N	camera_department	tt3203382,tt5768134
nm5960180	Leonard La Rosa	\N	\N	camera_department	tt3203382
nm5960184	Richard Wetzel	\N	\N	make_up_department	tt3203382
nm5960185	Kat Thompson	\N	\N	make_up_department	tt3203382
nm5960186	Joe Alfuso	\N	\N	music_department	tt3203382
nm5960187	Marc Riley	\N	\N	music_department	tt3203382
nm5960189	Melissa Atwell	\N	\N	music_department	tt3203382
nm5960190	Jon Baker	\N	\N	sound_department,music_department	tt13106740,tt3203382
nm5960191	Ann Hathaway	\N	\N	production_manager	tt3203382
nm5960192	Stormie Dorrell	\N	\N	production_manager	tt3203382
nm5960194	Tae Lee	\N	\N	visual_effects	tt3203382
nm5960196	Anthony Vu	\N	\N	visual_effects	tt3203382
nm5960197	Vaughn Hannon	\N	\N	miscellaneous	tt3203382
nm5960198	Heather Lindquist	\N	\N	miscellaneous	tt3203382,tt14765638
nm5960199	Mark Craig	\N	\N	miscellaneous	tt3203382
nm5960200	Ivy Hooks	\N	\N	miscellaneous	tt3203382
nm5960201	Thomas Moser	\N	\N	miscellaneous	tt3203382
nm5960202	Robert Thompson	\N	\N	miscellaneous	tt3203382
nm5960203	Pat Lovett	\N	\N	miscellaneous	tt3203382
nm5960204	Keith Roddy	\N	\N	actor,cinematographer,miscellaneous	tt3286352,tt3203382
nm5960205	Kelcy Watson	\N	\N	miscellaneous	tt3203382
nm5960206	Dani Rodriguez	\N	\N	actor,writer,editor	tt13875478,tt3203382
nm5960207	Dominick Jones	\N	\N	miscellaneous	tt3203382
