tconst	averageRating	numVotes
tt17660502	8.0	27
tt17660740	8.0	78
tt17661960	4.4	28
tt17662046	10.0	6
tt17662096	8.0	392
tt17662108	4.8	85
tt17662532	9.1	17
tt17662694	2.5	13
tt17662736	7.2	18
tt17662898	5.8	9
tt17663102	3.1	8
tt17663126	7.9	14
tt17663362	6.4	147
tt17663418	5.8	11
tt17663526	8.8	6
tt17663582	8.8	6
tt17663768	6.2	21
tt17663774	7.0	21
tt17663790	9.1	7
tt17663936	7.8	79
tt17663940	7.8	74
tt17663946	7.6	70
tt17663950	7.9	71
tt17663952	7.7	72
tt17663998	8.7	34
tt17664016	9.2	37
tt17664028	9.2	41
tt17664518	8.3	11
tt17669732	7.6	75
