tconst	averageRating	numVotes
tt6340008	8.4	14
tt6340016	8.7	145
tt6340026	6.9	253
tt6340040	7.8	6
tt6340042	7.6	7
tt6340044	7.9	8
tt6340046	8.0	5
tt6340066	8.6	746
tt6340090	6.7	485
tt6340092	5.9	59
tt6340108	8.4	9
tt6340110	8.7	130
tt6340112	6.4	1882
tt6340118	4.7	58
tt6340124	4.7	51
tt6340126	4.6	49
tt6340130	8.3	4440
tt6340132	4.6	47
tt6340134	7.0	3719
tt6340138	9.1	5199
tt6340140	4.8	50
tt6340142	8.9	5195
tt6340148	4.6	48
tt6340158	5.0	48
tt6340162	4.8	48
tt6340176	4.5	55
tt6340178	4.7	50
tt6340182	4.6	47
tt6340184	4.8	52
tt6340186	5.1	47
tt6340196	4.9	47
tt6340200	4.8	45
tt6340202	8.2	672
tt6340206	8.0	510
tt6340212	4.7	45
tt6340214	4.7	45
tt6340220	4.8	47
tt6340224	4.7	47
tt6340226	7.0	30
tt6340232	4.7	46
tt6340234	2.9	37
tt6340240	6.6	32
tt6340246	7.1	30
tt6340250	7.9	32
tt6340264	5.9	1100
tt6340268	4.5	47
tt6340284	8.7	6
tt6340286	4.7	46
tt6340288	4.6	47
tt6340292	4.6	44
tt6340294	8.0	9
tt6340296	5.5	1176
tt6340302	4.6	49
tt6340304	6.0	359
tt6340310	4.8	43
tt6340314	4.6	46
tt6340320	4.6	48
tt6340324	4.7	47
tt6340370	6.6	6
tt6340372	5.5	17
tt6340378	6.5	8
tt6340388	4.4	6
tt6340396	7.5	33
tt6340398	7.9	35
tt6340400	7.7	32
tt6340402	7.2	33
tt6340404	7.5	32
tt6340406	7.5	30
tt6340408	7.0	31
tt6340410	7.0	31
tt6340412	7.4	32
tt6340414	7.8	32
tt6340416	7.9	30
tt6340418	8.6	33
tt6340420	8.9	38
tt6340422	7.4	23
tt6340430	7.9	45
tt6340444	7.2	6
tt6340452	7.2	14
tt6340476	8.8	23
tt6340484	7.4	61
tt6340500	6.6	2446
tt6340502	7.7	4104
tt6340512	9.0	6
tt6340514	8.3	319
tt6340516	7.9	322
tt6340530	4.6	8
tt6340544	5.8	63
tt6340558	8.1	10
tt6340604	6.2	3878
tt6340640	6.8	2915
tt6340642	5.9	116
tt6340644	8.2	10
tt6340650	7.7	1975
tt6340652	7.0	6
tt6340656	4.9	9
tt6340668	6.8	10
tt6340698	6.2	196
tt6340726	8.7	24
tt6340730	6.5	627
tt6340848	6.5	83
tt6340854	7.7	667
tt6340946	9.2	5
tt6340952	10.0	5
tt6340964	8.0	7
tt6341020	8.3	1293
tt6341066	5.7	972
tt6341082	6.5	25
tt6341084	8.2	13
tt6341086	5.1	450
tt6341088	6.8	6
tt6341090	8.4	10
tt6341094	3.0	124
tt6341108	5.4	370
tt6341176	7.2	11
tt6341192	8.2	21
tt6341234	6.9	7
tt6341286	9.0	23
tt6341364	4.2	16
tt6341372	9.2	11
tt6341418	8.4	24
tt6341524	8.7	8
tt6341528	8.0	16
tt6341604	8.0	18
tt6341668	6.1	774
tt6341700	8.5	6
tt6341754	8.2	8
tt6341766	7.6	10
tt6341768	8.0	10
tt6341776	8.7	62
tt6341810	7.1	86
tt6341830	8.0	91
tt6341832	6.5	38896
tt6341834	8.9	49
tt6341888	7.8	18
tt6341890	7.8	12
tt6341896	8.2	6
tt6341898	7.0	12
tt6341900	4.7	89
tt6341912	5.8	201
tt6341942	7.9	19
tt6341944	7.4	7
tt6341950	8.4	5
tt6341962	8.5	12
tt6341964	6.2	9
tt6341968	7.4	25
tt6341998	6.1	17
tt6342008	6.4	16
tt6342012	5.0	10
tt6342034	6.5	69
tt6342058	7.9	18
tt6342062	3.9	1692
tt6342064	7.7	10
tt6342106	7.6	251
tt6342108	8.0	10
tt6342110	5.7	766
tt6342112	3.7	30
tt6342116	8.0	6
tt6342120	9.2	5
tt6342156	8.2	7
tt6342166	6.9	7
tt6342188	8.5	7
tt6342192	7.8	6
tt6342196	8.5	17
tt6342228	7.4	141
tt6342236	6.9	89
tt6342244	7.7	67
tt6342246	8.1	69
tt6342250	9.2	1270
tt6342254	7.8	6
tt6342256	8.0	75
tt6342258	7.7	8
tt6342278	6.6	6
tt6342282	7.0	10
tt6342284	7.0	2098
tt6342288	9.2	6
tt6342306	6.9	179
tt6342316	5.1	267
tt6342320	7.3	8
tt6342324	8.7	25
tt6342330	6.4	19
tt6342348	6.0	186
tt6342368	8.3	237
tt6342370	7.0	8
tt6342372	7.5	7
