tconst	averageRating	numVotes
tt12370010	8.9	10
tt12370018	8.8	32
tt12370088	7.2	6
tt12370124	5.3	2575
tt12370158	7.3	6
tt12370252	8.9	18
tt12370376	7.1	120
tt12370400	6.9	7
tt12370412	6.3	12
tt12370482	8.5	14
tt12370548	7.9	9
tt12371060	7.5	6
tt12371318	7.1	394
tt12371326	7.8	6
tt12371410	7.7	7
tt12371428	8.6	9
tt12371492	8.0	6
tt12371506	8.9	7
tt12371560	7.1	8
tt12371672	6.9	21
tt12371738	7.8	6
tt12371852	7.8	12
tt12371856	8.5	6
tt12371924	7.7	6
tt12372022	9.8	6
tt12372034	7.4	439
tt12372054	6.7	67
tt12372062	7.0	46
tt12372076	7.4	40
tt12372078	7.5	43
tt12372080	7.4	37
tt12372084	7.4	36
tt12372086	7.5	34
tt12372088	7.2	35
tt12372090	7.2	35
tt12372092	7.3	34
tt12372142	7.5	12
tt12372270	9.0	134
tt12372366	7.5	42
tt12372372	7.7	6
tt12372432	7.0	8
tt12372478	7.9	7
tt12372552	6.7	12
tt12372982	8.1	24
tt12373122	6.2	24
tt12373124	6.4	22
tt12373128	6.1	23
tt12373158	7.7	18
tt12373356	7.1	12
tt12373410	7.0	8
tt12373412	7.3	9
tt12373414	5.3	292
tt12373434	5.6	9
tt12373438	7.8	12
tt12373442	7.7	12
tt12373468	9.2	7
tt12373474	7.5	11
tt12373484	8.3	13
tt12373488	8.6	7
tt12373490	8.6	10
tt12373578	6.1	18
tt12373592	6.2	70
tt12373644	6.2	180
tt12373646	6.9	99
tt12373652	5.5	183
tt12373660	4.9	7
tt12373700	7.0	53
tt12373746	5.8	21
tt12373754	6.9	24
tt12373786	7.7	7
tt12373798	5.3	47
tt12373870	7.4	8
tt12373880	8.8	15
tt12373898	7.4	8
tt12373918	5.8	8
tt12374094	7.5	23
tt12374104	7.0	23
tt12374106	7.7	83
tt12374112	7.8	93
tt12374120	5.5	6
tt12374142	7.7	191
tt12374144	7.0	518
tt12374182	8.6	7
tt12374198	6.6	14
tt12374250	6.5	25
tt12374280	6.6	21
tt12374314	6.2	28
tt12374322	6.8	20
tt12374344	7.8	10
tt12374350	9.4	23
tt12374366	8.1	13
tt12374438	8.8	21
tt12374448	7.7	10
tt12374452	8.2	9
tt12374454	8.1	12
tt12374456	7.5	8
tt12374460	7.5	8
tt12374462	7.5	8
tt12374500	8.6	62
tt12374546	7.5	17
tt12374602	6.6	38
tt12374624	6.8	7
tt12374656	7.3	542
tt12374688	4.8	6
tt12374744	6.3	6
tt12374774	3.0	254
tt12374798	7.7	13
tt12374808	9.1	38
tt12374946	7.8	49
tt12374976	8.4	1133
tt12375074	7.6	171
tt12375124	6.5	12
tt12375344	7.4	399
tt12375356	7.4	315
tt12375360	7.0	337
tt12375364	6.9	285
tt12375370	6.3	341
tt12375378	6.5	296
tt12375382	6.9	238
tt12375384	7.0	247
tt12375444	3.6	6
tt12375460	9.0	30
tt12375464	8.6	26
tt12375492	6.3	7
tt12375526	6.8	54
tt12375570	6.6	14
tt12375596	6.6	24
tt12375598	6.1	14
tt12375600	6.8	13
tt12375604	6.4	11
tt12375606	6.0	13
tt12375610	6.0	14
tt12375660	7.7	39
tt12375666	8.3	7
tt12375700	7.4	17
tt12375704	8.2	311
tt12375706	8.8	328
tt12375708	8.3	261
tt12375718	8.2	257
tt12375724	8.6	266
tt12375750	7.2	19
tt12375756	6.9	15
tt12375760	7.6	16
tt12375772	7.3	15
tt12375868	7.5	133
tt12375872	5.9	44
tt12375886	7.1	49
tt12375890	6.6	37
tt12375898	7.5	8
tt12375900	5.7	35
tt12376000	7.8	108
tt12376408	7.2	7
tt12376452	8.9	108
tt12376522	8.2	43
tt12376994	5.9	9
tt12377014	8.5	83
tt12377106	8.1	998
tt12377116	5.7	30
tt12377162	6.8	11
tt12377174	7.4	13
tt12377192	6.9	8
tt12377306	7.2	8
tt12377336	7.7	31
tt12377584	6.9	17
tt12377628	3.8	40
tt12377674	6.1	53
tt12377820	5.5	71
tt12377824	9.6	17
tt12378074	6.3	11
tt12378160	7.2	6
tt12378194	8.0	18
tt12378264	9.0	103
tt12378272	9.1	100
tt12378284	9.3	97
tt12378288	9.5	104
tt12378294	9.2	92
tt12378300	9.3	100
tt12378370	8.2	118
tt12378690	6.4	109
tt12378696	10.0	23
tt12378698	6.6	102
tt12378702	6.7	97
tt12378708	6.7	93
tt12378712	6.8	91
tt12378720	6.6	104
tt12378722	6.8	100
tt12378990	6.1	524
tt12379042	6.8	29
tt12379044	7.4	11
tt12379054	7.6	14
tt12379058	5.6	12
tt12379076	7.5	161
tt12379092	5.8	151
tt12379096	6.8	5
tt12379134	6.9	17
tt12379170	6.1	145
tt12379232	5.8	8
tt12379500	6.0	5
tt12379506	7.1	8
tt12379600	7.9	41
tt12379608	7.9	50
tt12379806	7.2	12
tt12379808	5.8	5
tt12379818	6.3	8
tt12379824	6.0	5
tt12379878	6.4	7
tt12379968	7.7	14
tt12379998	8.2	12
