tconst	averageRating	numVotes
tt12845906	6.3	9
tt12845928	8.1	8
tt12845990	4.0	16
tt12846024	6.9	14
tt12846030	7.2	13
tt12846032	6.8	13
tt12846046	7.7	16
tt12846048	6.8	12
tt12846056	7.5	13
tt12846060	7.5	14
tt12846068	7.2	14
tt12846070	5.6	8
tt12846074	7.4	15
tt12846078	7.4	14
tt12846082	7.5	16
tt12846088	7.1	14
tt12846096	8.2	1918
tt12846098	7.5	13
tt12846100	7.5	15
tt12846106	7.5	13
tt12846112	7.4	15
tt12846130	7.5	12
tt12846136	7.2	14
tt12846138	7.7	15
tt12846146	7.1	11
tt12846150	7.7	14
tt12846154	7.3	13
tt12846160	7.2	14
tt12846170	6.9	14
tt12846194	7.6	19
tt12846198	7.2	7
tt12846212	6.8	7
tt12846832	6.2	18
tt12846890	8.0	9
tt12846894	7.2	7
tt12846908	6.8	7
tt12846922	6.4	7
tt12846936	7.3	9
tt12846952	6.4	7
tt12846962	6.2	8
tt12846986	7.2	8
tt12846990	6.2	7
tt12847022	5.0	111
tt12847064	7.3	43
tt12847168	6.7	420
tt12847180	6.0	17
tt12847192	5.9	60
tt12847352	4.4	365
tt12847432	6.8	25
tt12847478	7.6	6
tt12847490	7.6	6
tt12847532	6.0	7
tt12847558	4.4	8
tt12847562	6.6	15
tt12847642	6.3	117
tt12847680	5.7	480
tt12847802	7.6	120
tt12847812	6.8	1789
tt12847818	6.6	13
tt12847824	8.2	95
tt12847826	6.9	19
tt12847942	7.0	539
tt12847950	8.0	62
tt12848074	4.2	87
tt12848238	6.7	14
tt12848262	1.9	16
tt12848468	8.0	16
tt12848610	6.8	8
tt12848690	8.2	676
tt12848772	7.2	15
tt12848778	7.7	13
tt12849166	6.2	8
tt12849204	7.4	523
tt12849270	9.0	6
tt12849368	7.3	10
tt12849382	6.3	8
tt12849474	7.4	14
tt12849496	4.4	100
tt12849498	7.8	67
tt12849578	7.8	62
tt12849676	8.1	8
tt12849678	8.6	7
tt12849682	7.6	5
tt12849746	6.9	11
tt12849824	6.0	8
tt12849834	3.8	277
tt12849920	7.3	13
tt12849986	6.2	17
tt12849988	6.3	19
tt12849990	6.4	19
tt12849992	6.5	19
