tconst	averageRating	numVotes
tt1400003	8.2	6
tt1400006	6.6	12
tt1400008	5.2	6
tt1400009	5.0	6
tt1400010	6.6	8
tt1400011	5.8	6
tt1400012	6.0	7
tt1400014	5.5	7
tt1400015	6.2	7
tt1400016	5.2	6
tt1400017	5.7	7
tt1400018	4.4	6
tt1400019	4.3	7
tt1400020	5.6	6
tt1400025	8.8	8
tt1400033	8.2	16
tt1400034	7.9	14
tt1400039	5.0	9
tt1400055	8.4	6
tt1400056	7.2	7
tt1400057	6.9	8
tt1400059	9.0	6
tt1400060	7.3	7
tt1400061	6.7	8
tt1400062	8.6	15
tt1400072	6.9	24
tt1400073	7.9	1713
tt1400074	9.7	13
tt1400116	4.7	116
tt1400117	7.2	7
tt1400118	7.5	7
tt1400121	8.1	10
tt1400122	9.3	8
tt1400160	8.6	4500
tt1400163	1.2	144
tt1400168	7.5	28
tt1400175	8.9	366
tt1400190	7.5	26
tt1400219	3.7	29
tt1400230	7.8	15
tt1400231	7.8	20
tt1400232	7.7	15
tt1400233	7.0	25
tt1400234	7.3	18
tt1400235	7.4	21
tt1400236	7.7	15
tt1400237	8.1	20
tt1400238	7.0	31
tt1400239	8.1	19
tt1400240	7.1	15
tt1400241	7.4	27
tt1400242	6.8	30
tt1400243	7.6	15
tt1400244	7.6	14
tt1400251	9.5	1866
tt1400264	7.6	23
tt1400265	6.1	373
tt1400272	7.4	163
tt1400315	6.8	6
tt1400316	6.8	7
tt1400318	8.3	10
tt1400319	7.6	55
tt1400320	7.5	9
tt1400323	4.0	16
tt1400324	8.5	9
tt1400327	6.6	7
tt1400328	7.8	6
tt1400331	6.6	21
tt1400333	4.6	22
tt1400335	5.0	626
tt1400337	7.0	15
tt1400338	3.6	15
tt1400339	9.2	14
tt1400340	7.8	27
tt1400341	8.4	81
tt1400343	7.9	9
tt1400344	6.7	17
tt1400345	7.1	119
tt1400351	6.9	8
tt1400352	6.7	10
tt1400355	6.9	12
tt1400356	7.8	63
tt1400357	7.7	91
tt1400360	8.4	10
tt1400362	5.2	6
tt1400363	4.8	6
tt1400364	8.0	16
tt1400365	5.5	434
tt1400367	6.8	37
tt1400368	7.6	19
tt1400370	4.7	71
tt1400371	9.0	19
tt1400378	6.2	7
tt1400384	8.1	20
tt1400386	5.8	15
tt1400388	7.3	12
tt1400389	8.6	22
tt1400393	7.1	25
tt1400397	6.8	16
tt1400398	7.3	126
tt1400400	5.3	95
tt1400401	2.4	9
tt1400403	8.2	34
tt1400405	5.6	5
tt1400408	5.8	6
tt1400409	6.8	12
tt1400438	6.9	207
tt1400490	5.7	42
tt1400492	9.1	16
tt1400493	9.0	14
tt1400496	8.9	42
tt1400497	9.3	41
tt1400500	5.3	34
tt1400502	9.2	106
tt1400506	8.3	21
tt1400507	9.4	12
tt1400508	7.1	1221
tt1400509	7.4	136
tt1400515	3.5	1844
tt1400517	8.0	9
tt1400520	8.4	24
tt1400522	4.8	6
tt1400523	7.2	8
tt1400526	5.0	4583
tt1400527	4.3	13
tt1400528	4.7	287
tt1400529	8.2	59
tt1400530	6.4	7
tt1400531	8.1	11
tt1400534	7.5	16
tt1400537	6.1	8
tt1400542	7.1	24
tt1400546	6.7	13
tt1400548	6.7	9
tt1400551	6.6	5
tt1400557	6.0	12
tt1400558	5.1	378
tt1400570	7.9	14
tt1400572	8.1	17
tt1400574	7.4	660
tt1400575	8.3	52
tt1400577	5.2	6
tt1400580	5.7	1101
tt1400584	7.7	48
tt1400601	6.5	37
tt1400602	6.5	28
tt1400606	6.3	49
tt1400607	7.8	150
tt1400620	6.6	13
tt1400628	5.8	7
tt1400631	7.6	10
tt1400637	7.0	5
tt1400638	7.0	5
tt1400641	6.6	5
tt1400652	9.1	2780
tt1400654	8.6	2262
tt1400692	7.1	28
tt1400693	6.6	25
tt1400694	6.7	22
tt1400695	6.9	15
tt1400696	5.9	27
tt1400697	7.1	27
tt1400698	6.8	29
tt1400699	7.1	28
tt1400700	6.8	25
tt1400701	6.8	26
tt1400702	6.5	21
tt1400703	6.9	27
tt1400704	6.1	23
tt1400705	5.9	25
tt1400706	6.1	21
tt1400707	6.4	22
tt1400708	6.7	23
tt1400709	6.7	31
tt1400710	6.2	31
tt1400711	5.8	25
tt1400712	6.4	26
tt1400713	6.8	26
tt1400714	6.8	30
tt1400715	7.6	15
tt1400736	6.5	171
tt1400744	8.2	14
tt1400745	5.0	8
tt1400766	7.1	13
tt1400793	9.4	7
tt1400819	8.8	5219
tt1400820	9.3	42
tt1400822	8.0	31
tt1400843	8.1	68
tt1400844	7.9	63
tt1400845	5.9	65
tt1400847	8.4	13
tt1400848	8.3	21
tt1400869	8.3	8
tt1400883	6.6	18
tt1400884	6.9	12
tt1400889	8.5	8
tt1400911	8.4	107
tt1400912	7.0	7
tt1400939	7.6	516
tt1400940	7.8	435
tt1400941	8.0	469
tt1400942	7.9	449
tt1400943	8.0	424
tt1400944	7.4	582
tt1400962	8.6	20
tt1400965	8.2	64
tt1400974	7.8	31
tt1400975	6.6	837
