tconst	averageRating	numVotes
tt0490004	6.8	102
tt0490011	8.4	11
tt0490016	6.0	84
tt0490017	6.1	20
tt0490018	3.0	10
tt0490021	6.6	159
tt0490023	5.8	8
tt0490029	6.9	27
tt0490032	5.0	17
tt0490034	8.3	68
tt0490035	6.9	1663
tt0490036	8.4	54
tt0490038	6.4	40
tt0490041	8.4	6
tt0490042	7.5	47
tt0490043	6.0	47
tt0490044	6.9	81
tt0490046	7.1	66
tt0490048	8.2	2166
tt0490050	7.4	11
tt0490052	7.8	106
tt0490053	8.1	109
tt0490054	7.9	85
tt0490055	7.7	89
tt0490056	8.2	95
tt0490057	2.8	91
tt0490058	5.9	92
tt0490059	8.1	104
tt0490060	6.5	100
tt0490061	6.3	79
tt0490062	7.0	85
tt0490063	8.2	102
tt0490064	7.1	89
tt0490065	6.9	89
tt0490066	7.1	86
tt0490067	6.8	76
tt0490068	5.2	89
tt0490069	8.0	84
tt0490070	7.8	110
tt0490071	7.5	80
tt0490072	5.7	119
tt0490074	5.8	22
tt0490075	4.8	381
tt0490076	5.5	33494
tt0490077	7.5	8
tt0490078	4.5	469
tt0490079	8.1	101
tt0490080	4.9	213
tt0490081	5.0	488
tt0490083	4.2	31
tt0490084	5.5	38878
tt0490086	6.1	44857
tt0490087	7.0	306
tt0490088	6.9	33
tt0490089	7.8	6
tt0490090	8.4	21
tt0490093	7.2	17
tt0490094	5.8	25
tt0490100	4.7	10
tt0490102	7.3	247
tt0490103	6.5	39
tt0490108	3.0	212
tt0490109	7.3	13
tt0490112	6.5	74
tt0490114	4.0	409
tt0490116	4.2	29
tt0490117	6.3	263
tt0490118	7.6	16
tt0490121	4.7	45
tt0490126	7.3	942
tt0490127	4.7	49
tt0490133	6.3	50
tt0490134	6.5	467
tt0490136	8.9	16
tt0490139	8.0	29
tt0490142	5.4	28
tt0490143	6.2	25
tt0490148	7.5	17
tt0490149	5.2	69
tt0490150	6.6	16
tt0490151	4.3	18
tt0490154	7.7	509
tt0490160	5.1	104
tt0490161	4.9	138
tt0490166	6.9	8522
tt0490167	7.6	22
tt0490170	2.6	2499
tt0490171	7.3	31
tt0490172	2.8	188
tt0490174	7.1	66
tt0490175	8.0	14
tt0490176	6.2	30
tt0490181	5.2	26538
tt0490183	4.9	50
tt0490186	6.8	34
tt0490187	5.7	22
tt0490189	7.7	11
tt0490190	7.8	6
tt0490191	7.7	15
tt0490192	7.6	12
tt0490194	7.6	13
tt0490196	3.2	9108
tt0490197	4.1	14
tt0490198	6.4	115
tt0490199	6.9	68
tt0490201	6.5	20
tt0490204	7.4	96965
tt0490208	8.7	29
tt0490209	8.1	23
tt0490210	6.7	7632
tt0490212	7.2	13
tt0490213	7.0	15
tt0490214	6.9	117
tt0490215	7.1	113221
tt0490219	4.3	26
tt0490220	6.5	14
tt0490223	6.5	59
tt0490224	6.2	57
tt0490227	5.5	23
tt0490228	6.8	83
tt0490229	5.7	24
tt0490231	6.2	45
tt0490232	7.2	14
tt0490234	6.8	3142
tt0490236	4.1	317
tt0490237	6.1	12
tt0490240	3.1	839
tt0490241	6.8	23
tt0490244	8.0	43
tt0490245	7.4	33
tt0490247	6.8	20
tt0490249	6.0	9
tt0490250	7.4	14
tt0490251	5.3	11
tt0490252	4.4	38
tt0490256	7.4	9
tt0490257	6.2	14
tt0490262	8.2	7
tt0490266	3.6	12
tt0490268	9.2	10
tt0490269	6.8	14
tt0490271	5.9	18
tt0490272	6.2	14
tt0490273	5.9	14
tt0490274	6.3	13
tt0490275	5.0	13
tt0490279	6.4	23
tt0490282	6.5	251
tt0490284	6.6	32
tt0490285	6.5	22
tt0490286	7.0	10
tt0490289	6.3	23
tt0490291	8.3	11
tt0490293	7.3	18
tt0490295	6.9	22
tt0490302	7.4	9
tt0490305	7.8	177
tt0490315	5.5	11
tt0490321	4.4	25
tt0490332	8.3	44
tt0490335	8.0	22
tt0490336	8.1	30
tt0490339	8.6	6
tt0490343	6.6	33
tt0490347	4.9	17
tt0490362	7.1	11
tt0490365	5.6	208
tt0490377	5.9	1432
tt0490389	7.8	15
tt0490390	7.0	10
tt0490392	7.6	8
