tconst	averageRating	numVotes
tt12980062	8.5	26
tt12980064	7.5	101
tt12980080	9.4	21
tt12980090	7.9	9
tt12980094	9.5	199
tt12980108	7.1	16
tt12980138	6.2	14
tt12980232	5.4	10
tt12980238	6.2	11
tt12980240	7.1	8
tt12980286	3.5	38
tt12980298	6.0	5
tt12980310	5.0	29
tt12980320	7.0	8
tt12980332	5.9	8
tt12980356	7.2	5
tt12980362	5.9	7
tt12980392	6.3	91
tt12980452	6.6	7
tt12980468	3.5	188
tt12980498	7.1	63
tt12980500	7.5	50
tt12980524	7.9	15
tt12980536	7.5	26
tt12980626	5.5	8
tt12980682	6.7	6
tt12980768	6.7	107
tt12980794	6.6	60
tt12980798	7.7	27
tt12980872	6.2	47
tt12980880	8.0	73
tt12980950	6.8	11
tt12981074	7.3	28
tt12981088	8.3	63
tt12981158	8.5	11
tt12981182	8.0	5
tt12981222	5.8	5
tt12981236	5.5	210
tt12981360	5.2	8
tt12981436	4.6	5
tt12981440	6.6	163
tt12981538	8.7	73
tt12981624	7.9	14
tt12981632	8.4	8
tt12981670	7.8	22048
tt12981672	8.7	21886
tt12981674	8.3	19738
tt12981732	10.0	11
tt12981758	7.5	168
tt12981766	7.1	63
tt12981794	5.9	12
tt12981810	1.1	561
tt12981890	7.5	12
tt12981960	5.2	97
tt12981968	7.5	6
tt12982112	6.7	151
tt12982132	6.9	26
tt12982218	6.9	214
tt12982304	5.1	7
tt12982310	6.9	27
tt12982324	9.7	9
tt12982370	5.9	3106
tt12982376	5.6	5
tt12982422	7.8	9
tt12982528	6.2	9
tt12982666	7.4	7
tt12982686	5.3	51
tt12982696	5.3	46
tt12982700	5.2	46
tt12982704	5.0	47
tt12982790	7.2	15
tt12982896	5.2	11
tt12982900	7.1	7
tt12983052	5.7	434
tt12983490	7.1	10
tt12983812	5.1	8
tt12984026	9.2	12092
tt12984234	4.6	35
tt12984776	9.0	53
tt12984858	7.7	56
tt12985010	3.5	216
tt12985078	7.7	27
tt12985080	8.9	14
tt12985112	8.2	6
tt12985116	5.6	6
tt12985140	5.1	14
tt12985230	6.7	7
tt12985234	8.5	489
tt12985268	7.4	5
tt12985278	9.0	5
tt12985316	8.9	7
tt12985322	8.9	7
tt12985332	8.7	6
tt12985334	8.9	7
tt12985342	7.2	9
tt12985366	7.0	87
tt12985634	7.6	43
tt12985748	5.4	5
tt12985818	6.4	5
tt12985916	6.9	7
tt12985934	8.0	8
tt12986008	7.5	12
tt12986020	8.4	7
tt12986024	8.2	6
tt12986030	7.4	83
tt12986108	7.3	8
tt12986112	8.0	6
tt12986136	8.2	53
tt12986138	8.5	53
tt12986140	8.5	54
tt12986148	4.3	17
tt12986198	8.9	12
tt12986254	5.9	1096
tt12986260	4.9	267
tt12986322	7.2	6
tt12986328	7.6	350
tt12986334	8.1	344
tt12986336	8.0	334
tt12986502	5.8	24
tt12986506	6.3	23
tt12986510	5.7	24
tt12986578	7.4	11
tt12986580	6.5	8
tt12986636	5.9	12
tt12986680	9.5	46
tt12986714	7.0	7
tt12986758	9.2	15
tt12986812	3.1	24
tt12986830	8.2	12
tt12986864	9.8	24
tt12986942	7.1	3010
tt12987036	5.5	425
tt12987048	7.9	19
tt12987126	4.3	35
tt12987136	7.3	76
tt12987270	10.0	13
tt12987278	7.4	5
tt12987284	6.5	35
tt12987338	3.5	45
tt12987376	8.5	25
tt12987386	7.1	7
tt12987396	7.0	20
tt12987412	9.2	7
tt12987422	4.3	7
tt12987430	6.7	74
tt12987472	8.9	19
tt12987476	8.2	6
tt12987490	7.0	922
tt12987516	5.8	35
tt12987558	7.5	32
tt12987560	5.4	17
tt12987580	8.2	6
tt12987584	7.5	102
tt12987608	8.5	29
tt12987640	8.2	11
tt12987648	8.3	239
tt12987664	8.6	29
tt12987694	9.7	8
tt12987696	7.5	39
tt12987716	7.4	22
tt12987728	7.1	19461
tt12987778	5.8	9
tt12987802	6.6	5
tt12987838	6.8	462
tt12987872	6.8	176
tt12987894	7.2	28478
tt12987918	7.6	4586
tt12987938	6.7	8
tt12987950	7.7	8
tt12987990	5.7	6
tt12988016	6.8	766
tt12988024	5.7	9
tt12988062	6.7	51
tt12988080	8.0	8
tt12988082	7.7	286
tt12988090	4.1	9
tt12988096	6.9	8
tt12988104	5.9	591
tt12988138	8.2	153
tt12988152	9.4	39
tt12988174	7.1	216
tt12988188	8.6	10
tt12988198	6.8	163
tt12988202	6.5	146
tt12988214	6.8	141
tt12988218	6.8	137
tt12988244	6.6	131
tt12988248	6.9	140
tt12988252	6.8	143
tt12988260	8.5	10
tt12988264	7.1	208
tt12988330	4.8	7
tt12988350	5.2	55
tt12988356	5.0	8
tt12988358	5.0	7
tt12988382	6.3	18
tt12988386	6.2	16
tt12988390	5.5	18
tt12988392	5.6	19
tt12988394	5.6	19
tt12988396	6.4	17
tt12988410	5.8	13
tt12988416	4.9	111
tt12988484	6.6	11
tt12988528	7.0	6
tt12988602	3.3	50
tt12988666	6.7	17
tt12988674	6.7	18
tt12988686	6.5	24
tt12988694	7.0	20
tt12988732	1.7	102
tt12988996	7.0	6
tt12989034	8.1	17
tt12989040	8.3	16
tt12989056	8.2	15
tt12989110	9.1	253
tt12989188	7.2	16
tt12989256	7.3	56
tt12989294	5.9	231
tt12989354	6.6	6
tt12989368	6.2	21
tt12989450	7.5	20
tt12989474	6.9	42
tt12989674	5.9	26
tt12989720	7.5	6
tt12989852	7.3	12
tt12989910	5.5	287
tt12989912	5.8	1088
