tconst	averageRating	numVotes
tt2140007	8.3	10
tt2140011	8.1	87
tt2140015	6.8	26
tt2140021	9.6	9
tt2140023	9.0	8
tt2140027	4.0	5
tt2140033	7.9	17
tt2140037	5.9	22682
tt2140039	7.0	1073
tt2140051	9.6	8
tt2140057	3.9	19
tt2140067	9.0	70
tt2140079	7.9	9
tt2140109	7.9	8
tt2140111	6.0	30
tt2140113	4.8	404
tt2140133	8.1	9
tt2140141	5.8	2491
tt2140145	6.3	12
tt2140155	6.6	16
tt2140161	8.2	6
tt2140177	7.3	14
tt2140179	8.2	7
tt2140189	6.3	432
tt2140203	8.1	45072
tt2140209	8.9	21
tt2140221	7.6	250
tt2140222	7.2	5
tt2140227	9.2	15
tt2140235	6.5	13
tt2140237	7.1	78
tt2140243	6.2	12
tt2140245	5.2	9
tt2140255	5.2	15
tt2140261	7.5	31
tt2140281	8.7	28
tt2140287	7.7	27
tt2140291	7.4	8
tt2140297	7.6	18
tt2140307	5.1	21
tt2140315	4.1	3831
tt2140319	7.0	11
tt2140325	8.8	19
tt2140341	6.8	732
tt2140343	7.5	27
tt2140353	7.0	27
tt2140363	7.4	134
tt2140365	3.9	30
tt2140371	8.0	1406
tt2140373	7.5	162436
tt2140375	6.6	64
tt2140379	6.5	99773
tt2140381	6.9	1652
tt2140385	8.8	8
tt2140387	8.4	8
tt2140389	7.9	21
tt2140395	8.1	96
tt2140403	4.6	469
tt2140405	7.8	52
tt2140411	7.2	85
tt2140413	6.5	19
tt2140421	6.0	187
tt2140423	2.6	295
tt2140429	4.7	2013
tt2140465	7.6	28972
tt2140475	6.9	38
tt2140479	7.3	296285
tt2140483	6.6	9
tt2140499	4.2	287
tt2140507	6.5	27813
tt2140514	7.3	41
tt2140519	7.2	19
tt2140535	5.6	263
tt2140553	9.7	61710
tt2140559	5.2	38
tt2140563	6.3	159
tt2140565	5.2	7
tt2140569	6.5	27
tt2140571	6.3	8674
tt2140575	7.2	6
tt2140577	6.3	9709
tt2140581	8.0	8
tt2140589	8.1	7
tt2140611	7.5	20
tt2140619	6.3	70857
tt2140621	6.1	44
tt2140623	5.9	11
tt2140625	5.9	18
tt2140629	5.8	7985
tt2140631	6.6	75
tt2140641	5.8	8
tt2140643	9.4	18
tt2140645	7.7	97
tt2140649	7.3	57
tt2140651	5.1	48
tt2140655	7.7	16
tt2140659	7.5	19
tt2140663	6.6	1049
tt2140671	5.0	2293
tt2140691	7.7	21
tt2140735	6.5	50
tt2140737	7.7	26
tt2140739	7.9	25
tt2140741	9.9	63
tt2140759	6.6	34
tt2140761	6.7	13
tt2140763	7.4	5
tt2140782	6.8	84
tt2140815	4.5	706
tt2140817	7.3	15
tt2140837	8.0	6
tt2140839	7.3	6
tt2140881	8.0	434
tt2140883	7.9	432
tt2140918	8.2	5
tt2140922	7.9	7
tt2140939	8.0	5
tt2141011	7.0	640
tt2141012	7.4	16
tt2141014	7.5	14
tt2141016	6.9	8
tt2141061	6.8	9
tt2141063	6.8	13
tt2141075	8.5	26
tt2141106	8.2	59
tt2141108	8.2	59
tt2141130	8.4	9
tt2141186	7.6	2691
tt2141193	7.3	16
tt2141237	7.2	25
tt2141241	7.4	91
tt2141299	7.7	166
tt2141301	8.4	198
tt2141303	7.3	144
tt2141323	7.6	186
tt2141330	7.9	58
tt2141389	7.9	58
tt2141404	5.3	8
tt2141406	5.9	8
tt2141412	5.4	8
tt2141444	8.1	59
tt2141447	6.4	8
tt2141449	8.5	22
tt2141451	6.9	21
tt2141455	8.2	7
tt2141491	7.3	17
tt2141493	7.8	6
tt2141495	6.6	9
tt2141497	8.0	7
tt2141499	8.8	7
tt2141515	8.3	35
tt2141517	8.5	37
tt2141527	6.8	7
tt2141533	7.2	7
tt2141541	7.2	7
tt2141561	5.5	127
tt2141569	7.3	15
tt2141589	7.0	52
tt2141591	7.9	64
tt2141593	8.5	19
tt2141595	8.6	16
tt2141623	5.9	86
tt2141625	6.5	72
tt2141627	7.7	18
tt2141633	6.9	14
tt2141645	8.0	8
tt2141657	6.3	26
tt2141661	8.0	6
