tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt12070000	tvEpisode	Episode #1.6	Episode #1.6	0	2020	\N	\N	Adventure
tt12070002	tvSeries	Spiralia	Spiralia	0	\N	\N	\N	Fantasy
tt12070004	tvEpisode	Beach Fight	Beach Fight	0	2015	\N	\N	Animation
tt12070008	tvEpisode	Episode #4.53	Episode #4.53	0	2020	\N	\N	Comedy,News
tt12070010	tvEpisode	Episode #9.1	Episode #9.1	0	2019	\N	\N	Documentary
tt12070012	tvEpisode	Episode #1.65	Episode #1.65	0	1978	\N	\N	Comedy,Music,Talk-Show
tt12070014	tvEpisode	Eagle Plane & Stampede/The Martle Rock & Turtle Fire Truck/Trampoline on Giant Bean	Eagle Plane & Stampede/The Martle Rock & Turtle Fire Truck/Trampoline on Giant Bean	0	2018	\N	\N	Animation
tt12070016	tvEpisode	3-Day C10 Makeover: DIY Paint & More!	3-Day C10 Makeover: DIY Paint & More!	0	2019	\N	25	Reality-TV
tt12070018	tvEpisode	FINALE - Separated	FINALE - Separated	0	2014	\N	9	Action,Adventure,Comedy
tt12070020	tvEpisode	Episode #9.2	Episode #9.2	0	2019	\N	\N	Documentary
tt12070022	tvEpisode	The Mirage & The Elephant Excavator/The Candy Tree & Bull Bulldozer/Winter: Slippery Ice	The Mirage & The Elephant Excavator/The Candy Tree & Bull Bulldozer/Winter: Slippery Ice	0	2018	\N	21	Animation
tt12070024	tvEpisode	The Whale Submarine/Christmas: The Frozen Mammuth & The Bull Bulldozer/The Sledge	The Whale Submarine/Christmas: The Frozen Mammuth & The Bull Bulldozer/The Sledge	0	2018	\N	21	Animation
tt12070026	tvEpisode	Episode #1.66	Episode #1.66	0	1978	\N	\N	Comedy,Music,Talk-Show
tt12070028	tvEpisode	Lethal Romance	Lethal Romance	0	2020	\N	42	Documentary
tt12070032	tvEpisode	Nicola Larder: Creator, Marcella - Inspiration from the Everyday	Nicola Larder: Creator, Marcella - Inspiration from the Everyday	0	2019	\N	\N	Documentary
tt12070034	tvEpisode	The Beautiful Flower/Eagle Plane on the Beach/Girafe Crane Is Trapped in a Fire	The Beautiful Flower/Eagle Plane on the Beach/Girafe Crane Is Trapped in a Fire	0	2018	\N	21	Animation
tt12070036	tvEpisode	Lockdown / Vol. III "Golf"	Lockdown / Vol. III "Golf"	0	2020	\N	\N	Comedy
tt12070038	tvEpisode	Episode #9.14	Episode #9.14	0	2020	\N	\N	Documentary
tt12070040	tvEpisode	The Magic Sword & The Multi-Tool Crab/The Elephant's Sandcastle/Carnival Crash & Demolition Lizard	The Magic Sword & The Multi-Tool Crab/The Elephant's Sandcastle/Carnival Crash & Demolition Lizard	0	2018	\N	\N	Animation
tt12070042	tvEpisode	Love Shack 2.0	Love Shack 2.0	0	2014	\N	27	Action,Adventure,Comedy
tt12070044	tvEpisode	Stuck in a Pit/The Golden Screw & Crocodile Rock Crusher/The Quicksands & The Rhino Dump Truck	Stuck in a Pit/The Golden Screw & Crocodile Rock Crusher/The Quicksands & The Rhino Dump Truck	0	2018	\N	\N	Animation
tt12070046	tvEpisode	Episode #1.7	Episode #1.7	0	2020	\N	\N	Adventure
tt12070048	tvEpisode	Episode #1.67	Episode #1.67	0	1978	\N	\N	Comedy,Music,Talk-Show
tt12070052	tvEpisode	St. Patrick's Day/Easter/The Carnivorous Plant	St. Patrick's Day/Easter/The Carnivorous Plant	0	2018	\N	20	Animation
tt12070054	tvSeries	Inspirations from Pastor Paul	Inspirations from Pastor Paul	0	2020	\N	\N	Comedy
tt12070056	tvEpisode	The Giant Pumpkin/International Puppy Day/Wheelephant's Dream	The Giant Pumpkin/International Puppy Day/Wheelephant's Dream	0	2018	\N	\N	Animation
