tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt10680002	tvSeries	Mighty Jobs	Mighty Jobs	0	2018	\N	\N	Adventure,Comedy,Documentary
tt10680008	tvEpisode	Lawerence Richie Jr.	Lawerence Richie Jr.	0	2016	\N	\N	Reality-TV
tt10680010	tvEpisode	Episode #3.41	Episode #3.41	0	2014	\N	\N	Talk-Show
tt10680012	tvEpisode	Indra's Wife, Brother Seek Revenge	Indra's Wife, Brother Seek Revenge	0	2017	\N	\N	Thriller
tt10680014	tvEpisode	El amor tiene su ciclo	El amor tiene su ciclo	0	2019	\N	44	Comedy
tt10680016	tvEpisode	Highlight- Elizabeth Garcia and Jim Backer	Highlight- Elizabeth Garcia and Jim Backer	0	2016	\N	\N	Reality-TV
tt10680018	tvEpisode	Episode #3.42	Episode #3.42	0	2014	\N	\N	Talk-Show
tt10680020	tvEpisode	Episode #3.43	Episode #3.43	0	2014	\N	\N	Talk-Show
tt10680022	tvEpisode	Episode #3.44	Episode #3.44	0	2014	\N	\N	Talk-Show
tt10680024	tvEpisode	Galloping into the Sunset on St. Simons Island	Galloping into the Sunset on St. Simons Island	0	2019	\N	\N	Reality-TV
tt10680026	tvEpisode	Episode #3.45	Episode #3.45	0	2014	\N	\N	Talk-Show
tt10680030	tvEpisode	Moving Back to St. Simons Island	Moving Back to St. Simons Island	0	2019	\N	\N	Reality-TV
tt10680032	tvEpisode	Episode #3.46	Episode #3.46	0	2014	\N	\N	Talk-Show
tt10680036	tvSeries	Taquaras, Tambores e Violas	Taquaras, Tambores e Violas	0	2015	\N	\N	Documentary
tt10680038	tvMovie	A martfüi rém - Werkfilm	A martfüi rém - Werkfilm	0	2016	\N	28	Documentary
tt10680040	tvEpisode	Episode #4.1	Episode #4.1	0	2015	\N	\N	Talk-Show
tt10680044	tvEpisode	Episode dated 29 December 1968	Episode dated 29 December 1968	0	1968	\N	\N	Family,Music
tt10680048	tvEpisode	A Day in the Life of ICE	A Day in the Life of ICE	0	2019	\N	\N	News
tt10680050	tvEpisode	Marie im Gefühlschaos	Marie im Gefühlschaos	0	2019	\N	\N	Drama,Romance
tt10680060	tvEpisode	Programa de Paradigmas Paranormales (PPP)	Programa de Paradigmas Paranormales (PPP)	0	2019	\N	44	Drama,Fantasy
tt10680062	tvMovie	Brainwashing Stacey: Living with Big Game Hunters	Brainwashing Stacey: Living with Big Game Hunters	0	2016	\N	46	Documentary
tt10680068	tvEpisode	Episode #3.121	Episode #3.121	0	2019	\N	\N	News,Talk-Show
tt10680070	tvEpisode	Episode #3.122	Episode #3.122	0	2019	\N	\N	News,Talk-Show
tt10680072	tvEpisode	Episode #3.123	Episode #3.123	0	2019	\N	\N	News,Talk-Show
tt10680074	tvEpisode	Episode #3.124	Episode #3.124	0	2019	\N	\N	News,Talk-Show
tt10680080	tvEpisode	Feria de ciencias	Feria de ciencias	0	2019	\N	44	Drama,Fantasy
tt10680082	tvEpisode	Folge 934	Folge 934	0	2019	\N	25	Family
tt10680088	tvEpisode	Epidemia	Epidemia	0	2019	\N	44	Drama,Fantasy
tt10680092	tvEpisode	Yash Goes Missing!	Yash Goes Missing!	0	2018	\N	\N	Thriller
tt10680096	tvEpisode	Episode #1.1374	Episode #1.1374	0	2011	\N	\N	Drama
tt10680098	tvEpisode	Atentado contra Morrison	Atentado contra Morrison	0	2019	\N	44	Drama,Fantasy
tt10680102	tvEpisode	Trabajo sucio	Trabajo sucio	0	2019	\N	44	Drama,Fantasy
