tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt13860012	movie	Where is Italo Tedesco?	Where is Italo Tedesco?	0	2021	\N	70	Comedy
tt13860040	movie	Day by Day - A Digital Diary	Day by Day - A Digital Diary	0	2021	\N	90	Comedy,Drama
tt13860070	movie	Day by Day 2 - A Digital Diary	Day by Day 2 - A Digital Diary	0	2021	\N	100	Comedy,Drama
tt13860080	movie	Girontondo D'Amore	Girontondo D'Amore	0	2021	\N	80	Drama
tt13860086	movie	Rage	Rage	0	\N	\N	\N	Action
tt13860088	movie	Likt vinden far min längtan	Likt vinden far min längtan	0	1988	\N	60	Documentary
tt13860126	movie	Planet of Treasures	Planet of Treasures	0	2020	\N	50	Documentary
tt13860144	movie	Legends Never Die	Legends Never Die	0	\N	\N	\N	Action,Comedy
tt13860146	movie	Track	Track	0	2012	\N	108	Sport
tt13860170	movie	Limbo	Limbo	0	2017	\N	90	Drama
tt13860202	movie	No Quiero Jugar	No Quiero Jugar	0	\N	\N	\N	Horror,Thriller
tt13860204	movie	Dr Biermans - a True Story	Dr Biermans - a True Story	0	2021	\N	70	Documentary
tt13860270	movie	The Rapture Diaries	The Rapture Diaries	0	2020	\N	\N	Drama
tt13860282	movie	Diwang Kayumanggi	Diwang Kayumanggi	0	1983	\N	\N	Drama,Fantasy
tt13860296	movie	Deep Waters	Deep Waters	0	1978	\N	\N	Adventure
tt13860594	movie	Em Nome da Lei - Parte II	Em Nome da Lei - Parte II	0	2020	\N	102	Action,Comedy
tt13860792	movie	Templars the Medici Mystery	Templars the Medici Mystery	0	2021	\N	65	Documentary
tt13860794	movie	Not Today	Not Today	0	2021	\N	92	Drama
tt13861442	movie	World Ascension Tour	World Ascension Tour	0	2021	\N	56	Music
tt13861532	movie	Tayna Chetyrekh Printsess	Tayna Chetyrekh Printsess	0	2014	\N	\N	Comedy
tt13861556	movie	Casa Flutuante	Casa Flutuante	0	2022	\N	114	Drama
tt13861638	movie	Knizharyat	Knizharyat	0	2015	\N	51	Documentary
tt13861996	movie	Hayret 17	Hayret 17	0	1975	\N	66	Comedy
tt13862030	movie	Randevu	Randevu	0	1975	\N	\N	Drama
tt13862246	movie	Tek Basina	Tek Basina	0	1974	\N	\N	Drama
tt13862370	movie	Tsutsu	Tsutsu	0	\N	\N	\N	Animation
tt13862492	movie	Varjagen	Varjagen	0	\N	\N	\N	History,Thriller
tt13862708	movie	This Is the American Presidents	This Is the American Presidents	0	2020	\N	\N	History
tt13862974	movie	Sharks of the Corn	Sharks of the Corn	0	2021	\N	105	Horror
tt13863070	movie	1974/1979. Le nostre ferite	1974/1979. Le nostre ferite	0	2020	\N	\N	Documentary
tt13863260	movie	Otona no Jijou: Smartphone wo Nozoitara	Otona no Jijou: Smartphone wo Nozoitara	0	2021	\N	101	Drama
tt13863298	movie	The Threshold of Death	Sa-seon-eui Kkeut	0	2019	\N	\N	Drama
tt13863334	movie	Endangered Species	Endangered Species	0	2021	\N	101	Action,Thriller
tt13863356	movie	The Willowbrook	The Willowbrook	0	2022	\N	85	Thriller
tt13863374	movie	Death Park: The End	Death Park: The End	0	2021	\N	72	Horror
tt13863404	movie	Outbreak: The Virus That Shook the World	Outbreak: The Virus That Shook the World	0	2021	\N	80	Documentary
tt13863428	movie	EL Lobo	EL Lobo	0	2021	\N	\N	Drama
tt13863436	movie	Your Naked Heart	Your Naked Heart	0	\N	\N	\N	Action,Adventure,Drama
tt13863462	movie	Swim	Swim	0	\N	\N	\N	Drama
tt13863466	movie	Installation(s)	Installation(s)	0	2008	\N	70	Documentary
tt13863656	movie	Twelve Minutes Past Midnight	Twelve Minutes Past Midnight	0	\N	\N	\N	Drama
tt13863670	movie	E-rased	E-rased	0	\N	\N	\N	Horror,Sci-Fi
tt13863702	movie	Miles from Nowhere	Miles from Nowhere	0	2022	\N	76	Drama
tt13863720	movie	Honeysuckle	Honeysuckle	0	2021	\N	75	Drama,Thriller
tt13863734	movie	Real Love (Yes, It's Real Love!)	Real Love (Yes, It's Real Love!)	0	\N	\N	\N	Comedy,Drama,Romance
tt13863850	movie	Dare ka yume naki: Zenpen	Dare ka yume naki: Zenpen	0	1947	\N	84	\N
tt13863900	movie	Dare ka yume naki: Kôhen	Dare ka yume naki: Kôhen	0	1947	\N	77	\N
tt13863936	movie	Miss Willoughby	Miss Willoughby	0	\N	\N	\N	Adventure
tt13863958	movie	Ukiyo mo tengoku	Ukiyo mo tengoku	0	1947	\N	86	\N
tt13863968	movie	The Wisdom of Trauma	The Wisdom of Trauma	0	2021	\N	87	Documentary
tt13863990	movie	Talk to Me, Sweet Darling	Talk to Me, Sweet Darling	0	2020	\N	86	Thriller
