tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt11670194	movie	Surrealistica Uniferno	Surrealistica Uniferno	0	2010	\N	75	Horror
tt11670222	movie	Disko	Disko	0	\N	\N	\N	Documentary
tt11670292	movie	Inauguration of Snow White	Inauguration of Snow White	0	2011	\N	\N	Horror
tt11670334	movie	Inside the Clock of the White Rabbit	Inside the Clock of the White Rabbit	0	2011	\N	\N	Horror
tt11670368	movie	Kosmische Puppen I	Kosmische Puppen I	0	2012	\N	\N	Horror
tt11670372	movie	Csak családról ne	Csak családról ne	0	2020	\N	52	Documentary
tt11670392	movie	Kosmische Puppen II	Kosmische Puppen II	0	2012	\N	\N	Horror
tt11670412	movie	Kosmische Puppen III	Kosmische Puppen III	0	2012	\N	\N	Drama
tt11670432	movie	Ekstasia	Ekstasia	0	2013	\N	\N	Horror
tt11670446	movie	Gaisen	Gaisen	0	1932	\N	\N	Drama
tt11670462	movie	Schwarze Messe des Gehirns	Schwarze Messe des Gehirns	0	2016	\N	\N	Horror
tt11670494	movie	Donzoko no shojô	Donzoko no shojô	0	1931	\N	\N	Drama
tt11670532	movie	Kôshin nayamashî	Kôshin nayamashî	0	1931	\N	\N	Drama
tt11670552	movie	Zero	Seishin 0	0	2020	\N	128	Documentary
tt11671006	movie	The Man from Toronto	The Man from Toronto	0	2022	\N	110	Action,Adventure,Comedy
tt11671040	movie	Riverdance 25th Anniversary Show	Riverdance 25th Anniversary Show	0	2020	\N	120	Musical
tt11671054	movie	City of a Million Soldiers	City of a Million Soldiers	0	\N	\N	\N	\N
tt11671060	movie	The Whale of Blockchain	The Whale of Blockchain	0	\N	\N	\N	Biography,Drama,Mystery
tt11671066	movie	Sadanga	Sadanga	0	2015	\N	\N	Action
tt11671118	movie	Shinkon hazukashi	Shinkon hazukashi	0	1931	\N	\N	Drama
tt11671404	movie	Vadio	Vadio	0	2022	\N	91	Drama
tt11671682	movie	Las Nogas: The Beginning	Las Nogas: The Beginning	0	\N	\N	\N	Animation
tt11671822	movie	Letters to Buriram	Haehyeob	0	2019	\N	126	Documentary
tt11671832	movie	Polvo de gallo	Polvo de gallo	0	2021	\N	70	Drama
tt11671996	movie	Patal and Small Wishes	Patal va arezoo-haye koochak	0	1990	\N	\N	Fantasy
tt11672032	movie	Al di là dello specchio	Al di là dello specchio	0	2016	\N	\N	Documentary
tt11672118	movie	Noodle Kid	La yi wan mian	0	2019	\N	107	Documentary
tt11672260	movie	Acid Babylon	Acid Babylon	0	2020	\N	\N	Horror
tt11673242	movie	Chyornoe zerkalo po-russki	Chyornoe zerkalo po-russki	0	2019	\N	76	Sci-Fi
tt11673380	movie	Roule, roulotte!	Roule, roulotte!	0	2001	\N	57	Documentary
tt11673404	movie	A Diamond Set in Black	A Diamond Set in Black	0	\N	\N	\N	Thriller
tt11673454	movie	Main Bhi NRI	Main Bhi NRI	0	2020	\N	60	Drama
tt11673554	movie	A Balaton hullámain	A Balaton hullámain	0	2017	\N	50	Documentary
tt11673620	movie	Prankouple	Prankouple	0	2022	\N	120	Comedy,Romance
tt11673782	movie	Ragnarok	Ragnarok	0	1983	\N	80	Action,Adventure,Animation
tt11673786	movie	TanF	TanF	0	\N	\N	\N	Drama
tt11673832	movie	I've Died and Gone to Heaven	I've Died and Gone to Heaven	0	\N	\N	\N	Thriller
tt11673946	movie	Assassins	Assassins	0	2020	\N	\N	Drama
