tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt11110140	movie	Demonic Possessions	Demonic Possessions	0	\N	\N	\N	Documentary
tt11110366	movie	Chocolateen	Chocolateen	0	2019	\N	\N	\N
tt11110492	movie	The Battle Inside	The Battle Inside	0	\N	\N	\N	Documentary
tt11110542	movie	Scary Story Slumber Party Volume 2	Scary Story Slumber Party Volume 2	0	2020	\N	\N	Horror
tt11110544	movie	Racing Through Life: Toulouse-Lautrec	Toulouse-Lautrec, l'insaisissable	0	2019	\N	53	Biography,Documentary,History
tt11110572	movie	Dostali!	Dostali!	0	2015	\N	\N	Drama,Romance
tt11110586	movie	Mr. Sold Out: José José	Mr. Sold Out: José José	0	\N	\N	\N	Biography
tt11110654	movie	Alle under angrep	Alle under angrep	0	2020	\N	145	Drama,Thriller
tt11110770	movie	The Yami's First Emperor Movie	The Yami's First Emperor Movie	0	2020	\N	\N	Action,Adventure,Animation
tt11110818	movie	Büyük Istanbul Deprem 2 Yeniden Dönüs	Büyük Istanbul Deprem 2 Yeniden Dönüs	0	\N	\N	\N	History
tt11110904	movie	Thirst	Þorsti	0	2019	\N	90	Comedy,Horror
tt11110938	movie	No Name and Dynamite Davenport	No Name & Dynamite	0	2022	\N	91	Western
tt11110996	movie	Un jour peut-être, une autre histoire du rap français	Un jour peut-être, une autre histoire du rap français	0	2014	\N	51	Documentary
tt11111120	movie	#killCharlie	#killCharlie	0	\N	\N	\N	Thriller
tt11111166	movie	Abi be range aseman	Abi be range aseman	0	2019	\N	90	Documentary,Sport
tt11111168	movie	Four Days Away from Two Light Years	Merchak Arbaa Yamim MiShte Shenot Or	0	2014	\N	86	Drama,Thriller
tt11111232	movie	Valentina	Valentina	0	2020	\N	95	Drama
tt11111286	movie	Reboot Camp	Reboot Camp	0	2020	\N	97	Comedy
tt11111564	movie	Romeo and Juliet	Romeo and Juliet	0	1981	\N	\N	Romance
tt11111756	movie	Sei terorizumu	Sei terorizumu	0	1980	\N	127	Crime
tt11111762	movie	Amour en ligne	Amour en ligne	1	2018	\N	90	Adult
tt11111820	movie	Binghe siwang xian	Binghe siwang xian	0	1986	\N	97	Drama
tt11111852	movie	Kafani Ya Qalb	Kafani Ya Qalb	0	1977	\N	\N	Drama
tt11111986	movie	Dhumkkudiya	Dhumkkudiya	0	2019	\N	\N	Drama
tt11112060	movie	The Red Jasmine	The Red Jasmine	0	\N	\N	105	Horror
tt11112072	movie	Hell Can Wait	Hell Can Wait	0	\N	\N	\N	Comedy
tt11112078	movie	Un día 28 de enero	Un día 28 de enero	0	\N	\N	\N	Documentary
