tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt22232006	movie	Journey	Journey	0	\N	\N	\N	Drama
tt22234650	movie	Spice Bois: Da Movie	Spice Bois: Da Movie	0	\N	\N	\N	Action,Comedy
tt22234810	movie	Breathing In	Breathing In	0	\N	\N	\N	Drama,Thriller
tt22235414	movie	Heartless Outlaws	Heartless Outlaws	0	2023	\N	\N	Western
tt22236278	movie	The Boy Who Hated Numbers	The Boy Who Hated Numbers	0	\N	\N	\N	Animation
tt22237838	movie	A Dark Past	A Dark Past	0	2020	\N	88	Drama
tt22237964	movie	The Mysterious Gaze of the Flamingo	The Mysterious Gaze of the Flamingo	0	\N	\N	\N	Drama
